@RELATION AGRAWAL_Abrupt_Simple_Severe

@ATTRIBUTE att1 NUMERIC
@ATTRIBUTE att2 NUMERIC
@ATTRIBUTE att3 NUMERIC
@ATTRIBUTE att4 NUMERIC
@ATTRIBUTE att5 NUMERIC
@ATTRIBUTE att6 NUMERIC
@ATTRIBUTE att7 NUMERIC
@ATTRIBUTE att8 NUMERIC
@ATTRIBUTE att9 NUMERIC
@ATTRIBUTE class {0,1}

@DATA
45.000000,17.000000,0.000000,1.000000,61838.244116,13.000000,196290.744120,125811.657351,7.000000,0
35.000000,20.000000,0.000000,3.000000,275358.566768,15.000000,308291.412731,106191.907647,6.000000,0
60.000000,2.000000,0.000000,3.000000,420749.170783,29.000000,79251.076064,97438.996194,2.000000,0
61.000000,14.000000,0.000000,3.000000,336931.768600,24.000000,193701.510098,90552.886107,5.000000,0
23.000000,11.000000,70520.594904,1.000000,108664.264616,5.000000,444430.098262,48265.742148,7.000000,0
25.000000,14.000000,0.000000,2.000000,223589.434247,15.000000,200206.458093,82295.464274,5.000000,1
74.000000,13.000000,12834.390565,1.000000,139606.890485,18.000000,419278.365579,29881.784637,7.000000,1
58.000000,6.000000,0.000000,3.000000,599847.585788,7.000000,312603.482383,138114.485190,3.000000,0
49.000000,9.000000,69161.864506,3.000000,192321.223646,28.000000,287957.942009,30275.031135,6.000000,0
58.000000,10.000000,77693.948753,2.000000,1161499.191766,5.000000,234300.440578,55245.122810,0.000000,0
34.000000,15.000000,0.000000,3.000000,704061.425104,19.000000,133026.661457,103668.192973,3.000000,0
59.000000,3.000000,72060.349158,0.000000,1012517.770367,4.000000,207556.458234,62136.494210,0.000000,0
37.000000,19.000000,73525.562468,3.000000,434837.740128,7.000000,19155.399987,71359.362698,5.000000,1
20.000000,1.000000,0.000000,4.000000,631944.377711,25.000000,341163.167789,99289.723485,1.000000,1
31.000000,7.000000,57108.722211,2.000000,253290.930026,6.000000,31156.324176,36918.231720,5.000000,0
72.000000,1.000000,0.000000,4.000000,957499.827927,6.000000,7348.867345,136168.588987,0.000000,0
57.000000,5.000000,84696.343248,4.000000,364584.266454,26.000000,440326.065800,45859.834357,4.000000,0
73.000000,13.000000,0.000000,1.000000,479422.031630,10.000000,20469.220877,121092.347571,4.000000,0
50.000000,16.000000,74555.641553,4.000000,336336.270322,16.000000,270552.405906,65562.966576,4.000000,0
46.000000,3.000000,0.000000,1.000000,86886.335152,24.000000,315410.510942,107901.015720,7.000000,1
62.000000,4.000000,80580.957519,1.000000,369079.836049,27.000000,449030.719925,61367.615106,5.000000,1
68.000000,14.000000,0.000000,1.000000,0.000000,4.000000,47959.305866,146951.696643,8.000000,0
50.000000,20.000000,17937.601864,0.000000,830348.326157,4.000000,148557.978992,74260.984811,2.000000,0
55.000000,2.000000,0.000000,0.000000,0.000000,27.000000,417324.718784,102719.211829,8.000000,1
