@RELATION AGRAWAL_Gradual_Chain

@ATTRIBUTE att1 NUMERIC
@ATTRIBUTE att2 NUMERIC
@ATTRIBUTE att3 NUMERIC
@ATTRIBUTE att4 NUMERIC
@ATTRIBUTE att5 NUMERIC
@ATTRIBUTE att6 NUMERIC
@ATTRIBUTE att7 NUMERIC
@ATTRIBUTE att8 NUMERIC
@ATTRIBUTE att9 NUMERIC
@ATTRIBUTE class {0,1}

@DATA
73.000000,5.000000,0.000000,1.000000,0.000000,25.000000,479027.916696,82559.731686,8.000000,0
68.000000,3.000000,0.000000,2.000000,944294.502332,2.000000,134257.800283,148151.912191,0.000000,0
69.000000,20.000000,0.000000,3.000000,409189.553377,4.000000,453395.979096,85384.346120,1.000000,0
30.000000,2.000000,51107.564443,0.000000,391968.411070,27.000000,183670.193945,47620.447418,2.000000,0
43.000000,10.000000,0.000000,1.000000,367226.955056,20.000000,170921.918081,76067.787585,4.000000,1
25.000000,4.000000,50349.620887,3.000000,351612.145932,26.000000,119120.333852,62193.624014,2.000000,1
20.000000,2.000000,81776.404692,0.000000,446544.749247,10.000000,85919.053047,53459.933156,5.000000,1
24.000000,8.000000,0.000000,1.000000,104783.729387,3.000000,85823.509044,115207.249022,6.000000,0
30.000000,5.000000,22906.282992,0.000000,362575.889730,26.000000,133895.431807,54763.139374,4.000000,1
55.000000,12.000000,0.000000,1.000000,502765.737019,29.000000,10176.207755,126362.565928,4.000000,0
44.000000,12.000000,32763.401537,4.000000,732611.823109,1.000000,59136.957823,58510.075146,2.000000,0
80.000000,1.000000,0.000000,3.000000,162379.034059,11.000000,244185.600258,137989.918817,5.000000,0
58.000000,4.000000,0.000000,3.000000,453740.921933,11.000000,438541.886559,94944.379575,3.000000,1
50.000000,8.000000,67708.416328,4.000000,102752.263883,28.000000,71644.426247,24420.722383,6.000000,0
59.000000,18.000000,0.000000,2.000000,366384.044072,28.000000,286594.694175,115029.264069,3.000000,1
29.000000,10.000000,63958.229799,4.000000,532992.310178,15.000000,185312.927394,48858.614105,2.000000,0
73.000000,1.000000,0.000000,4.000000,114217.468078,23.000000,443356.536193,128119.246921,7.000000,0
77.000000,15.000000,52140.214056,1.000000,739450.433517,27.000000,380745.718053,37919.979735,3.000000,1
38.000000,13.000000,53329.053364,2.000000,88703.460036,22.000000,26854.236384,25570.631953,7.000000,0
34.000000,1.000000,33323.637944,4.000000,818929.311495,13.000000,176600.720549,33020.448520,0.000000,0
23.000000,18.000000,52928.592909,4.000000,0.000000,22.000000,496365.944095,47727.593093,8.000000,0
42.000000,15.000000,24414.641356,0.000000,0.000000,22.000000,95196.885593,29144.811959,8.000000,0
66.000000,10.000000,0.000000,0.000000,129165.299705,25.000000,44750.205811,76519.578896,6.000000,0
58.000000,5.000000,77938.484051,1.000000,0.000000,14.000000,440319.852501,43782.045768,8.000000,0
31.000000,14.000000,0.000000,2.000000,152162.095898,16.000000,159476.434932,120050.765837,5.000000,0
69.000000,1.000000,71553.773155,1.000000,471712.657582,19.000000,298490.108214,37252.858291,4.000000,1
69.000000,1.000000,0.000000,2.000000,240394.589283,21.000000,366495.279110,118146.321328,6.000000,0
59.000000,9.000000,83793.400607,2.000000,574936.671275,7.000000,424268.747426,45048.498820,2.000000,0
22.000000,2.000000,73842.920450,0.000000,286523.165824,16.000000,48544.532324,63566.599279,4.000000,1
61.000000,13.000000,0.000000,1.000000,240875.185122,11.000000,274489.168125,81636.449778,6.000000,0
72.000000,14.000000,0.000000,1.000000,78810.427365,9.000000,269313.665494,129976.949349,7.000000,0
55.000000,6.000000,0.000000,0.000000,556543.022934,10.000000,498985.685252,134002.682703,4.000000,0
23.000000,3.000000,53604.880431,2.000000,177210.067188,13.000000,362948.367260,53646.955121,5.000000,1
39.000000,14.000000,28323.022490,3.000000,0.000000,6.000000,324558.631597,40144.465680,8.000000,0
49.000000,4.000000,0.000000,2.000000,56908.869855,7.000000,22516.223257,144150.096523,7.000000,0
49.000000,7.000000,0.000000,1.000000,0.000000,16.000000,258804.917174,86651.039104,8.000000,1
70.000000,13.000000,0.000000,4.000000,365168.411658,11.000000,370428.218136,81403.107164,5.000000,0
20.000000,13.000000,0.000000,1.000000,989881.917238,17.000000,53377.498206,80206.860318,1.000000,1
41.000000,6.000000,54971.105119,3.000000,338005.449749,24.000000,332347.547767,67070.234632,5.000000,0
77.000000,2.000000,81126.610886,2.000000,109270.355974,27.000000,280951.120525,20897.164792,7.000000,0
78.000000,19.000000,60608.295993,3.000000,613268.497410,18.000000,302339.778661,27743.762283,2.000000,1
31.000000,7.000000,58865.102787,3.000000,553172.659607,29.000000,363174.252048,20984.900116,1.000000,0
44.000000,8.000000,50602.497680,4.000000,0.000000,14.000000,320086.816517,39157.638465,8.000000,0
73.000000,11.000000,80968.850610,0.000000,472378.026027,26.000000,32914.849909,39815.680770,0.000000,1
55.000000,9.000000,52403.958572,4.000000,352407.712571,10.000000,109239.050954,50297.355673,3.000000,0
29.000000,6.000000,0.000000,0.000000,828134.009662,30.000000,372541.570107,114056.189740,1.000000,0
70.000000,10.000000,0.000000,3.000000,277827.581628,16.000000,257210.961698,110790.360887,5.000000,0
52.000000,20.000000,32098.022045,1.000000,560877.126312,20.000000,164409.161429,62156.977551,2.000000,0
39.000000,4.000000,28710.780733,3.000000,569039.098994,3.000000,396172.618543,61530.429339,4.000000,1
68.000000,20.000000,15513.617455,3.000000,420094.741238,4.000000,412691.217986,31861.908815,5.000000,1
59.000000,6.000000,0.000000,0.000000,510073.142066,5.000000,188236.107908,121523.925214,2.000000,1
