@RELATION HYPERPLANE_Abrupt_Simple

@ATTRIBUTE att1 NUMERIC
@ATTRIBUTE att2 NUMERIC
@ATTRIBUTE att3 NUMERIC
@ATTRIBUTE att4 NUMERIC
@ATTRIBUTE att5 NUMERIC
@ATTRIBUTE att6 NUMERIC
@ATTRIBUTE att7 NUMERIC
@ATTRIBUTE att8 NUMERIC
@ATTRIBUTE att9 NUMERIC
@ATTRIBUTE att10 NUMERIC
@ATTRIBUTE class {0,1}

@DATA
0.603675,0.725367,0.907974,0.196490,0.788550,0.172185,0.779008,0.351532,0.345958,0.745143,1
0.248805,0.287704,0.065581,0.141944,0.920484,0.614484,0.735138,0.040327,0.252257,0.216276,1
0.282198,0.829703,0.725186,0.727024,0.249861,0.293064,0.820821,0.749069,0.939589,0.425947,1
0.641829,0.898111,0.754783,0.508801,0.311177,0.166645,0.290399,0.297337,0.203710,0.830229,0
0.619553,0.418041,0.097069,0.629859,0.350716,0.160036,0.217598,0.321358,0.280150,0.167803,0
0.998982,0.197068,0.561640,0.787510,0.683587,0.140616,0.645829,0.949258,0.109643,0.523077,0
0.681508,0.941132,0.983589,0.664329,0.029004,0.500968,0.011259,0.867427,0.741655,0.981368,1
0.109561,0.320356,0.540886,0.515170,0.330601,0.954842,0.594051,0.465597,0.731150,0.211249,1
0.019716,0.414708,0.342753,0.607428,0.338165,0.953458,0.327818,0.230490,0.003821,0.605675,1
0.211652,0.588621,0.864859,0.755165,0.178809,0.485861,0.253836,0.321984,0.013051,0.089652,0
0.563877,0.829258,0.082690,0.939877,0.195051,0.926362,0.311207,0.821859,0.323468,0.719757,1
0.385096,0.009803,0.140101,0.931573,0.894439,0.869260,0.268637,0.287272,0.372263,0.141874,0
0.252768,0.838355,0.135070,0.863115,0.138627,0.647808,0.470431,0.553440,0.098871,0.456454,1
0.537173,0.019613,0.708952,0.630951,0.028641,0.509459,0.031702,0.859300,0.875442,0.773594,0
0.755908,0.579471,0.735032,0.439257,0.854396,0.674740,0.995576,0.233236,0.214881,0.683742,1
0.288281,0.156743,0.027582,0.680544,0.932487,0.092739,0.761502,0.741857,0.457250,0.757517,1
0.657071,0.534537,0.211640,0.240083,0.422778,0.654986,0.183609,0.795921,0.026891,0.690172,0
0.857371,0.906692,0.498772,0.535935,0.079133,0.854683,0.912370,0.581584,0.378240,0.420749,0
0.354220,0.857338,0.876951,0.107709,0.755618,0.359594,0.651264,0.277804,0.788237,0.286012,1
0.497211,0.119646,0.588433,0.391304,0.170297,0.527908,0.455688,0.611244,0.317302,0.495666,0
0.371645,0.571602,0.680023,0.337043,0.185597,0.456587,0.155061,0.920120,0.466354,0.028041,0
0.735209,0.071113,0.558070,0.648981,0.447628,0.227509,0.809000,0.714996,0.294725,0.249387,0
0.461694,0.896895,0.217038,0.051054,0.993077,0.178680,0.719868,0.388128,0.896356,0.174633,0
0.598639,0.011219,0.708060,0.235774,0.818180,0.994720,0.005194,0.932660,0.270804,0.626655,1
0.217496,0.359998,0.177387,0.837795,0.352476,0.945253,0.783413,0.946766,0.346419,0.764871,1
0.278712,0.145066,0.028944,0.685505,0.417337,0.487159,0.314055,0.287212,0.622397,0.347703,0
0.605140,0.570917,0.897806,0.275521,0.480794,0.793183,0.562118,0.249767,0.163046,0.086548,0
0.998117,0.843306,0.245143,0.997887,0.001445,0.590054,0.969953,0.727830,0.635283,0.350161,0
0.827076,0.937552,0.022963,0.300684,0.131194,0.822652,0.327340,0.278034,0.484720,0.697719,0
0.472758,0.943402,0.523144,0.322515,0.527919,0.237060,0.577129,0.160693,0.622096,0.773766,0
0.857081,0.277202,0.570104,0.506511,0.758569,0.723338,0.108370,0.138071,0.110188,0.181394,0
0.623293,0.026871,0.876176,0.801682,0.442673,0.280068,0.995744,0.488861,0.601241,0.348617,0
0.485451,0.930804,0.460135,0.123507,0.248357,0.693372,0.800054,0.873497,0.874253,0.105143,1
0.117921,0.464879,0.341331,0.686648,0.454148,0.193324,0.729172,0.613104,0.124966,0.760222,1
0.573746,0.269831,0.555121,0.363671,0.358129,0.679238,0.634977,0.861724,0.401626,0.238543,1
0.540855,0.379572,0.385893,0.963820,0.499880,0.192000,0.013624,0.910717,0.976781,0.913471,1
0.114408,0.396094,0.439551,0.557897,0.041856,0.799907,0.993051,0.824331,0.401815,0.433541,1
0.822937,0.814167,0.897314,0.977887,0.682418,0.650262,0.144575,0.064654,0.686580,0.799853,1
0.799253,0.634625,0.822465,0.812306,0.658716,0.996737,0.710943,0.500154,0.450570,0.170490,0
0.728238,0.093629,0.424418,0.742070,0.057026,0.074659,0.305241,0.892920,0.244205,0.533778,0
0.193045,0.812111,0.512619,0.812213,0.884623,0.404612,0.299048,0.258329,0.254540,0.318414,1
0.312335,0.374849,0.412596,0.674402,0.640268,0.034281,0.587308,0.187148,0.557725,0.083148,0
0.297673,0.048070,0.635262,0.063645,0.305714,0.955122,0.193363,0.007365,0.324848,0.928976,0
0.852145,0.527565,0.275482,0.108469,0.186628,0.908368,0.983219,0.615633,0.559815,0.115085,1
0.871781,0.479600,0.370770,0.043718,0.335459,0.568539,0.705944,0.622460,0.555652,0.551967,0
0.320544,0.904052,0.602767,0.956010,0.961689,0.817917,0.645064,0.897277,0.671335,0.761810,1
0.208627,0.103629,0.969268,0.830369,0.409639,0.718746,0.239817,0.388651,0.661236,0.817538,1
0.035613,0.400712,0.764414,0.491524,0.721727,0.976351,0.871360,0.873013,0.692943,0.698463,1
0.439974,0.838860,0.723522,0.187092,0.842101,0.742218,0.178150,0.031517,0.835720,0.159078,1
0.433686,0.299908,0.618363,0.339774,0.703243,0.364658,0.507251,0.177309,0.323120,0.021083,0
0.569482,0.404492,0.735617,0.999988,0.131623,0.985313,0.117694,0.117821,0.435155,0.098774,0
0.735081,0.700234,0.105972,0.938496,0.597480,0.201166,0.583203,0.757920,0.184886,0.586689,0
0.130332,0.155694,0.284389,0.151003,0.111012,0.181832,0.716404,0.146652,0.536684,0.336769,0
0.913570,0.675295,0.711951,0.432724,0.107627,0.044285,0.322879,0.637427,0.188972,0.270448,0
0.868757,0.922258,0.703445,0.559696,0.342485,0.598786,0.317425,0.818763,0.134877,0.756044,1
0.910910,0.951585,0.054406,0.319365,0.288893,0.461648,0.894028,0.591820,0.117914,0.644363,0
0.189936,0.454580,0.496311,0.474649,0.489863,0.730077,0.301082,0.267517,0.256649,0.519218,1
0.578450,0.899251,0.514634,0.630754,0.157996,0.178556,0.645588,0.820250,0.245613,0.256086,0
0.259865,0.712023,0.271358,0.930806,0.697048,0.747224,0.283649,0.809565,0.005675,0.488069,1
0.321281,0.041421,0.929358,0.632283,0.795012,0.244097,0.274058,0.993786,0.396879,0.857462,1
0.028396,0.025178,0.439509,0.861293,0.177994,0.101372,0.364950,0.917883,0.204444,0.223652,0
0.210619,0.475827,0.285356,0.909865,0.901544,0.095360,0.219741,0.363734,0.998130,0.166811,0
0.361155,0.109381,0.564986,0.067683,0.262533,0.241357,0.141562,0.231057,0.895135,0.155715,0
0.340512,0.307401,0.851717,0.640116,0.673836,0.172732,0.881701,0.303164,0.338771,0.883606,1
0.741365,0.297275,0.131226,0.449506,0.531570,0.091354,0.162531,0.599822,0.532547,0.170401,0
0.843974,0.368797,0.246828,0.440613,0.282877,0.926758,0.089423,0.013832,0.190342,0.847812,0
0.160053,0.921857,0.982342,0.824318,0.505455,0.164772,0.481576,0.110517,0.935097,0.193831,1
0.028182,0.309748,0.043668,0.299700,0.642839,0.714217,0.607367,0.316581,0.169948,0.814742,1
0.677908,0.731813,0.154714,0.684236,0.300246,0.128663,0.412058,0.649753,0.861415,0.469534,1
0.222655,0.535487,0.566460,0.409131,0.751715,0.489625,0.386910,0.009649,0.160957,0.469800,1
