=== STDOUT ===

Dataset metadata
Attributes: 11
Classes:    2
populationSize 25
numberGenerations 50
numberRulesClass 5
numberWindows 5
fadingFactor 0.5
learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),NumberRules,NumberConditions,NumberNodes
3000.0,26.258878524,0.0,3000.0,52.800000000000004,5.350124328226525,5.284280936454847,2.8140013726836064,3000.0,0.0,10.0,10.0,30.0


=== STDERR ===

{M}assive {O}nline {A}nalysis
Version:  20.07 July 2020
Copyright: (C) 2007-2020 University of Waikato, Hamilton, New Zealand
Web: http://moa.cms.waikato.ac.nz/

- 0.00s [running] Preparing option stream...                                   
\ 0.47s [running] 2.83% Evaluating learner...                                  
| 0.91s [running] 2.90% Evaluating learner...                                  
/ 1.38s [running] 2.93% Evaluating learner...                                  
- 1.89s [running] 5.87% Evaluating learner...                                  
\ 2.19s [running] 5.89% Evaluating learner...                                  
| 2.48s [running] 5.90% Evaluating learner...                                  
/ 2.92s [running] 8.85% Evaluating learner...                                  
- 3.52s [running] 11.82% Evaluating learner...                                 
\ 4.18s [running] 11.83% Evaluating learner...                                 
| 4.86s [running] 14.80% Evaluating learner...                                 
/ 5.55s [running] 17.77% Evaluating learner...                                 
- 6.22s [running] 20.73% Evaluating learner...                                 
\ 6.92s [running] 23.69% Evaluating learner...                                 
| 7.55s [running] 26.66% Evaluating learner...                                 
/ 8.22s [running] 29.63% Evaluating learner...                                 
- 8.90s [running] 32.59% Evaluating learner...                                 
\ 9.55s [running] 35.56% Evaluating learner...                                 
| 10.18s [running] 38.53% Evaluating learner...                                
/ 10.74s [running] 38.53% Evaluating learner...                                
- 11.34s [running] 41.49% Evaluating learner...                                
\ 11.93s [running] 41.50% Evaluating learner...                                
| 12.61s [running] 47.43% Evaluating learner...                                
/ 13.28s [running] 47.43% Evaluating learner...                                
- 13.97s [running] 53.35% Evaluating learner...                                
\ 14.66s [running] 53.36% Evaluating learner...                                
| 15.32s [running] 56.32% Evaluating learner...                                
/ 16.00s [running] 59.30% Evaluating learner...                                
- 16.71s [running] 62.27% Evaluating learner...                                
\ 17.39s [running] 65.23% Evaluating learner...                                
| 18.09s [running] 68.20% Evaluating learner...                                
/ 18.73s [running] 71.16% Evaluating learner...                                
- 19.30s [running] 74.13% Evaluating learner...                                
\ 19.89s [running] 74.12% Evaluating learner...                                
| 20.45s [running] 77.08% Evaluating learner...                                
/ 21.14s [running] 80.07% Evaluating learner...                                
- 21.84s [running] 83.02% Evaluating learner...                                
\ 22.54s [running] 85.99% Evaluating learner...                                
| 23.21s [running] 88.96% Evaluating learner...                                
/ 23.90s [running] 91.92% Evaluating learner...                                
- 24.59s [running] 94.90% Evaluating learner...                                
\ 25.27s [running] 97.85% Evaluating learner...                                
| 25.96s [running] 100.00% Evaluating learner...                               
Can not access instrumentation environment.
Please check if jar file containing SizeOfAgent class is 
specified in the java's "-javaagent" command line argument.
                                                                               
Task completed in 26.33s (CPU time)

