@RELATION RBF_Abrupt_Severe

@ATTRIBUTE att1 NUMERIC
@ATTRIBUTE att2 NUMERIC
@ATTRIBUTE att3 NUMERIC
@ATTRIBUTE att4 NUMERIC
@ATTRIBUTE att5 NUMERIC
@ATTRIBUTE att6 NUMERIC
@ATTRIBUTE att7 NUMERIC
@ATTRIBUTE att8 NUMERIC
@ATTRIBUTE att9 NUMERIC
@ATTRIBUTE att10 NUMERIC
@ATTRIBUTE class {0,1}

@DATA
0.394226,0.059605,0.291170,0.020001,0.827966,0.704796,0.393906,0.465430,0.401747,0.230241,0
0.385672,0.991090,0.242555,0.705288,0.754270,0.419587,0.664938,0.596718,0.986459,0.087320,0
-0.094319,0.629919,0.306801,0.416373,-0.119641,0.516305,0.552885,0.375028,0.191447,0.726227,1
0.837158,0.944540,0.982444,0.151044,0.127863,0.226935,0.027602,0.474944,0.416334,0.351122,1
0.711539,0.214364,0.430570,0.813819,0.511335,0.235770,-0.470064,-0.346615,0.309021,0.051245,0
0.579351,0.872371,0.801368,0.695710,1.014642,-0.116767,0.394096,0.158837,0.378568,0.603933,0
0.225072,0.589732,0.381434,0.733089,-0.161236,0.861360,-0.007611,0.969422,-0.048769,-0.040905,0
0.168929,0.926231,0.329265,0.204720,0.019251,0.196138,0.372538,0.505123,0.939933,0.603726,0
0.082801,0.577828,0.070880,0.356058,-0.194044,0.322008,0.509427,0.689415,0.300824,0.383548,1
1.556101,0.415276,0.322984,-0.281689,0.174284,0.030162,0.760815,0.453744,-0.537399,1.268789,1
1.018180,-0.028994,1.236142,0.671735,0.408832,0.654991,0.340468,0.280945,0.667568,0.255495,0
0.735808,0.763046,0.657612,0.772426,0.599598,0.791363,0.653394,-0.165896,0.235746,0.181216,1
0.115670,0.694961,0.688997,0.835420,0.821791,0.049527,0.463272,0.720139,0.894711,0.839719,0
0.644445,0.517885,1.105616,0.419903,0.175336,0.686618,0.587832,0.572650,0.087817,0.800798,0
0.052837,0.658244,0.122880,0.096105,0.189862,1.018628,0.351916,0.803091,0.892548,0.201325,0
0.295815,-0.199130,0.505611,0.537470,0.801371,0.345326,0.777478,0.101009,0.655392,-0.252619,0
0.569670,-0.300466,0.851940,0.054847,0.871028,0.537000,0.651920,0.089718,0.386007,0.118698,0
0.669882,0.954324,0.148945,0.934310,0.085766,0.960036,0.244030,0.236024,0.500907,0.873164,1
0.765453,0.451330,0.850245,0.578782,0.711274,0.342928,0.736629,0.161626,0.598215,0.210828,0
0.616499,0.800265,0.946395,0.688360,0.441440,0.574446,0.785831,0.383774,0.869989,0.745645,1
