@RELATION RBF_Gradual_Moderate

@ATTRIBUTE att1 NUMERIC
@ATTRIBUTE att2 NUMERIC
@ATTRIBUTE att3 NUMERIC
@ATTRIBUTE att4 NUMERIC
@ATTRIBUTE att5 NUMERIC
@ATTRIBUTE att6 NUMERIC
@ATTRIBUTE att7 NUMERIC
@ATTRIBUTE att8 NUMERIC
@ATTRIBUTE att9 NUMERIC
@ATTRIBUTE att10 NUMERIC
@ATTRIBUTE class {0,1}

@DATA
0.966566,1.103447,0.175950,0.335656,0.073745,0.533386,0.064721,0.289754,0.084951,0.714770,0
0.487190,0.390970,0.668598,0.798744,0.725759,0.842479,0.918812,0.981273,0.532903,0.908523,0
0.432948,0.675012,0.584227,0.928516,0.581267,1.194359,1.048026,0.603994,0.331116,-0.483674,1
0.217692,0.397342,0.054679,0.374756,0.987523,0.270424,0.788008,0.452073,0.419138,0.960166,1
0.833190,0.208998,0.124246,0.272576,0.213251,0.130252,0.878356,0.942432,0.242919,0.689644,1
0.488854,0.503158,0.310857,0.754435,-0.131053,0.883096,0.402005,0.683762,0.781532,0.799081,1
0.626236,0.842048,0.509028,0.198270,0.375244,0.162328,0.953159,0.921801,0.917226,0.599742,1
0.288572,0.308209,0.238851,0.739997,0.030890,0.187317,0.353783,0.793893,0.467792,0.628042,1
0.828728,0.651953,0.696591,0.046092,0.305467,0.369817,-0.007281,0.318867,0.019119,0.186155,1
0.663301,0.056589,0.812255,0.284271,0.114682,0.752305,-0.064413,0.528950,-0.036825,0.708772,0
1.028799,1.092960,-0.094186,-0.227965,0.919868,0.288503,0.043412,-0.524849,0.730198,1.367405,0
0.229684,0.136349,0.103605,0.661752,0.021076,0.119285,0.622253,0.903513,0.506124,0.429439,1
0.503842,1.153288,0.425222,0.817365,0.730119,-0.132766,0.459544,0.941671,0.603803,0.117720,1
0.361462,0.703510,0.678901,0.149499,0.632574,0.617407,0.398196,0.166079,0.946495,0.607905,0
0.111298,-0.233989,-0.299936,0.521039,0.323347,0.559878,1.018891,0.231254,0.610509,0.569432,1
