@RELATION SEA_Abrupt_Recurring

@ATTRIBUTE att1 NUMERIC
@ATTRIBUTE att2 NUMERIC
@ATTRIBUTE att3 NUMERIC
@ATTRIBUTE class {0,1}

@DATA
8.389350,0.694908,1.628725,1
1.810631,8.162182,5.712734,1
4.969501,0.422879,4.012660,0
7.217639,2.004501,0.655687,1
7.979120,2.189594,8.339315,1
9.226096,9.635081,5.612363,1
5.847176,8.687011,5.355610,1
7.483768,2.976707,0.639238,1
9.591044,8.420792,7.738818,1
5.506913,1.108970,1.002104,0
0.827524,1.553999,6.893247,0
1.823567,7.315119,0.288782,1
2.080031,6.623001,1.988735,1
9.908434,5.937846,3.761046,1
0.126178,3.040245,4.730922,0
1.088785,8.410665,4.189765,1
2.606799,9.496091,7.697579,1
6.129446,7.706615,0.524703,1
2.402450,6.110117,2.518812,1
7.833083,6.888570,9.786994,1
3.258085,0.007257,8.775044,0
3.678370,7.157231,7.415996,1
8.699468,5.031352,7.496311,1
2.698985,4.638321,7.217854,1
1.347252,1.670496,0.589647,0
1.049905,0.587323,7.751861,0
2.410751,9.599976,2.913468,1
1.591965,4.784168,0.321077,0
2.493271,0.867398,2.327245,0
8.038290,0.320043,8.450832,1
2.092741,7.602847,3.970552,1
8.110314,4.448621,7.504103,1
7.653128,6.163378,0.902168,1
3.264755,8.737695,7.575151,1
2.587104,1.463901,1.161218,0
4.157014,7.893025,4.613636,1
7.649478,7.131635,7.371440,1
7.775865,4.558797,7.092018,1
1.505046,3.407709,2.780709,0
1.423849,4.321000,7.220873,0
4.094059,4.849161,6.408784,1
9.037617,8.547172,1.856249,1
1.443937,0.324433,6.104953,0
1.348598,9.740855,7.633912,1
0.812780,2.430376,4.983525,0
3.615679,9.409841,2.706529,1
6.852005,2.903979,7.204007,1
3.839644,7.387854,6.351989,1
7.877190,6.653094,1.506606,1
7.603636,9.034074,6.212163,1
7.002437,1.795533,8.621051,1
2.998580,9.796281,2.091664,1
5.350181,8.396387,2.457588,1
5.679601,9.782536,6.337445,1
4.338391,9.861286,2.261706,1
7.582182,6.782326,3.369335,1
3.681669,2.854312,2.388762,0
5.669400,1.007114,1.943544,0
4.828763,9.452318,3.245632,1
5.289704,8.232861,0.801283,1
8.303276,5.434734,2.871752,1
4.577968,5.172059,5.590468,1
6.017037,5.437307,1.622662,1
5.217058,8.583081,2.713075,1
4.088430,0.394917,2.447569,0
5.931088,5.449174,9.877138,1
9.597642,1.008260,9.110533,1
6.365002,9.013621,4.117779,1
9.707075,3.890003,6.287188,1
9.059300,2.086204,4.598150,1
6.667467,2.272197,6.097016,1
3.826517,7.840898,0.908426,1
4.527478,4.883692,2.596699,1
2.138476,6.620135,6.204958,1
1.909554,1.710988,4.806544,0
6.524393,0.014500,7.599735,0
7.738301,8.013365,0.469504,1
4.886489,9.261627,5.321196,1
4.060878,4.115117,5.851620,1
9.336609,7.458881,9.128405,1
4.826023,1.163767,6.862144,0
2.299743,6.297010,7.293322,1
5.502812,5.444026,9.776084,1
2.860424,8.472119,1.223848,1
1.666799,8.309738,7.145755,1
2.232900,7.960844,3.309398,1
6.716770,5.679578,4.573418,1
2.586292,9.942991,9.408472,1
0.267077,9.324275,2.611447,1
4.984881,6.664365,4.164749,1
9.252631,8.369295,2.323886,1
4.782400,6.770182,1.676791,1
0.142769,4.575412,2.157061,0
0.627502,8.965424,6.307566,1
1.798678,2.594183,0.690403,0
4.802043,6.404503,5.826316,1
9.240667,0.289312,8.749319,1
9.180312,1.327382,8.746588,1
1.036354,8.820103,2.013557,1
6.105167,6.371750,0.395773,1
0.981080,6.494309,1.476301,1
3.882187,4.617791,9.235552,1
9.145104,9.313936,3.768378,1
0.123208,0.749203,0.565639,0
9.245174,6.409247,3.649903,1
5.087918,2.477008,8.254381,1
4.352745,0.464391,1.981734,0
4.151061,8.057532,7.333131,1
7.688391,0.839065,5.720590,1
2.645039,3.424206,4.210256,0
8.056751,6.118152,5.631124,1
5.061870,6.653645,9.954673,1
7.480379,7.272804,8.081428,1
1.505312,7.569598,1.265389,1
3.483222,2.181028,7.170078,0
7.895037,3.484582,0.569007,1
