=== STDOUT ===

Dataset metadata
Attributes: 4
Classes:    2
populationSize 25
numberGenerations 50
numberRulesClass 5
numberWindows 5
fadingFactor 0.5
learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),NumberRules,NumberConditions,NumberNodes
3000.0,25.31128404,0.0,3000.0,65.0,20.04747403319631,7.488986784140966,-37.97634691195792,3000.0,0.0,10.0,10.0,30.0


=== STDERR ===

{M}assive {O}nline {A}nalysis
Version:  20.07 July 2020
Copyright: (C) 2007-2020 University of Waikato, Hamilton, New Zealand
Web: http://moa.cms.waikato.ac.nz/

- 0.00s [running] Preparing option stream...                                   
\ 0.41s [running] 9.01% Evaluating learner...                                  
| 0.89s [running] 9.20% Evaluating learner...                                  
/ 1.37s [running] 9.28% Evaluating learner...                                  
- 1.86s [running] 9.33% Evaluating learner...                                  
\ 2.17s [running] 9.35% Evaluating learner...                                  
| 2.51s [running] 9.36% Evaluating learner...                                  
/ 3.00s [running] 9.37% Evaluating learner...                                  
- 3.50s [running] 18.76% Evaluating learner...                                 
\ 4.15s [running] 18.76% Evaluating learner...                                 
| 4.77s [running] 18.77% Evaluating learner...                                 
/ 5.45s [running] 18.78% Evaluating learner...                                 
- 6.13s [running] 28.18% Evaluating learner...                                 
\ 6.81s [running] 28.18% Evaluating learner...                                 
| 7.40s [running] 28.18% Evaluating learner...                                 
/ 8.08s [running] 37.58% Evaluating learner...                                 
- 8.76s [running] 37.58% Evaluating learner...                                 
\ 9.43s [running] 37.59% Evaluating learner...                                 
| 10.04s [running] 37.60% Evaluating learner...                                
/ 10.63s [running] 46.99% Evaluating learner...                                
- 11.23s [running] 47.00% Evaluating learner...                                
\ 11.81s [running] 46.99% Evaluating learner...                                
| 12.48s [running] 47.00% Evaluating learner...                                
/ 13.16s [running] 56.40% Evaluating learner...                                
- 13.85s [running] 56.41% Evaluating learner...                                
\ 14.53s [running] 56.40% Evaluating learner...                                
| 15.21s [running] 65.80% Evaluating learner...                                
/ 15.90s [running] 65.81% Evaluating learner...                                
- 16.58s [running] 65.81% Evaluating learner...                                
\ 17.26s [running] 65.82% Evaluating learner...                                
| 17.94s [running] 75.22% Evaluating learner...                                
/ 18.58s [running] 75.22% Evaluating learner...                                
- 19.16s [running] 75.23% Evaluating learner...                                
\ 19.77s [running] 84.64% Evaluating learner...                                
| 20.31s [running] 84.63% Evaluating learner...                                
/ 21.01s [running] 84.63% Evaluating learner...                                
- 21.68s [running] 84.62% Evaluating learner...                                
\ 22.37s [running] 94.04% Evaluating learner...                                
| 23.07s [running] 94.02% Evaluating learner...                                
/ 23.75s [running] 94.03% Evaluating learner...                                
- 24.42s [running] 100.00% Evaluating learner...                               
\ 25.12s [running] 100.00% Evaluating learner...                               
Can not access instrumentation environment.
Please check if jar file containing SizeOfAgent class is 
specified in the java's "-javaagent" command line argument.
                                                                               
Task completed in 25.38s (CPU time)

