@RELATION SEA_Abrupt_Simple

@ATTRIBUTE att1 NUMERIC
@ATTRIBUTE att2 NUMERIC
@ATTRIBUTE att3 NUMERIC
@ATTRIBUTE class {0,1}

@DATA
3.493478,0.660289,8.431811,0
9.073834,3.892870,6.333316,1
0.945229,7.444366,3.041254,1
3.969752,2.191173,2.319813,0
6.224365,8.146479,3.883506,1
6.802776,4.682599,5.142400,1
3.358715,7.022347,4.155795,1
6.116840,9.896497,9.795142,1
2.756956,6.969648,2.933333,1
4.046352,1.329678,5.508816,0
1.716215,6.633358,9.872626,1
9.763244,1.053949,5.423513,1
6.091722,9.687993,3.784791,1
1.847121,7.322140,2.997269,1
5.648053,7.878020,7.035159,1
4.334911,0.030473,6.168656,0
4.671944,6.588683,0.154878,1
2.752399,3.217855,2.865249,0
0.147079,7.073575,0.428131,1
3.138662,1.665340,9.922588,0
8.154116,3.234238,9.107324,1
2.048028,4.065315,8.403990,0
0.689109,1.710463,8.162570,0
9.159995,5.943006,7.064039,1
1.778634,5.393395,2.708195,1
9.351387,5.131183,9.187973,1
6.733928,8.872853,9.591418,1
1.314344,4.108323,9.484486,0
7.729084,0.702563,0.915536,1
6.200569,3.129488,0.508810,1
3.707667,3.577548,4.853221,1
5.052828,6.304769,4.762761,1
1.691442,9.266545,9.868663,1
0.270666,9.671699,9.615739,1
1.426697,9.578002,6.642148,1
6.354720,6.029688,0.681793,1
1.622053,1.903373,8.699299,0
0.552705,2.774380,3.437191,0
0.103846,4.868162,1.139364,0
3.153081,6.361022,3.463330,1
3.311609,5.204029,5.746310,1
1.277035,3.973728,7.014518,0
8.450746,0.811722,9.482264,1
3.304570,1.273918,5.269340,0
3.092031,0.758721,5.174960,0
9.310125,0.834377,2.884247,1
0.515629,3.820724,1.871680,0
5.858472,5.464394,9.820543,1
6.315211,4.687364,7.617107,1
7.970589,9.049568,1.775937,1
2.824419,4.895170,6.770093,1
0.577921,9.056097,4.237839,1
8.238453,6.672914,7.988860,1
2.119838,2.949727,2.929915,0
1.265622,9.478859,8.639495,1
1.983907,4.871461,4.344949,0
5.510442,2.485086,8.502984,1
3.988115,4.436063,8.851721,1
5.547673,8.163650,4.772124,1
1.128881,0.520928,0.160267,0
9.284926,9.272556,8.135553,1
1.490109,4.504401,3.046208,0
6.418702,3.243792,3.237363,1
8.797735,0.239484,2.118437,1
1.843664,3.586572,7.481556,0
1.880412,5.176962,9.755124,1
2.960926,6.393848,6.498403,1
9.740191,6.381623,7.542408,1
7.816670,9.777274,0.655069,1
8.653808,1.043570,9.861752,1
9.167148,5.351864,2.806350,1
2.042173,3.685568,2.018947,0
8.171931,3.884156,4.270157,1
3.514624,8.837407,2.127983,1
6.983784,6.197984,1.505758,1
0.323971,9.419205,4.851938,1
3.839632,3.145525,3.868938,0
9.364939,5.159596,4.351934,1
9.305586,3.338482,7.559416,1
7.241791,8.931413,7.692650,1
9.131110,6.057744,9.393401,1
5.967303,2.512956,1.216168,1
6.205567,3.109359,1.436254,1
9.563607,3.328594,5.588360,1
8.933500,9.251505,0.838520,1
1.659709,8.060528,8.911962,1
5.947516,8.705697,7.673905,1
