@RELATION SEA_Gradual_Simple_Fast

@ATTRIBUTE att1 NUMERIC
@ATTRIBUTE att2 NUMERIC
@ATTRIBUTE att3 NUMERIC
@ATTRIBUTE class {0,1}

@DATA
7.030322,3.696848,9.765504,1
8.997472,6.245467,3.918088,1
7.295773,7.173622,3.210427,1
7.071221,1.999835,1.835056,1
8.665279,1.496937,1.587702,1
6.408865,2.839475,5.922886,1
6.246918,4.039336,0.843229,1
4.011282,8.045144,9.832640,1
5.988085,3.471003,5.826853,1
4.177813,6.473467,0.292631,1
4.320887,3.492444,3.432844,0
0.805982,2.764147,7.381057,0
3.078279,2.156243,1.170236,0
1.874448,1.973602,0.342371,0
0.158365,4.168228,6.411273,0
4.696973,1.638299,6.246292,0
7.006592,6.675275,7.636167,1
5.270151,4.273231,1.402092,1
5.218264,9.017068,8.705055,1
1.372004,2.681568,4.985489,0
4.300470,2.221603,0.873245,0
3.464816,4.147672,2.981889,0
8.513882,9.372338,5.229602,1
1.640023,9.217424,7.574538,1
0.508430,2.096817,1.090414,0
8.850341,7.572630,8.725560,1
1.996180,7.250987,2.113779,1
1.332072,3.552425,8.390775,0
0.324449,0.000102,5.591289,0
6.147446,5.438571,2.726760,1
5.035039,1.038950,9.794617,0
6.520813,9.082997,1.125928,1
7.910309,3.175099,2.906256,1
1.524418,5.647486,6.090948,0
2.812673,9.525097,6.931626,1
7.000159,6.068989,9.946384,1
5.497746,5.294429,6.298305,1
2.636852,0.301588,8.708536,0
5.158350,3.093232,0.485852,1
5.008007,6.213909,7.907013,1
1.868866,4.705715,0.265916,0
6.423668,0.730569,0.329691,0
0.271225,7.178992,2.926337,0
8.428550,1.626075,7.435913,1
4.551487,9.610857,6.830434,1
6.400421,2.718539,5.633704,1
0.908287,6.524315,9.969935,0
0.285598,3.431107,8.378792,0
7.975944,3.986337,3.645117,1
1.214375,8.593312,7.870339,1
3.949557,8.641590,0.087926,1
6.913749,9.054147,7.103503,1
8.263858,9.047535,0.440206,1
9.772822,7.531676,8.059278,1
9.064706,7.831919,0.185313,1
9.628103,2.756237,2.853265,1
7.875376,2.458392,7.869206,1
8.599980,2.226131,0.847990,1
3.964650,2.888949,9.333825,0
7.377416,6.123455,2.913766,1
7.755478,4.497598,1.849509,1
2.019801,3.134856,0.610805,0
3.448770,9.808277,4.063344,1
4.417632,8.946413,9.744626,1
0.022734,5.091714,4.462643,0
7.190268,2.468640,5.284746,1
4.845068,1.513068,0.713046,0
6.571850,7.240452,8.420998,1
6.076394,9.053857,1.434595,1
2.242345,2.433291,6.339510,0
9.057189,9.861285,0.896436,1
7.192239,1.463191,3.445241,1
5.264313,1.298330,7.995513,0
2.041282,3.495183,4.829465,0
7.197517,0.496334,0.549476,0
5.418397,6.193169,9.446124,1
2.304972,6.994293,2.371310,1
7.511590,8.435969,7.718810,1
8.039869,9.165542,4.272294,1
6.522942,1.552169,0.433252,1
6.886429,6.701190,3.083985,1
6.457094,3.692336,2.663478,1
8.340269,4.615494,4.071870,1
9.647819,9.164042,6.870058,1
4.699586,3.450537,6.666822,1
8.032026,8.636767,1.462607,1
3.464626,2.914978,5.477835,0
5.930928,6.655306,4.293153,1
4.468389,5.285770,2.293177,1
2.345373,6.623202,2.362543,1
1.007821,6.227187,0.938179,0
5.093502,2.368768,7.474904,0
3.296756,8.092600,5.072444,1
5.047448,0.671736,5.855706,0
0.618263,3.899331,0.291647,0
2.992620,9.391550,5.652066,1
6.416987,9.032550,3.047901,1
0.055103,7.056496,2.448112,0
5.095898,0.726757,8.389734,0
2.630508,6.984599,5.705952,1
6.202666,6.295082,9.275355,1
5.113265,2.196692,7.771441,0
1.545547,8.998344,7.605275,1
2.881856,2.182291,6.099936,0
3.917507,2.627365,1.249524,0
2.923923,5.843241,0.200100,1
3.703339,1.214460,6.086987,0
0.517754,0.151655,6.459034,0
6.850412,6.160217,3.773000,1
6.924732,8.493737,2.792252,1
6.567958,1.333045,9.116691,0
5.239687,3.050906,9.903092,1
3.389857,3.379657,2.599642,0
3.624860,2.332175,6.744783,0
9.421890,6.737174,7.421433,1
1.278417,4.185933,5.540862,0
1.936111,7.730778,8.523326,1
2.118528,7.559163,0.385480,1
0.727476,5.843252,1.399070,0
3.845349,3.837679,1.703486,0
9.642431,3.711583,7.787368,1
0.504963,4.486914,6.115064,0
9.485052,0.138097,7.672689,1
6.426832,2.233011,2.192945,1
0.204120,1.399983,8.382082,0
9.983861,0.037824,5.323860,1
8.311230,4.474051,7.816484,1
7.909907,2.163937,6.546040,1
6.666737,5.845873,6.436446,1
0.505246,9.096726,2.408857,1
0.130263,2.479014,3.533998,0
3.460557,9.732539,5.171450,1
2.132590,7.419461,3.511871,1
6.251264,4.277932,6.511685,1
3.098104,5.286165,4.253350,1
6.550566,7.570811,4.935924,1
6.415288,1.184491,8.741492,0
6.390331,0.782228,3.108127,0
5.897518,8.948577,7.346784,1
4.525296,8.937720,1.763030,1
9.193663,0.989225,3.752242,1
1.180499,8.706452,9.716622,1
4.512803,1.331266,7.336077,0
7.616165,2.166525,1.417674,1
5.724589,0.358146,1.143373,0
1.748885,6.381269,1.517850,1
4.249473,3.468260,2.030997,0
7.018500,6.678547,2.179349,1
1.859018,2.179322,1.503588,0
3.003397,9.896964,3.287802,1
7.291848,2.027334,1.170960,1
2.137845,6.184257,7.425970,1
0.909741,9.455092,9.369339,1
1.648923,0.261062,2.965753,0
6.588586,8.528168,5.663239,1
8.350602,4.985920,6.889916,1
6.595195,3.185580,7.447478,1
8.665737,6.514245,3.741097,1
1.328717,2.623805,9.134897,0
3.807184,9.043615,9.018728,1
5.666797,2.749232,5.135960,1
1.778268,7.790522,4.057808,1
0.959146,4.131227,1.933390,0
7.565954,6.839483,4.231619,1
1.317026,2.721589,0.560694,0
0.141223,5.252107,8.512467,0
1.432326,9.662702,4.579796,1
2.809327,6.624559,6.530824,1
1.712945,6.333217,0.225069,1
2.446894,5.662148,7.710234,1
8.827100,8.346333,1.185856,1
5.896819,5.661832,6.173125,1
2.149530,1.991309,7.271640,0
7.643152,1.585561,9.918749,1
0.374666,8.697199,4.421102,1
1.822275,1.405987,5.292147,0
2.246078,2.227154,5.441285,0
8.683451,1.806926,9.582669,1
4.406707,2.954968,9.713043,0
4.542688,8.207684,8.018016,1
3.789370,7.818051,0.247607,1
3.387020,7.778669,6.195973,1
4.929481,3.907863,4.916723,1
4.543489,2.304683,3.910076,0
7.596351,5.204426,3.900599,1
3.601077,2.507500,0.890163,0
5.622797,3.635773,7.660126,1
6.038757,5.833535,4.507081,1
7.116356,5.574382,0.930339,1
1.441531,9.225675,8.900153,1
9.369701,4.966357,7.028643,1
9.999792,9.693700,1.148848,1
6.945252,5.881286,7.713271,1
8.190848,6.234997,1.798190,1
3.909610,2.765071,9.320942,0
2.331320,7.656487,5.002456,1
1.925697,3.801807,8.840787,0
5.520481,9.119571,0.961110,1
3.969535,6.194117,5.829916,1
6.231429,4.049058,2.709194,1
2.921145,1.343118,9.519541,0
4.840488,8.746638,9.637465,1
4.316375,0.637592,9.996334,0
5.441163,8.241382,9.713441,1
8.431881,7.028193,2.429597,1
7.281234,0.335643,1.127970,0
8.533498,2.465218,1.287392,1
9.312794,1.882682,9.997855,1
5.709164,2.968630,1.738705,1
3.759551,0.714291,2.500049,0
5.860771,0.429824,5.737558,0
3.681097,5.144788,4.926819,1
8.068786,4.610336,4.114231,1
4.896319,3.449858,2.838429,1
9.950637,6.873311,2.697357,1
1.554473,2.201150,0.885324,0
5.565251,9.094652,5.067601,1
2.836542,4.616437,9.687148,0
7.965298,3.840982,3.944959,1
6.883376,0.204370,3.660573,0
7.685787,2.233036,9.740531,1
6.053512,4.195646,0.529476,1
0.801427,5.801437,8.226381,0
4.413729,4.528307,2.670179,1
3.172606,6.856701,6.095226,1
2.970774,4.611946,9.398385,0
4.388749,4.975070,0.683766,1
2.318598,5.085856,3.584820,0
6.967689,8.351681,2.932800,1
1.870531,6.560703,2.408659,1
8.910262,5.376240,7.399637,1
0.669395,3.095419,5.599603,0
2.050540,2.089178,2.214180,0
0.777098,5.125839,6.052138,0
5.145443,5.277368,9.364675,1
7.627866,8.125805,9.283168,1
0.230093,7.054042,6.912399,0
9.969008,8.985157,1.774820,1
1.593373,0.304415,5.564462,0
1.056752,8.795250,7.601955,1
3.035431,8.743661,2.681557,1
9.986950,3.425454,4.448688,1
8.061084,4.296246,4.811198,1
7.125870,7.411517,4.847677,1
0.599099,1.109961,9.671199,0
9.495265,4.813646,8.081508,1
9.038810,9.339486,4.632472,1
5.775029,4.366807,0.627917,1
7.018097,6.071409,7.316052,1
6.072192,0.562646,0.070097,0
4.551821,5.157250,5.876823,1
9.416238,0.742369,7.452003,1
5.016067,2.899758,6.486578,0
2.330670,2.024017,8.494570,0
9.096597,6.819353,0.752953,1
1.326222,9.225388,2.563568,1
3.651265,3.978501,5.081312,0
9.158977,6.677999,7.038919,1
7.785036,3.572034,1.589867,1
0.150018,1.891272,5.420063,0
0.526005,6.056594,0.662441,0
4.432450,4.678613,9.577677,1
4.381435,2.625008,8.920821,0
4.638042,2.700272,8.937269,0
7.797478,4.628400,0.393772,1
1.751687,6.926387,1.676679,1
1.670812,8.211239,0.252647,1
2.678602,7.482775,4.429176,1
0.228797,5.989266,0.838176,0
9.119548,1.841267,3.458665,1
2.659541,2.680196,1.987931,0
4.423734,5.913522,9.945932,1
1.887982,5.880086,6.487124,0
6.952947,1.329640,5.304782,1
6.906936,8.948662,9.043588,1
0.426122,3.144009,1.908090,0
8.120404,0.031517,7.407183,1
1.539374,1.659325,9.215644,0
5.743503,1.212115,2.367763,0
4.985213,6.740644,4.460541,1
2.133553,7.027684,2.130717,1
5.908551,1.028116,1.547461,0
1.723016,8.963645,0.232836,1
4.342383,0.024088,8.422795,0
2.546806,5.791635,8.503043,1
6.886434,2.235324,8.869582,1
6.909192,9.482391,9.990873,1
6.491693,1.267649,5.969345,0
8.438840,7.500747,9.656705,1
3.479297,9.520457,6.741844,1
5.130714,1.307331,4.680717,0
2.077903,1.381139,8.201815,0
9.405203,7.307611,9.669279,1
8.878672,8.882130,2.098565,1
1.021408,0.581409,6.621211,0
4.058612,9.128215,5.693222,1
5.498186,1.008232,6.118428,0
2.515318,3.582069,8.872325,0
7.505951,2.152521,6.527837,1
7.965880,3.454842,7.166435,1
2.434061,5.696717,0.952867,1
1.603855,2.118122,2.224105,0
6.508685,1.742129,5.580765,1
2.526720,6.100899,8.762044,1
9.539980,4.280131,8.372816,1
0.472914,9.257391,0.194160,1
4.521134,9.068717,6.445888,1
0.023306,0.579730,7.782091,0
2.981482,6.693422,6.629930,1
8.030124,2.805753,9.133768,1
3.528570,8.842996,8.122985,1
6.652445,5.232094,0.877848,1
7.791427,5.557934,6.596363,1
9.453138,4.709302,7.466107,1
2.042851,4.359438,0.746438,0
7.155412,4.611725,3.486918,1
3.675572,8.982672,5.964563,1
4.898360,6.839265,9.782546,1
4.072566,1.165875,8.499980,0
6.629985,6.701073,8.039829,1
3.009886,7.083810,3.701998,1
3.092562,4.463719,9.840384,0
3.143519,7.155744,2.888986,1
2.544881,2.969764,6.178411,0
3.788750,1.202140,3.831781,0
7.350249,9.970017,9.421251,1
8.012322,9.558014,3.304726,1
1.167419,7.230951,6.167755,1
1.876576,5.241422,5.106764,0
3.103686,3.046390,2.605366,0
8.258711,9.380776,4.935069,1
9.674577,0.761603,4.001212,1
5.693632,4.840341,8.388525,1
3.403739,2.006634,9.004441,0
5.484163,8.185763,1.439007,1
4.056490,5.724373,5.188727,1
6.288541,7.387218,1.725894,1
7.703273,1.195650,9.275622,1
0.143708,3.357900,6.671626,0
3.730509,1.960047,7.929011,0
8.810582,5.427279,7.561529,1
0.137002,5.574838,3.353025,0
8.033901,8.179763,5.768695,1
5.868579,2.315190,4.609818,1
2.505153,4.578531,2.098101,0
5.823988,8.851445,9.497043,1
5.069584,5.332837,0.288752,1
5.746669,4.539966,9.129688,1
2.924301,4.745799,7.906212,0
0.231642,4.177009,1.086949,0
5.084654,9.046500,6.564834,1
8.932352,2.370630,8.027772,1
2.096271,3.601923,0.789433,0
1.783995,2.764144,4.047570,0
9.240251,5.153984,8.112324,1
8.037002,8.684211,5.890668,1
5.066701,5.082415,2.594295,1
1.676208,4.294289,7.217403,0
1.035058,2.577092,2.367720,0
4.441048,3.340059,4.689834,0
5.552284,5.083159,2.102751,1
9.059206,5.264500,9.365759,1
7.143000,9.185801,0.316262,1
6.309423,6.236858,8.878600,1
5.472328,1.461292,7.233914,0
1.775569,0.206725,6.210266,0
9.869159,4.444052,1.998182,1
5.710312,7.536499,1.203952,1
3.884209,0.206738,1.579080,0
0.698690,5.443963,5.159563,0
9.509161,8.374429,4.484189,1
4.192700,5.646216,6.445526,1
3.458680,4.061420,3.146598,0
3.690831,0.747164,3.929911,0
1.219606,0.265374,2.881173,0
8.983830,8.809503,5.207497,1
1.004028,4.026526,3.109457,0
4.966051,6.138599,0.298529,1
3.985639,4.744989,4.023784,1
2.271268,0.132110,4.606060,0
9.987705,7.977387,1.391952,1
7.187490,5.734234,1.448809,1
6.555956,6.206410,7.411385,1
7.582700,8.110933,2.251027,1
6.972427,3.109628,1.668775,1
9.640853,7.699430,7.546627,1
7.163698,8.908890,0.133743,1
7.482595,7.697792,9.024187,1
8.368711,0.835796,3.203429,1
6.527370,1.247134,8.560982,0
2.887153,1.600195,6.611349,0
9.264786,0.540026,6.185316,1
7.557482,7.756911,5.793702,1
8.253140,1.971382,7.306746,1
5.773448,7.033532,0.250596,1
7.611661,8.431507,1.076841,1
5.071332,5.017624,4.807351,1
2.048865,4.344037,3.513415,0
5.199749,2.185538,9.382927,0
2.133922,9.501742,6.499765,1
3.349524,8.473760,4.490825,1
6.589605,7.466498,5.872974,1
1.721247,9.223150,4.024304,1
1.193896,6.089774,4.500293,0
