=== STDOUT ===

Dataset metadata
Attributes: 4
Classes:    2
populationSize 25
numberGenerations 50
numberRulesClass 5
numberWindows 5
fadingFactor 0.5
learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),NumberRules,NumberConditions,NumberNodes
3000.0,25.15183835,0.0,3000.0,63.6,21.27358007673663,14.620797498045352,-16.29392971246008,3000.0,0.0,10.0,10.0,30.0


=== STDERR ===

{M}assive {O}nline {A}nalysis
Version:  20.07 July 2020
Copyright: (C) 2007-2020 University of Waikato, Hamilton, New Zealand
Web: http://moa.cms.waikato.ac.nz/

- 0.00s [running] Preparing option stream...                                   
\ 0.47s [running] 9.01% Evaluating learner...                                  
| 0.92s [running] 9.20% Evaluating learner...                                  
/ 1.37s [running] 9.28% Evaluating learner...                                  
- 1.72s [running] 9.32% Evaluating learner...                                  
\ 1.98s [running] 9.33% Evaluating learner...                                  
| 2.31s [running] 9.35% Evaluating learner...                                  
/ 2.63s [running] 9.36% Evaluating learner...                                  
- 3.24s [running] 9.37% Evaluating learner...                                  
\ 3.89s [running] 18.76% Evaluating learner...                                 
| 4.54s [running] 18.77% Evaluating learner...                                 
/ 5.21s [running] 18.78% Evaluating learner...                                 
- 5.89s [running] 28.18% Evaluating learner...                                 
\ 6.57s [running] 28.17% Evaluating learner...                                 
| 7.19s [running] 28.18% Evaluating learner...                                 
/ 7.86s [running] 28.19% Evaluating learner...                                 
- 8.54s [running] 37.58% Evaluating learner...                                 
\ 9.21s [running] 37.58% Evaluating learner...                                 
| 9.74s [running] 37.58% Evaluating learner...                                 
/ 10.32s [running] 46.99% Evaluating learner...                                
- 10.87s [running] 47.00% Evaluating learner...                                
\ 11.50s [running] 46.99% Evaluating learner...                                
| 12.18s [running] 47.00% Evaluating learner...                                
/ 12.85s [running] 56.40% Evaluating learner...                                
- 13.54s [running] 56.41% Evaluating learner...                                
\ 14.22s [running] 56.41% Evaluating learner...                                
| 14.89s [running] 65.80% Evaluating learner...                                
/ 15.58s [running] 65.81% Evaluating learner...                                
- 16.27s [running] 65.81% Evaluating learner...                                
\ 16.95s [running] 75.21% Evaluating learner...                                
| 17.64s [running] 75.22% Evaluating learner...                                
/ 18.24s [running] 75.22% Evaluating learner...                                
- 18.80s [running] 75.20% Evaluating learner...                                
\ 19.39s [running] 84.61% Evaluating learner...                                
| 19.98s [running] 84.63% Evaluating learner...                                
/ 20.67s [running] 84.62% Evaluating learner...                                
- 21.35s [running] 84.62% Evaluating learner...                                
\ 22.03s [running] 94.01% Evaluating learner...                                
| 22.72s [running] 94.02% Evaluating learner...                                
/ 23.40s [running] 94.03% Evaluating learner...                                
- 24.08s [running] 100.00% Evaluating learner...                               
\ 24.76s [running] 100.00% Evaluating learner...                               
Can not access instrumentation environment.
Please check if jar file containing SizeOfAgent class is 
specified in the java's "-javaagent" command line argument.
                                                                               
Task completed in 25.22s (CPU time)

