@RELATION AGRAWAL_Abrupt_Simple_Severe

@ATTRIBUTE salary NUMERIC
@ATTRIBUTE commission NUMERIC
@ATTRIBUTE age NUMERIC
@ATTRIBUTE elevel NUMERIC
@ATTRIBUTE car NUMERIC
@ATTRIBUTE zipcode NUMERIC
@ATTRIBUTE hvalue NUMERIC
@ATTRIBUTE hyears NUMERIC
@ATTRIBUTE loan NUMERIC
@ATTRIBUTE class {0,1}

@DATA
77855.302647,0.000000,67.000000,0.000000,19.000000,0.000000,599891.306749,1.000000,126019.402972,0
25494.126333,14026.350792,75.000000,0.000000,3.000000,0.000000,950390.908230,20.000000,443437.600072,1
88058.926593,0.000000,26.000000,3.000000,4.000000,0.000000,508404.992685,27.000000,201702.624939,1
137974.587073,0.000000,71.000000,3.000000,10.000000,5.000000,216400.542055,28.000000,140041.596598,0
137955.347060,0.000000,55.000000,0.000000,8.000000,2.000000,426129.421428,20.000000,182739.742432,0
139358.502114,0.000000,49.000000,2.000000,20.000000,6.000000,147503.007184,29.000000,373530.496407,0
144030.339221,0.000000,29.000000,4.000000,8.000000,4.000000,531302.621937,19.000000,271504.647685,0
113582.398701,0.000000,25.000000,0.000000,13.000000,3.000000,443834.913132,19.000000,199689.816652,0
142086.129620,0.000000,55.000000,1.000000,19.000000,5.000000,330625.133802,14.000000,284906.220978,0
60563.709657,79685.828802,30.000000,3.000000,11.000000,3.000000,337153.215800,22.000000,358583.930282,1
84796.109497,0.000000,22.000000,2.000000,5.000000,5.000000,185520.083039,27.000000,26247.901168,1
29533.539055,44603.131380,50.000000,3.000000,10.000000,5.000000,417063.893679,12.000000,93970.010637,0
119875.283596,0.000000,73.000000,0.000000,15.000000,5.000000,244715.231692,6.000000,439622.888917,0
72028.355957,70130.392370,60.000000,2.000000,15.000000,4.000000,207810.784349,12.000000,40188.420344,1
82060.354510,0.000000,25.000000,0.000000,12.000000,2.000000,504385.361682,27.000000,121776.550560,1
130437.679616,0.000000,62.000000,4.000000,18.000000,1.000000,634001.317416,8.000000,38423.651477,0
54487.473750,76170.369593,58.000000,4.000000,20.000000,5.000000,326552.202108,13.000000,241983.771495,0
103108.425266,0.000000,46.000000,3.000000,14.000000,5.000000,251635.427845,22.000000,453576.049905,1
54154.931836,45545.470813,24.000000,0.000000,7.000000,3.000000,650680.546576,2.000000,371349.414834,1
108913.942537,0.000000,77.000000,2.000000,5.000000,3.000000,678851.352550,23.000000,477863.210974,0
44654.812825,14274.756258,43.000000,1.000000,12.000000,8.000000,0.000000,28.000000,127064.803198,0
75768.565169,0.000000,55.000000,3.000000,12.000000,2.000000,794333.025998,9.000000,429497.217233,1
129644.217807,0.000000,40.000000,3.000000,4.000000,7.000000,85895.385389,10.000000,321191.817448,0
59069.343510,78794.427089,24.000000,1.000000,17.000000,0.000000,1086783.961677,24.000000,383849.676320,1
22197.271940,12638.546472,20.000000,2.000000,10.000000,6.000000,126063.580454,21.000000,39983.562954,0
35755.875234,20346.357599,59.000000,4.000000,7.000000,2.000000,767684.229310,1.000000,152456.094095,0
60989.095519,27334.096641,58.000000,3.000000,1.000000,4.000000,316852.803122,24.000000,177156.101629,0
65287.130854,16151.357931,28.000000,1.000000,5.000000,1.000000,421118.015357,15.000000,167541.011732,1
94215.348065,0.000000,66.000000,2.000000,6.000000,1.000000,641335.801160,13.000000,169135.938747,0
134298.551366,0.000000,41.000000,1.000000,8.000000,0.000000,991767.933590,5.000000,371009.099485,0
140884.727451,0.000000,55.000000,1.000000,5.000000,7.000000,137519.436686,15.000000,455900.177261,0
133742.057819,0.000000,50.000000,2.000000,5.000000,4.000000,507735.156910,10.000000,322021.795041,0
111422.441851,0.000000,65.000000,4.000000,13.000000,7.000000,103472.440695,29.000000,437362.696565,0
47573.198230,31330.469187,80.000000,3.000000,8.000000,8.000000,0.000000,12.000000,284538.174919,1
133347.624876,0.000000,61.000000,1.000000,6.000000,2.000000,634228.567013,29.000000,71437.042081,0
93513.643565,0.000000,22.000000,4.000000,20.000000,2.000000,790394.161986,23.000000,100131.972064,1
146118.442866,0.000000,29.000000,2.000000,4.000000,4.000000,339259.982548,1.000000,429111.940250,0
128034.605961,0.000000,51.000000,4.000000,12.000000,3.000000,286888.558438,20.000000,325435.491952,0
58999.365974,79119.674361,62.000000,3.000000,13.000000,3.000000,718914.073416,18.000000,263597.163927,1
62642.988640,69679.066899,26.000000,4.000000,13.000000,5.000000,434928.734529,7.000000,345370.868262,1
86875.493200,0.000000,35.000000,1.000000,7.000000,7.000000,107574.872698,28.000000,451866.073445,1
