@RELATION SEA_Abrupt_Simple

@ATTRIBUTE 0 NUMERIC
@ATTRIBUTE 1 NUMERIC
@ATTRIBUTE 2 NUMERIC
@ATTRIBUTE class {0,1}

@DATA
5.842008,8.296332,0.986970,1
0.148504,2.376062,5.338731,0
4.719080,9.031436,9.727367,1
0.350233,4.645172,7.667893,0
0.506313,2.431959,1.055127,0
1.763056,4.468917,1.048144,0
5.268540,3.269639,4.536711,1
5.136206,7.688667,8.154370,1
1.740475,5.540716,4.449309,0
9.908820,6.378437,3.253939,1
5.865524,2.707804,0.039747,1
4.033744,8.093745,0.458263,1
2.446731,2.975389,2.172894,0
9.735364,6.459316,4.998616,1
9.977047,3.544392,0.453356,1
5.101876,3.351300,9.785580,1
8.059157,5.490335,1.999835,1
5.595055,1.063633,7.216585,0
4.939179,5.439730,0.916564,1
3.739683,0.100132,2.771571,0
0.140572,7.828823,7.873345,0
3.337987,9.689462,2.937447,1
2.372482,3.891162,0.287774,0
2.995561,6.338250,8.697426,1
4.991738,5.534091,9.445543,1
4.207609,9.451678,3.375044,1
8.974242,0.028850,2.356728,1
1.092539,0.943275,7.557896,0
7.454237,1.738501,3.189146,1
0.714915,8.936744,0.982386,1
0.896988,8.336006,8.657477,1
7.549673,9.596700,1.793209,1
3.152658,1.026590,5.521135,0
3.098830,3.428964,6.427923,0
2.684842,1.790179,1.252207,0
2.440232,9.625902,4.685848,1
5.761421,9.753195,1.814795,1
2.136411,6.520960,2.977341,1
6.561117,7.233235,0.668543,1
3.896342,5.730117,5.778764,1
5.777516,4.214246,2.848505,1
8.868520,0.458434,3.861257,1
9.985333,2.051716,0.250559,1
7.684480,3.235205,1.228545,1
7.437895,6.210535,8.603394,1
1.688304,6.943658,6.222792,1
2.271165,2.083972,3.319512,0
5.264074,4.675110,5.621308,1
6.348266,6.824027,1.413888,1
2.611018,2.842549,8.786820,0
2.369024,0.641758,1.066890,0
0.068892,7.186412,2.861236,0
7.895288,7.448505,0.799069,1
3.760404,0.534438,0.920098,0
7.157372,1.431915,2.885892,1
1.778430,4.468230,6.382807,0
4.643619,7.475479,8.537024,1
1.331650,2.456773,7.724032,0
4.691666,9.042207,1.548996,1
5.457175,7.076866,4.920155,1
2.463594,7.114937,0.995072,1
1.429696,5.697140,4.399184,0
1.886641,6.658871,2.566520,1
4.611289,7.686186,9.335694,1
7.956864,6.888365,6.713858,1
9.082226,9.291304,4.635682,1
4.835310,4.556554,6.187670,1
8.633942,0.428966,1.512417,1
9.515136,9.253611,8.594239,1
1.434730,4.448522,6.525545,0
5.964013,8.278872,8.493488,1
3.184666,8.212842,3.535266,1
7.617801,7.930121,8.785072,1
9.606267,5.881249,4.330761,1
4.662838,0.607198,5.343328,0
0.455502,3.030718,4.589980,0
2.454310,9.181666,4.438097,1
7.970532,3.658029,4.778601,1
7.122860,0.020666,1.037291,0
8.592069,4.071161,8.293614,1
4.295576,6.178711,2.077636,1
4.437324,1.467827,5.733771,0
6.735720,2.944060,3.318769,1
4.709601,7.638746,7.765611,1
5.245656,6.716772,7.851728,1
2.829971,7.745509,2.092834,1
2.614797,9.134761,0.973883,1
5.566705,9.968372,9.958055,1
1.703241,1.255987,3.251464,0
6.301011,4.543593,3.264971,1
1.446830,6.628677,6.527007,1
8.863737,4.948398,8.273930,1
0.211077,4.868161,8.065800,0
7.576288,6.567816,7.177340,1
2.282654,9.275911,9.893037,1
9.715289,5.910024,4.682032,1
2.660694,9.046560,9.830200,1
2.677820,6.559438,3.391752,1
3.120180,5.589080,0.656914,1
4.860334,6.183059,9.383483,1
4.729144,5.509134,2.404652,1
9.053405,5.341509,4.801861,1
9.769664,4.601996,9.544026,1
8.445716,9.275632,5.728841,1
7.132545,2.124807,3.383075,1
7.547756,4.553979,7.928651,1
9.067060,7.239473,4.902641,1
5.722858,0.569196,2.036566,0
1.757461,1.995060,4.188670,0
1.733099,2.210817,4.926573,0
4.635348,4.603987,4.880347,1
9.708418,2.738693,8.807710,1
7.635194,0.656858,3.852048,1
7.557360,9.078804,4.998129,1
6.967845,0.632534,0.847089,0
3.605677,4.446947,9.965915,1
2.197631,6.244098,3.776205,1
6.318807,7.617481,2.215335,1
1.750559,1.291061,8.167888,0
1.140996,8.932724,3.723685,1
5.226479,9.890615,9.708365,1
5.591572,9.969451,1.124090,1
6.306404,1.461829,5.062065,0
2.948884,1.755772,3.393522,0
0.232514,6.322269,8.709107,0
9.665672,9.100520,2.136704,1
6.515830,3.408310,6.376223,1
2.791974,9.788271,6.169184,1
2.697173,2.807826,6.529873,0
1.938581,4.063596,8.814256,0
0.636721,4.709355,4.134853,0
9.985722,2.631553,1.889148,1
8.302106,2.288516,7.157722,1
6.000802,7.437072,5.688509,1
8.597290,7.094240,7.441527,1
9.843038,5.679497,8.632200,1
2.409855,5.867051,6.501137,1
8.584350,6.803270,2.406525,1
8.718529,1.838925,2.045211,1
5.523278,3.354113,6.084093,1
2.625759,6.114052,9.083446,1
4.037173,2.192457,0.278488,0
0.771599,5.912234,6.615554,0
4.299960,4.732761,4.741237,1
0.455347,6.184519,8.087353,0
2.551180,3.960599,3.932634,0
8.716443,7.821544,8.704477,1
7.087504,4.011675,3.342733,1
7.212733,9.287346,2.878130,1
1.225467,4.693638,0.067965,0
0.047428,8.980972,0.846946,1
8.092320,1.717193,9.137186,1
2.158137,6.852962,6.165563,1
7.953348,2.764453,5.628099,1
6.830548,9.671339,9.693371,1
7.451636,5.191206,9.212994,1
8.256900,4.178002,8.658367,1
8.907079,2.999056,1.535965,1
6.838082,8.139611,5.818734,1
0.958510,7.640703,0.807888,1
7.809275,0.850670,0.877858,1
2.088887,9.803883,5.698334,1
2.070805,4.586461,5.323729,0
6.523545,7.366812,5.949009,1
6.740551,0.152569,1.991992,0
5.549045,4.160540,5.639869,1
3.193531,1.418364,7.054281,0
8.205838,9.764686,4.786307,1
0.831005,2.030419,4.697284,0
4.471611,0.204243,7.391221,0
9.873735,3.580955,4.614335,1
6.130476,5.901311,9.912048,1
4.564997,2.589614,8.606705,0
2.419788,1.794815,6.645531,0
3.327233,4.174607,9.956932,0
5.406978,1.689807,0.911261,0
2.592034,2.890301,1.569038,0
