@RELATION AGRAWAL_Abrupt_Simple_Mild

@ATTRIBUTE salary NUMERIC
@ATTRIBUTE commission NUMERIC
@ATTRIBUTE age NUMERIC
@ATTRIBUTE elevel NUMERIC
@ATTRIBUTE car NUMERIC
@ATTRIBUTE zipcode NUMERIC
@ATTRIBUTE hvalue NUMERIC
@ATTRIBUTE hyears NUMERIC
@ATTRIBUTE loan NUMERIC
@ATTRIBUTE class {0,1}

@DATA
60486.371913,17511.007968,25.000000,4.000000,5.000000,0.000000,492088.230259,4.000000,217328.455903,1
25623.614284,21756.099614,79.000000,1.000000,10.000000,8.000000,0.000000,6.000000,464819.923535,1
141548.299509,0.000000,60.000000,2.000000,17.000000,7.000000,135260.496195,19.000000,367088.231833,0
58165.280473,50449.289930,59.000000,0.000000,11.000000,1.000000,899649.162019,15.000000,10528.700562,0
44075.571827,74001.941718,39.000000,1.000000,1.000000,2.000000,770543.379397,10.000000,131283.550661,0
122315.329413,0.000000,33.000000,0.000000,9.000000,5.000000,340608.321233,4.000000,211614.818638,0
52211.106956,41857.585308,33.000000,3.000000,13.000000,2.000000,872360.716643,22.000000,410288.874648,1
54962.920668,53728.642960,38.000000,0.000000,6.000000,5.000000,348129.349523,24.000000,397327.868586,1
98478.227927,0.000000,52.000000,1.000000,18.000000,5.000000,160188.361073,2.000000,364289.668625,1
88282.721349,0.000000,75.000000,0.000000,14.000000,6.000000,144624.741706,1.000000,217257.837707,0
120065.090043,0.000000,64.000000,3.000000,18.000000,1.000000,369536.452757,29.000000,234864.607840,0
20001.273702,34351.688621,44.000000,1.000000,8.000000,5.000000,303579.562199,5.000000,136832.792357,0
148835.305168,0.000000,61.000000,4.000000,17.000000,1.000000,424367.576816,7.000000,387024.242233,0
120015.934576,0.000000,77.000000,4.000000,20.000000,6.000000,177575.392379,14.000000,434829.170651,0
99019.738263,0.000000,75.000000,1.000000,8.000000,7.000000,90509.286262,27.000000,111196.974981,0
52069.603451,42755.802103,73.000000,2.000000,7.000000,0.000000,471554.230678,7.000000,184711.693908,1
35552.632267,10356.513942,39.000000,2.000000,20.000000,3.000000,366147.548340,11.000000,6615.427456,0
47324.946561,32625.051510,28.000000,1.000000,6.000000,5.000000,151240.997722,17.000000,206274.060944,0
70826.238241,80720.261531,71.000000,0.000000,16.000000,7.000000,145981.892821,5.000000,30239.612821,1
