@relation AGRAWAL_Abrupt_Simple_Severe

@attribute attr0 numeric
@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute class {0,1}

@data
115315.2586834694,0.0,45.0,0.0,9.0,7.0,78134.44079136742,17.0,427383.51776175766,1
37227.11224845721,54088.59836654501,38.0,2.0,9.0,6.0,170839.40344817986,6.0,235856.77211167515,0
133336.23059338413,0.0,24.0,2.0,9.0,6.0,246723.555342152,26.0,451165.211763058,0
77735.86378427944,0.0,26.0,2.0,19.0,1.0,372073.4715437432,19.0,381130.5692560568,1
137032.76582556183,0.0,33.0,3.0,10.0,3.0,562558.2397846851,5.0,197798.5613361823,0
68331.58167239875,52345.66366316281,20.0,3.0,14.0,0.0,499621.2130807996,10.0,314667.7895466496,1
128946.40438769948,0.0,80.0,3.0,13.0,0.0,514497.5280830712,20.0,368514.9076157968,0
146862.32466397958,0.0,33.0,2.0,12.0,1.0,550548.5345315967,19.0,6855.422594363947,0
34868.07083327822,43577.02126792935,39.0,4.0,3.0,4.0,298063.7359987527,22.0,233077.3221846708,0
68819.80569777763,56761.20588540792,36.0,2.0,11.0,5.0,165849.5703133788,13.0,36008.60644383097,1
142267.2702108444,0.0,60.0,4.0,6.0,7.0,66006.02207837046,22.0,10030.404649221837,0
138580.0907962926,0.0,22.0,3.0,3.0,5.0,397972.2768310828,27.0,471528.8603323731,0
115573.79673185504,0.0,33.0,0.0,16.0,7.0,142501.33251956187,9.0,378548.6723912341,0
49518.760997777616,24211.57891568439,75.0,2.0,11.0,0.0,713635.0296014418,1.0,225817.94240837023,1
103648.07680146328,0.0,27.0,2.0,4.0,0.0,1023710.1530630442,4.0,269371.50896610547,0
42845.55657022152,62142.12026273567,71.0,0.0,6.0,7.0,62782.22530273053,20.0,145211.9306198079,1
115815.94628144744,0.0,27.0,4.0,4.0,6.0,111610.47051841691,14.0,401051.4649943056,0
52081.49895013189,22108.987811482053,70.0,1.0,8.0,4.0,473312.1950506829,28.0,426582.90637215273,1
133597.10816617467,0.0,46.0,3.0,6.0,0.0,556336.739079671,25.0,26412.6480718741,0
113334.57028965694,0.0,38.0,1.0,17.0,3.0,312661.1447043704,20.0,233180.2357533802,0
144828.34922106325,0.0,72.0,2.0,11.0,6.0,217175.31856792985,6.0,441353.105386933,0
132696.53143829567,0.0,20.0,0.0,18.0,5.0,362129.50563462,30.0,102839.1610689387,0
43930.040665477376,40030.06237510706,54.0,1.0,8.0,7.0,132855.88844189924,13.0,39440.532096132185,0
119506.37701612152,0.0,22.0,2.0,19.0,2.0,722289.9841109944,4.0,431790.20461575815,0
94509.65428674153,0.0,56.0,1.0,3.0,1.0,929467.9535286753,6.0,130040.02778367906,1
33348.297717639194,40513.59274744916,40.0,1.0,8.0,4.0,247941.73166418145,21.0,216568.49445412896,0
90642.36854013916,0.0,72.0,4.0,15.0,7.0,86192.85624541387,3.0,243771.4969914895,0
142463.21256144793,0.0,66.0,4.0,19.0,1.0,996110.8744580623,13.0,7887.978046646871,0
108713.15085162615,0.0,34.0,3.0,13.0,4.0,575337.1474026493,29.0,355404.8139315936,0
76078.73102832228,0.0,79.0,0.0,18.0,3.0,435289.2375268157,27.0,92637.08741070986,0
91362.45795793847,0.0,74.0,4.0,5.0,7.0,112008.56657143588,8.0,366979.89148147136,0
70046.37704831989,80191.87568010109,28.0,0.0,2.0,0.0,769642.4488781196,27.0,413523.6252628268,1
22385.66509908106,20984.13064256747,47.0,1.0,20.0,4.0,389741.4834964028,7.0,415903.8512502731,0
117183.0768638676,0.0,22.0,3.0,9.0,1.0,713285.5199647896,3.0,178272.66102811106,0
108158.64512140292,0.0,49.0,4.0,13.0,1.0,969632.5284364508,28.0,249863.6259865889,1
144793.20507172553,0.0,58.0,3.0,1.0,4.0,532731.3048340336,7.0,5270.629875913924,0
109085.91002354836,0.0,72.0,4.0,5.0,7.0,78304.53543803922,30.0,417454.6129458423,0
79315.81774192506,0.0,22.0,0.0,16.0,2.0,883308.2983377981,16.0,96201.2334473425,1
124995.77563402246,0.0,43.0,2.0,7.0,1.0,804488.8109889064,17.0,53926.31803300896,1
83884.82197656107,0.0,49.0,3.0,18.0,3.0,335014.0908025759,30.0,17603.620200540292,1
122216.59638945675,0.0,70.0,4.0,13.0,3.0,634737.968805237,1.0,140491.06646656734,0
69440.58995824025,30268.59259047205,20.0,0.0,15.0,3.0,453272.7829352801,30.0,457496.7383792969,1
132462.8757618699,0.0,28.0,1.0,12.0,2.0,487056.0643370598,4.0,374860.438800295,0
85241.82666588659,0.0,52.0,0.0,19.0,7.0,70220.81328705339,28.0,17330.657958011143,1
43064.34086706188,69069.79086777745,42.0,0.0,16.0,1.0,561881.6291168275,12.0,463768.7660018866,0
91977.06460545537,0.0,29.0,1.0,3.0,6.0,174877.3922604714,10.0,38873.9981021276,1
95220.60514475584,0.0,64.0,4.0,9.0,4.0,544302.2377037458,19.0,434039.3829308377,0
47409.82980686297,11093.1839899697,68.0,2.0,6.0,2.0,813555.3245173983,9.0,395931.48963268,1
43009.22785988976,13225.486659159917,69.0,3.0,1.0,5.0,423754.3805314335,8.0,164367.02092401002,1
97801.0077273747,0.0,22.0,2.0,8.0,7.0,56688.42683930001,23.0,54656.52166803159,1
39903.82169486515,52638.64910698775,32.0,0.0,9.0,1.0,799081.5777410773,2.0,109520.16810400416,0
145525.15639814333,0.0,40.0,4.0,4.0,4.0,580411.9741167139,27.0,372034.5186396301,0
99488.22449838195,0.0,50.0,4.0,6.0,1.0,912780.110451672,3.0,447567.7266792477,1
122182.7742175206,0.0,64.0,3.0,8.0,4.0,468804.5902602411,21.0,178681.281372995,0
