@RELATION HYPERPLANE_Abrupt_Simple

@ATTRIBUTE 0 NUMERIC
@ATTRIBUTE 1 NUMERIC
@ATTRIBUTE 2 NUMERIC
@ATTRIBUTE 3 NUMERIC
@ATTRIBUTE 4 NUMERIC
@ATTRIBUTE 5 NUMERIC
@ATTRIBUTE 6 NUMERIC
@ATTRIBUTE 7 NUMERIC
@ATTRIBUTE 8 NUMERIC
@ATTRIBUTE 9 NUMERIC
@ATTRIBUTE class {0,1}

@DATA
0.608602,0.544902,0.756100,0.261325,0.467379,0.891001,0.725623,0.603042,0.125764,0.938591,1
0.499692,0.687099,0.535744,0.011783,0.202420,0.422482,0.292557,0.112571,0.121022,0.731191,0
0.762169,0.989969,0.727970,0.480985,0.711504,0.629045,0.135646,0.548585,0.615795,0.190003,1
0.308394,0.957623,0.883542,0.488684,0.172531,0.921457,0.848304,0.016743,0.813704,0.012945,0
0.635913,0.144630,0.527200,0.888805,0.390364,0.619548,0.354143,0.665200,0.350063,0.270812,1
0.891176,0.692968,0.308390,0.070479,0.973990,0.914384,0.903582,0.376469,0.590068,0.750860,1
0.499191,0.403514,0.866682,0.819822,0.134482,0.290161,0.454247,0.954144,0.836336,0.439022,0
0.907924,0.177662,0.826689,0.912354,0.428624,0.342940,0.040408,0.031190,0.944173,0.870741,1
0.358140,0.019327,0.936627,0.549893,0.280146,0.901421,0.341838,0.993697,0.676175,0.927864,1
0.555271,0.595556,0.617380,0.963899,0.916794,0.454843,0.331620,0.791813,0.528687,0.307392,1
0.481359,0.383204,0.118464,0.891692,0.313319,0.932552,0.695699,0.962121,0.697365,0.945476,1
0.044240,0.942088,0.758025,0.086847,0.700281,0.645334,0.966326,0.507090,0.087157,0.484873,1
0.034151,0.426738,0.239526,0.944374,0.324953,0.968291,0.352048,0.368932,0.006057,0.816586,0
0.561618,0.314975,0.906993,0.756326,0.389423,0.829356,0.010804,0.772169,0.110092,0.598568,0
0.731032,0.742808,0.568959,0.142606,0.930541,0.035583,0.634775,0.166323,0.936051,0.155986,1
0.539497,0.202846,0.283122,0.279707,0.398796,0.498055,0.051014,0.409922,0.604600,0.465537,0
0.768500,0.095113,0.621431,0.774830,0.744745,0.605141,0.414301,0.913132,0.978253,0.627490,1
0.947912,0.622190,0.483756,0.211872,0.461442,0.604674,0.329711,0.451250,0.301368,0.599352,1
0.727320,0.861666,0.130904,0.808540,0.893905,0.567738,0.080045,0.232774,0.185828,0.876391,1
0.564764,0.552749,0.148356,0.207204,0.175551,0.089549,0.701878,0.527998,0.791682,0.546595,0
0.568784,0.543390,0.464747,0.207740,0.689296,0.527180,0.001507,0.750804,0.069673,0.314787,0
0.110490,0.199226,0.659475,0.105149,0.438468,0.875220,0.590405,0.891795,0.286578,0.555743,0
0.214378,0.170301,0.903010,0.765009,0.991112,0.728309,0.959620,0.441417,0.837014,0.926615,1
0.529265,0.262232,0.994278,0.386240,0.991939,0.241837,0.706075,0.754039,0.418729,0.665719,1
0.905390,0.002041,0.861156,0.321152,0.772629,0.363338,0.410560,0.257330,0.814276,0.206352,0
0.992321,0.750968,0.411510,0.841311,0.941730,0.980458,0.150468,0.129999,0.222692,0.027008,1
0.376510,0.444065,0.648054,0.510988,0.435411,0.115366,0.957759,0.759035,0.340836,0.736650,0
0.050638,0.298496,0.857150,0.268681,0.349070,0.810199,0.364254,0.010458,0.504003,0.923418,0
0.229737,0.332222,0.335637,0.194849,0.235793,0.185264,0.289564,0.996684,0.628241,0.981043,0
0.475767,0.511998,0.210161,0.383769,0.484335,0.730029,0.393606,0.392588,0.597439,0.080928,0
0.020027,0.495225,0.210547,0.887985,0.360051,0.176943,0.036085,0.156823,0.389827,0.522281,0
0.801800,0.936824,0.144960,0.875203,0.705014,0.948426,0.982081,0.072937,0.668922,0.348292,1
0.664531,0.402080,0.828710,0.424191,0.665909,0.437876,0.881362,0.549655,0.849422,0.493628,1
0.856782,0.944205,0.088754,0.894772,0.108957,0.258731,0.825647,0.060260,0.650728,0.356824,1
0.191744,0.375609,0.758114,0.981826,0.820822,0.621247,0.658771,0.283438,0.011872,0.793391,0
0.882775,0.889580,0.957452,0.535738,0.954577,0.705202,0.877381,0.701359,0.910766,0.329717,1
0.201218,0.743177,0.437014,0.091588,0.093092,0.179062,0.681191,0.585199,0.686976,0.029085,0
0.330152,0.875667,0.923585,0.900345,0.718006,0.668740,0.273306,0.764594,0.292420,0.345994,1
0.946053,0.087038,0.778021,0.637414,0.846546,0.893447,0.073759,0.378440,0.696845,0.937739,1
0.734247,0.864699,0.086380,0.629683,0.045681,0.102182,0.226208,0.966104,0.350547,0.738050,1
0.618637,0.161004,0.474214,0.072667,0.424453,0.985413,0.059946,0.723394,0.379931,0.201067,1
0.997698,0.434564,0.865419,0.549154,0.801904,0.946357,0.371026,0.905417,0.759418,0.036143,1
0.518934,0.778368,0.867416,0.707086,0.971249,0.169961,0.951815,0.120586,0.926467,0.212880,1
0.910977,0.397489,0.448922,0.086215,0.416458,0.499766,0.238570,0.186093,0.227767,0.325413,0
0.460168,0.448549,0.458111,0.812592,0.504378,0.043319,0.248930,0.387194,0.083728,0.432483,0
0.809997,0.700102,0.003657,0.905473,0.608994,0.009416,0.768461,0.349473,0.572330,0.699030,1
0.419419,0.985411,0.969344,0.989129,0.023767,0.590697,0.124191,0.446847,0.016041,0.472068,0
0.577081,0.477463,0.325357,0.343151,0.414649,0.913766,0.980145,0.558116,0.542595,0.595112,1
0.690866,0.530490,0.784403,0.365494,0.333639,0.237270,0.102239,0.892497,0.922218,0.725972,1
0.183603,0.039365,0.017951,0.312445,0.623027,0.851629,0.210691,0.847535,0.734392,0.434055,0
0.308776,0.148434,0.103180,0.829280,0.327401,0.820552,0.432986,0.041148,0.309014,0.910538,0
0.236721,0.986782,0.841602,0.977462,0.458669,0.787184,0.886216,0.851051,0.891920,0.262886,1
0.755587,0.929070,0.512105,0.090397,0.436703,0.661432,0.981205,0.340101,0.805244,0.233951,1
0.557260,0.761697,0.527914,0.731447,0.044377,0.786923,0.401205,0.913803,0.375332,0.366936,1
0.735934,0.148636,0.839788,0.347599,0.022216,0.709704,0.277824,0.663390,0.273426,0.623250,0
0.025075,0.243484,0.313364,0.214521,0.223059,0.709046,0.156969,0.181883,0.778340,0.767290,0
0.721504,0.159377,0.101913,0.884270,0.106824,0.321532,0.963635,0.103072,0.804062,0.529294,0
