@RELATION RANDOMTREE_Abrupt_Simple

@ATTRIBUTE x_num_0 NUMERIC
@ATTRIBUTE x_num_1 NUMERIC
@ATTRIBUTE x_num_2 NUMERIC
@ATTRIBUTE x_num_3 NUMERIC
@ATTRIBUTE x_num_4 NUMERIC
@ATTRIBUTE x_cat_0 NUMERIC
@ATTRIBUTE x_cat_1 NUMERIC
@ATTRIBUTE x_cat_2 NUMERIC
@ATTRIBUTE x_cat_3 NUMERIC
@ATTRIBUTE x_cat_4 NUMERIC
@ATTRIBUTE class {0,1}

@DATA
0.731531,0.914062,0.037330,0.004392,0.993450,2.000000,1.000000,3.000000,3.000000,4.000000,0
0.754289,0.366763,0.150279,0.946996,0.717283,4.000000,3.000000,3.000000,2.000000,4.000000,0
0.219469,0.660163,0.473400,0.512733,0.044074,0.000000,3.000000,4.000000,2.000000,4.000000,1
0.107673,0.241486,0.903884,0.135701,0.703640,2.000000,0.000000,0.000000,4.000000,0.000000,1
0.465285,0.029409,0.762169,0.989969,0.727970,3.000000,0.000000,4.000000,1.000000,4.000000,0
0.595557,0.925452,0.157261,0.185373,0.880030,4.000000,2.000000,1.000000,3.000000,3.000000,0
0.172531,0.921457,0.848304,0.016743,0.813704,0.000000,3.000000,1.000000,4.000000,2.000000,1
0.926916,0.635913,0.144630,0.527200,0.888805,3.000000,4.000000,2.000000,2.000000,2.000000,1
0.827198,0.102816,0.793176,0.285417,0.351911,4.000000,2.000000,4.000000,0.000000,4.000000,0
0.973990,0.914384,0.903582,0.376469,0.590068,2.000000,2.000000,4.000000,2.000000,3.000000,0
0.002324,0.010659,0.275066,0.108132,0.221013,3.000000,1.000000,3.000000,1.000000,3.000000,1
0.622591,0.263062,0.088785,0.984069,0.546902,1.000000,1.000000,2.000000,3.000000,1.000000,0
0.342940,0.040408,0.031190,0.944173,0.870741,0.000000,3.000000,2.000000,1.000000,1.000000,1
0.358140,0.019327,0.936627,0.549893,0.280146,0.000000,2.000000,0.000000,0.000000,4.000000,1
0.927864,0.367930,0.607959,0.775371,0.555271,4.000000,4.000000,0.000000,3.000000,2.000000,0
0.445654,0.252514,0.961563,0.113937,0.308623,2.000000,2.000000,1.000000,3.000000,1.000000,1
0.383204,0.118464,0.891692,0.313319,0.932552,3.000000,2.000000,3.000000,4.000000,3.000000,0
0.691681,0.631634,0.293546,0.989242,0.050073,0.000000,0.000000,0.000000,0.000000,3.000000,0
0.966326,0.507090,0.087157,0.484873,0.515098,4.000000,2.000000,3.000000,0.000000,3.000000,0
0.534823,0.390061,0.569855,0.798940,0.299375,4.000000,2.000000,0.000000,0.000000,0.000000,0
0.710372,0.364560,0.385951,0.963058,0.495722,2.000000,3.000000,0.000000,4.000000,0.000000,1
0.442617,0.304139,0.842227,0.656707,0.823288,1.000000,0.000000,2.000000,1.000000,1.000000,1
0.568959,0.142606,0.930541,0.035583,0.634775,1.000000,2.000000,1.000000,4.000000,2.000000,1
0.871378,0.657692,0.622596,0.470193,0.011902,3.000000,3.000000,3.000000,0.000000,2.000000,0
0.409922,0.604600,0.465537,0.252939,0.891517,2.000000,1.000000,3.000000,0.000000,4.000000,1
0.621431,0.774830,0.744745,0.605141,0.414301,4.000000,0.000000,4.000000,4.000000,4.000000,0
0.622190,0.483756,0.211872,0.461442,0.604674,2.000000,4.000000,3.000000,4.000000,2.000000,1
0.951564,0.013323,0.037918,0.410348,0.487925,1.000000,2.000000,2.000000,3.000000,4.000000,1
0.346813,0.408445,0.653816,0.132035,0.732999,4.000000,4.000000,1.000000,0.000000,4.000000,1
0.213973,0.518193,0.560210,0.126163,0.773713,0.000000,4.000000,3.000000,2.000000,4.000000,1
0.046668,0.125871,0.457415,0.178003,0.243168,2.000000,3.000000,3.000000,1.000000,4.000000,1
0.689296,0.527180,0.001507,0.750804,0.069673,2.000000,1.000000,2.000000,3.000000,2.000000,1
0.891080,0.748848,0.888612,0.776248,0.405142,4.000000,4.000000,2.000000,1.000000,4.000000,0
0.754377,0.150545,0.148917,0.828805,0.253616,2.000000,2.000000,3.000000,1.000000,4.000000,0
0.441417,0.837014,0.926615,0.386599,0.853313,4.000000,0.000000,4.000000,3.000000,2.000000,1
0.557212,0.233840,0.072660,0.159532,0.941909,3.000000,3.000000,1.000000,4.000000,4.000000,0
0.871841,0.963554,0.127038,0.045227,0.076138,1.000000,2.000000,2.000000,3.000000,1.000000,1
0.257330,0.814276,0.206352,0.988899,0.501383,3.000000,1.000000,0.000000,3.000000,0.000000,0
0.841311,0.941730,0.980458,0.150468,0.129999,1.000000,4.000000,0.000000,3.000000,4.000000,1
0.409612,0.346721,0.376510,0.444065,0.648054,4.000000,3.000000,4.000000,0.000000,3.000000,1
0.957759,0.759035,0.340836,0.736650,0.371054,0.000000,2.000000,0.000000,1.000000,2.000000,0
0.613304,0.818339,0.939572,0.075028,0.016296,3.000000,0.000000,2.000000,4.000000,2.000000,0
0.923418,0.471637,0.732448,0.001938,0.229737,2.000000,1.000000,2.000000,1.000000,1.000000,1
0.107626,0.641900,0.955503,0.709881,0.199914,0.000000,4.000000,3.000000,0.000000,3.000000,1
0.750601,0.595593,0.822464,0.853412,0.147715,1.000000,3.000000,1.000000,3.000000,4.000000,1
0.786458,0.221293,0.468394,0.637089,0.102184,3.000000,3.000000,1.000000,3.000000,0.000000,1
0.360051,0.176943,0.036085,0.156823,0.389827,4.000000,1.000000,4.000000,1.000000,0.000000,0
0.801800,0.936824,0.144960,0.875203,0.705014,3.000000,4.000000,0.000000,1.000000,2.000000,0
0.424663,0.870085,0.767545,0.774728,0.550079,0.000000,3.000000,3.000000,2.000000,3.000000,1
0.172862,0.697931,0.202333,0.825916,0.308844,2.000000,1.000000,4.000000,1.000000,3.000000,0
0.088754,0.894772,0.108957,0.258731,0.825647,0.000000,3.000000,3.000000,2.000000,3.000000,1
0.221419,0.954365,0.215278,0.191744,0.375609,3.000000,4.000000,4.000000,0.000000,2.000000,1
0.890228,0.980649,0.579118,0.954736,0.579352,3.000000,3.000000,2.000000,1.000000,4.000000,0
0.984338,0.735116,0.418151,0.561000,0.050079,2.000000,2.000000,0.000000,1.000000,2.000000,1
0.231045,0.445582,0.201218,0.743177,0.437014,0.000000,0.000000,4.000000,1.000000,2.000000,0
0.585199,0.686976,0.029085,0.346398,0.113608,0.000000,2.000000,1.000000,2.000000,0.000000,0
0.668740,0.273306,0.764594,0.292420,0.345994,4.000000,1.000000,3.000000,3.000000,4.000000,0
0.087038,0.778021,0.637414,0.846546,0.893447,0.000000,2.000000,3.000000,1.000000,4.000000,1
0.680110,0.131016,0.210889,0.760381,0.925248,0.000000,0.000000,3.000000,0.000000,1.000000,1
0.226208,0.966104,0.350547,0.738050,0.963198,1.000000,3.000000,4.000000,4.000000,1.000000,0
0.161004,0.474214,0.072667,0.424453,0.985413,0.000000,0.000000,3.000000,3.000000,1.000000,1
0.130563,0.688480,0.407319,0.725054,0.820733,0.000000,4.000000,3.000000,2.000000,1.000000,1
0.759418,0.036143,0.717238,0.942720,0.818084,4.000000,1.000000,1.000000,3.000000,2.000000,0
0.169961,0.951815,0.120586,0.926467,0.212880,2.000000,2.000000,3.000000,4.000000,1.000000,1
0.910977,0.397489,0.448922,0.086215,0.416458,3.000000,1.000000,1.000000,3.000000,1.000000,1
0.874797,0.623645,0.276365,0.729894,0.579896,3.000000,3.000000,2.000000,3.000000,3.000000,1
0.362815,0.360069,0.497991,0.790825,0.932576,4.000000,0.000000,3.000000,3.000000,2.000000,1
0.191740,0.685124,0.809997,0.700102,0.003657,0.000000,4.000000,0.000000,1.000000,3.000000,0
0.349473,0.572330,0.699030,0.489878,0.222061,2.000000,0.000000,3.000000,0.000000,1.000000,1
0.969344,0.989129,0.023767,0.590697,0.124191,3.000000,0.000000,1.000000,3.000000,1.000000,0
0.710726,0.517083,0.259015,0.577081,0.477463,2.000000,4.000000,2.000000,0.000000,3.000000,1
0.791864,0.412182,0.513780,0.359605,0.166112,4.000000,2.000000,3.000000,3.000000,2.000000,0
0.690866,0.530490,0.784403,0.365494,0.333639,1.000000,3.000000,0.000000,1.000000,4.000000,1
0.612042,0.954441,0.332530,0.183603,0.039365,0.000000,4.000000,2.000000,0.000000,4.000000,1
0.116115,0.566420,0.196829,0.571625,0.470693,4.000000,2.000000,0.000000,4.000000,4.000000,1
0.308776,0.148434,0.103180,0.829280,0.327401,3.000000,3.000000,0.000000,2.000000,3.000000,1
0.403717,0.564395,0.452078,0.236721,0.986782,2.000000,3.000000,1.000000,4.000000,2.000000,0
0.891920,0.262886,0.879580,0.928597,0.094576,2.000000,4.000000,0.000000,3.000000,3.000000,1
0.981205,0.340101,0.805244,0.233951,0.943899,3.000000,0.000000,4.000000,4.000000,4.000000,0
0.790492,0.612283,0.126105,0.271142,0.837188,2.000000,3.000000,3.000000,2.000000,1.000000,1
0.428293,0.101844,0.634338,0.735934,0.148636,2.000000,1.000000,0.000000,0.000000,4.000000,1
0.277824,0.663390,0.273426,0.623250,0.471648,0.000000,2.000000,0.000000,4.000000,1.000000,1
0.501316,0.921652,0.877476,0.245009,0.927412,1.000000,1.000000,2.000000,2.000000,1.000000,1
0.721504,0.159377,0.101913,0.884270,0.106824,2.000000,0.000000,3.000000,0.000000,1.000000,0
0.804062,0.529294,0.975905,0.537701,0.875868,4.000000,1.000000,4.000000,3.000000,2.000000,0
0.126805,0.697659,0.414121,0.254309,0.598081,0.000000,3.000000,2.000000,0.000000,3.000000,1
0.992915,0.674843,0.268956,0.004422,0.326806,2.000000,4.000000,2.000000,3.000000,2.000000,1
0.692749,0.720198,0.832365,0.765212,0.980371,2.000000,1.000000,4.000000,1.000000,2.000000,1
0.992555,0.417763,0.488792,0.783926,0.839449,2.000000,1.000000,2.000000,3.000000,4.000000,1
0.629765,0.361609,0.222955,0.169765,0.887954,1.000000,3.000000,2.000000,0.000000,4.000000,1
0.036364,0.368321,0.506679,0.417892,0.402222,4.000000,1.000000,1.000000,3.000000,1.000000,1
0.562355,0.431086,0.835703,0.454560,0.292895,2.000000,4.000000,1.000000,4.000000,1.000000,1
0.740516,0.089608,0.340020,0.489355,0.068019,2.000000,1.000000,2.000000,0.000000,4.000000,1
0.283375,0.049081,0.313786,0.385955,0.190805,4.000000,3.000000,2.000000,0.000000,2.000000,1
0.103834,0.912367,0.603469,0.884548,0.524796,3.000000,1.000000,1.000000,2.000000,1.000000,1
0.681779,0.854595,0.746297,0.432984,0.722035,3.000000,2.000000,3.000000,2.000000,0.000000,0
0.517345,0.742401,0.866549,0.096493,0.930073,1.000000,1.000000,0.000000,3.000000,0.000000,0
0.892337,0.011446,0.680406,0.385205,0.643749,2.000000,3.000000,4.000000,1.000000,3.000000,1
0.518968,0.010538,0.044652,0.467489,0.812071,2.000000,4.000000,1.000000,4.000000,4.000000,1
0.846513,0.248113,0.675162,0.652854,0.605385,4.000000,3.000000,0.000000,4.000000,1.000000,0
0.701201,0.853111,0.919494,0.082453,0.916959,3.000000,2.000000,0.000000,1.000000,3.000000,0
0.724964,0.488983,0.507803,0.015342,0.687605,2.000000,1.000000,4.000000,3.000000,1.000000,1
0.785286,0.930780,0.139973,0.867531,0.956121,4.000000,3.000000,0.000000,2.000000,0.000000,0
0.546527,0.862965,0.311564,0.820778,0.432122,2.000000,2.000000,1.000000,2.000000,3.000000,0
0.475052,0.690572,0.132758,0.323924,0.043787,2.000000,4.000000,3.000000,4.000000,1.000000,1
0.337169,0.697588,0.034666,0.854352,0.976370,2.000000,1.000000,4.000000,1.000000,2.000000,1
0.589323,0.007102,0.265947,0.049786,0.243601,1.000000,0.000000,4.000000,3.000000,4.000000,1
0.571503,0.642618,0.733625,0.010259,0.846593,0.000000,3.000000,3.000000,2.000000,1.000000,1
