@RELATION RBF_Abrupt_Severe

@ATTRIBUTE 0 NUMERIC
@ATTRIBUTE 1 NUMERIC
@ATTRIBUTE 2 NUMERIC
@ATTRIBUTE 3 NUMERIC
@ATTRIBUTE 4 NUMERIC
@ATTRIBUTE 5 NUMERIC
@ATTRIBUTE 6 NUMERIC
@ATTRIBUTE 7 NUMERIC
@ATTRIBUTE 8 NUMERIC
@ATTRIBUTE 9 NUMERIC
@ATTRIBUTE class {0,1}

@DATA
0.521028,0.237245,0.819797,0.325453,0.263046,0.532589,0.794874,0.214644,0.277628,1.077390,1
0.663755,0.446530,0.880249,0.719854,0.884186,0.896452,0.342200,0.671316,0.145940,0.950210,1
0.009797,0.710612,1.469792,0.634473,0.056736,1.358706,0.286908,0.313991,-0.182073,0.837953,1
0.653375,0.811053,0.915221,0.402901,1.211928,0.699803,0.782433,0.085244,-0.263658,0.361363,0
0.653599,0.935914,0.308521,0.752269,0.544598,0.451005,0.424268,0.683529,0.273701,0.779234,0
0.625738,0.839336,0.510578,0.198143,0.376400,0.164962,0.951557,0.919175,0.915078,0.594724,1
0.610900,0.043251,0.312840,0.266327,0.772693,0.660025,0.849197,0.132063,0.403394,-0.005428,0
0.742865,0.215849,0.418200,0.665544,0.280017,0.278645,0.757253,0.067354,0.490809,1.027434,0
0.064706,0.718892,0.520238,0.212621,0.467267,-0.019154,0.472961,0.314235,0.440419,0.079452,1
0.483387,0.755603,0.665812,0.519740,0.488922,0.343978,0.953941,0.754991,0.188554,0.395358,1
0.049094,0.952665,0.225013,0.071087,0.952892,0.038232,0.034390,0.250511,0.840493,0.626202,0
0.335159,0.206026,0.296040,0.490751,0.543462,1.132824,0.585035,0.421344,0.637786,0.688980,1
0.675588,-0.111775,0.412777,0.051331,0.838950,0.673042,1.061730,0.125631,1.162951,0.309565,0
0.591802,0.434175,0.583812,0.443037,0.765951,0.323051,0.641367,0.216637,0.179045,0.143601,0
0.014423,0.874083,0.637346,0.773212,0.475468,0.193107,0.999034,0.873240,0.470916,1.031358,0
0.194223,0.093606,0.884538,0.274252,0.395689,0.993820,-0.170215,0.775343,0.520488,0.789679,1
0.882275,0.079412,0.638163,0.602615,0.064921,0.685263,0.764886,0.130499,0.194703,0.587460,0
0.405356,0.024861,0.334662,0.700095,0.833528,0.944044,0.405865,0.770202,0.564305,0.664702,0
0.704022,0.948794,0.237878,0.840229,0.511233,0.476716,0.445788,0.758914,0.308030,0.815725,0
0.866893,0.132804,0.098953,0.104951,0.055826,0.190206,1.205874,0.593380,0.518389,0.556635,1
0.931774,-0.516326,0.110387,-0.021129,-0.377736,-0.108301,0.182980,1.446987,-0.147177,0.905495,1
0.481775,0.402116,0.692446,0.777232,0.703254,0.837369,0.939530,0.946054,0.491910,0.896331,0
0.628313,0.842831,0.505221,0.196330,0.372869,0.164527,0.954329,0.926159,0.916044,0.596110,1
0.680254,0.687194,0.513987,0.002901,0.690117,0.517679,0.412961,0.548130,0.314896,0.965035,0
0.756234,0.888294,0.881501,0.817338,0.732093,0.312702,0.700909,0.692961,0.540829,0.461145,0
0.530851,0.737263,0.667784,0.445107,0.426103,0.293265,0.875447,0.751972,0.121723,0.392017,1
0.698354,0.308152,0.862928,0.735010,0.932190,0.854416,0.193585,0.748835,0.081503,0.804297,1
0.625655,0.285423,0.412711,0.180417,0.595443,0.028979,0.357134,0.187008,0.445691,0.582017,1
0.774134,0.312652,1.002898,0.784596,0.891351,0.740742,0.225490,0.805050,0.106761,0.884377,1
0.717575,-0.037778,0.259816,0.270430,0.816577,0.739376,0.943963,0.090753,0.378147,0.055400,0
0.667276,0.528234,0.596306,0.518551,0.659039,0.261258,0.723664,0.338296,0.215581,0.020877,0
0.754854,0.738333,0.696886,0.746357,0.514831,0.284506,0.977186,0.644944,0.581226,0.504793,0
0.649478,0.857998,0.910431,0.894990,0.818947,0.269878,0.853937,0.647002,0.474091,0.550024,0
0.344955,0.322985,0.743517,0.662625,-0.014603,0.433553,0.684501,0.253779,0.587625,1.139708,0
0.611380,0.210237,0.606301,0.089205,-0.116083,0.028648,0.187646,0.800452,0.782104,0.277726,1
0.802810,0.763859,0.361845,0.004493,0.862046,0.990742,0.078787,0.414931,0.124572,0.765272,0
-0.021922,0.391076,0.103464,1.080931,0.457176,0.713013,0.190780,0.884277,0.572138,0.759123,1
0.034574,0.571033,0.679982,0.086415,0.653464,-0.014801,0.429088,0.462551,0.410922,0.399825,1
0.621359,0.845377,0.509530,0.202396,0.378185,0.159009,0.955788,0.917752,0.914096,0.600298,1
-0.240774,0.729920,0.698890,0.105533,0.905155,-0.111373,0.673904,0.331992,0.752518,0.644784,1
0.502953,0.380310,0.680003,0.801917,0.716642,0.859206,0.921731,0.965501,0.541051,0.886452,0
0.909679,0.690046,0.110613,-0.021023,0.451754,0.521080,0.455751,0.029961,0.292987,1.001400,0
0.673783,0.909174,0.878468,0.888006,0.733932,0.197758,0.774496,0.741091,0.477615,0.576833,0
0.921713,0.621561,0.673934,0.135607,0.888655,0.511718,0.658328,0.319664,0.688677,0.550233,0
0.988405,0.575395,0.704347,0.140101,0.925986,0.443372,0.767826,0.318808,0.773762,0.426157,0
0.592939,1.075483,0.412160,0.963049,0.378665,0.680763,0.911950,0.439956,0.810831,0.146757,0
