@RELATION SEA_Abrupt_Chain

@ATTRIBUTE 0 NUMERIC
@ATTRIBUTE 1 NUMERIC
@ATTRIBUTE 2 NUMERIC
@ATTRIBUTE class {0,1}

@DATA
4.007607,1.651610,4.237181,0
2.725563,8.929578,0.053073,1
5.051091,7.250613,5.335085,1
8.449304,0.922445,9.361802,1
7.654591,4.219883,5.296572,1
2.942316,3.050892,3.405837,0
7.120125,8.499826,9.386609,1
9.168365,5.986651,6.858391,1
4.124215,1.880220,2.329135,0
9.551667,6.531163,9.601004,1
1.764114,0.221687,5.741534,0
0.319466,9.271674,1.659207,1
0.902190,0.803203,6.022523,0
1.153017,7.787438,8.163431,1
6.572586,5.103619,6.722383,1
2.592343,7.904119,0.863419,1
3.172348,9.392831,5.711793,1
0.276628,1.359352,6.119808,0
1.134898,0.282897,2.780731,0
4.344119,3.010914,3.553112,0
7.235664,7.257615,3.020016,1
4.670776,9.894341,5.121226,1
6.023617,8.259231,8.741116,1
5.559300,8.396844,4.748072,1
4.548458,3.331299,6.746288,0
0.817807,0.135287,2.080756,0
2.595522,5.150614,1.148943,0
4.746809,8.371152,4.308226,1
9.494560,7.124959,3.076670,1
6.201340,1.027938,2.350533,0
1.811858,7.428016,5.538458,1
3.761597,9.769514,9.193526,1
7.006254,8.038160,5.011839,1
8.111910,2.326305,8.153664,1
1.125673,3.183903,2.841113,0
7.350916,8.304869,6.866406,1
6.827275,9.361418,2.631301,1
9.838753,1.652500,5.414696,1
8.664247,2.441138,3.287782,1
9.853164,3.501250,3.821876,1
3.124657,5.453572,4.387679,1
4.311418,1.367469,2.973332,0
6.004462,6.941716,2.021647,1
0.802869,7.256129,4.501045,1
6.557351,7.226775,7.195549,1
8.998582,9.826629,9.470366,1
7.866175,4.147573,2.204826,1
8.991158,8.824902,1.286932,1
4.378400,9.800055,1.813902,1
5.294608,2.722964,7.897934,1
0.245892,8.413111,7.628673,1
2.712532,6.823337,1.899593,1
5.410564,1.207223,9.440110,0
6.875253,3.332391,6.936593,1
0.855511,8.479718,2.027129,1
1.375006,8.819886,0.744499,1
6.038956,9.836379,5.905913,1
0.101168,3.828249,2.269407,0
3.854945,9.714007,0.463514,1
4.420473,4.115873,9.108738,1
5.231726,3.452696,9.476568,1
6.423512,6.261437,7.665111,1
9.023810,7.612758,1.443203,1
9.593052,3.737154,0.618804,1
2.799678,4.315094,2.163059,0
4.895916,1.091403,0.651946,0
4.268582,2.688967,7.204156,0
4.316539,4.754358,8.911603,1
9.998655,5.712669,9.639304,1
8.214326,9.403130,6.124096,1
1.960375,3.467725,1.612064,0
5.504919,2.682278,3.074418,1
1.111028,1.628218,7.926304,0
6.520653,0.336423,8.337988,0
7.319818,5.186543,4.222769,1
0.888771,3.507873,5.710432,0
6.586235,2.587487,5.957012,1
0.005454,4.075035,6.661150,0
8.555215,4.187854,9.920658,1
4.952309,4.282781,6.156995,1
7.173959,0.791808,2.627088,0
3.245802,5.456680,6.454309,1
