@RELATION SEA_Abrupt_Chain

@ATTRIBUTE 0 NUMERIC
@ATTRIBUTE 1 NUMERIC
@ATTRIBUTE 2 NUMERIC
@ATTRIBUTE class {0,1}

@DATA
0.740851,2.093824,1.499368,0
2.439318,5.096350,7.432870,0
7.832156,4.259278,5.992117,1
0.281618,1.563321,9.542627,0
2.827084,7.112431,1.500478,1
6.737232,9.266153,7.943054,1
9.260235,4.672922,2.366422,1
9.989609,0.713109,9.294117,1
7.062723,3.672667,7.285242,1
9.884105,7.488669,8.180440,1
8.747073,0.994743,0.760387,1
2.767982,8.531500,9.606469,1
0.523510,1.729471,4.907939,0
5.954610,7.307921,2.506135,1
1.907802,8.878336,8.055666,1
4.544488,4.315959,0.793108,1
9.904114,3.888596,9.713809,1
1.141774,5.636473,6.878323,0
2.017944,9.991108,6.918076,1
0.989248,7.871864,8.609603,1
2.619457,6.306320,4.964921,1
7.144735,4.543304,8.190121,1
6.996645,6.643047,4.749227,1
4.395438,9.039072,7.125741,1
7.076566,5.508017,7.138369,1
8.570776,1.274841,9.204924,1
7.525862,2.801092,8.006449,1
0.968652,7.167631,3.321647,1
2.548454,0.267712,0.883322,0
6.066067,5.885301,4.351769,1
8.301069,4.385032,6.365949,1
0.233062,5.612596,6.035757,0
2.506727,4.693232,8.018818,0
6.482451,1.208873,7.932332,0
3.737418,9.134766,9.618755,1
3.207484,4.359122,4.317047,0
4.411841,3.153847,6.904498,0
7.921718,7.839070,1.507680,1
0.126669,1.206098,4.360259,0
0.193282,2.495559,3.287868,0
8.405824,9.520837,5.553702,1
8.518338,2.395714,3.376620,1
4.614295,8.413545,3.118246,1
6.570114,6.778590,3.883264,1
3.514917,7.413437,8.670645,1
2.717603,5.463255,3.702266,1
0.254346,4.705055,7.958455,0
2.950093,6.844561,8.867561,1
8.862480,1.274053,3.270677,1
3.792857,5.846976,0.980298,1
5.973665,6.260799,5.429844,1
8.546994,0.256780,7.486098,1
7.781354,7.306444,1.508547,1
2.849521,0.270238,4.246970,0
0.083876,7.049812,3.618610,0
3.301038,3.618313,6.402607,0
0.165478,4.989711,1.923376,0
8.639262,1.568498,9.794375,1
7.179844,2.240900,3.422268,1
5.992645,2.507763,0.697305,1
8.266559,9.344094,8.493837,1
9.841048,0.899865,3.672725,1
3.601097,4.737442,2.235933,1
7.625693,4.373244,8.086329,1
8.922105,5.299604,3.918891,1
7.438667,9.431642,0.141328,1
7.937926,3.358712,2.009630,1
5.741965,2.010252,4.907419,0
5.237117,5.950731,7.839801,1
0.168427,8.939383,5.430504,1
4.708780,3.887992,4.010386,1
9.823257,6.448862,6.061004,1
5.589779,2.906090,8.388248,1
1.391598,3.666243,1.726984,0
7.933982,6.444731,5.519559,1
3.316819,1.571610,0.133574,0
4.627098,6.823188,2.916630,1
4.806467,2.163493,1.521519,0
1.014481,2.498448,7.523502,0
6.713968,1.017336,6.433388,0
9.727993,6.444339,4.386199,1
2.907133,2.871114,9.396925,0
4.244497,7.503899,5.101175,1
8.101936,6.209100,5.651417,1
3.032162,4.709953,2.528725,0
9.790694,1.527179,0.532390,1
4.664925,6.027163,7.321081,1
2.684133,5.624886,7.867774,1
2.581085,8.840870,0.655629,1
6.736612,5.793809,4.018544,1
5.530270,8.434203,6.921219,1
0.774931,5.413768,1.758144,0
4.573225,5.301310,3.384672,1
6.804771,2.218812,6.978227,1
6.703787,4.042809,1.906381,1
4.879477,6.217813,7.094345,1
0.725892,4.109183,4.261156,0
7.414688,5.301635,8.227195,1
3.752331,5.739634,9.127724,1
5.165917,8.438388,6.760010,1
6.588948,4.282342,2.833684,1
4.620264,7.891224,6.558001,1
7.990056,8.491753,4.016676,1
2.395781,8.573186,7.289326,1
6.938517,6.234789,1.925786,1
8.357763,1.224317,8.437566,1
4.236667,0.747889,2.419843,0
4.434451,3.684659,3.712774,1
0.656061,9.051297,7.530861,1
0.078638,8.025302,3.210422,1
4.776903,7.693817,2.227150,1
6.238658,0.783549,3.510614,0
9.185840,6.462394,9.561624,1
2.014391,1.501452,6.512171,0
2.371148,9.571165,8.390876,1
5.661816,7.967360,5.719988,1
9.615462,5.231273,4.355428,1
