@RELATION SEA_Abrupt_Recurring

@ATTRIBUTE 0 NUMERIC
@ATTRIBUTE 1 NUMERIC
@ATTRIBUTE 2 NUMERIC
@ATTRIBUTE class {0,1}

@DATA
3.779351,6.507559,6.306914,1
4.717361,7.768086,7.668809,1
8.527484,4.466951,5.563173,1
8.918484,2.409353,2.763801,1
1.366090,7.249512,1.681711,1
3.315698,4.586332,3.925453,0
1.462463,8.563916,5.570495,1
9.006973,1.500867,8.140283,1
6.226778,7.381565,7.371853,1
9.193348,4.734295,4.197632,1
9.998269,2.303553,9.989195,1
3.849630,3.838366,6.059301,0
2.712684,5.640236,5.655397,1
3.767079,7.729314,5.016115,1
6.842384,7.118854,2.151302,1
7.778387,6.170168,8.790331,1
8.818545,2.653317,3.019237,1
9.224468,8.329482,3.041043,1
5.915865,0.324405,3.733230,0
0.160060,0.706101,9.014019,0
3.160804,1.496149,0.526720,0
1.989461,1.298120,9.926778,0
0.084455,2.529277,6.589307,0
4.674259,4.956556,3.678749,1
6.110938,0.071032,0.094475,0
3.056996,3.074717,4.091118,0
3.112417,2.951174,7.784641,0
6.839235,8.895954,6.806824,1
6.101179,9.935427,7.366353,1
8.236158,7.469530,9.701100,1
1.915845,4.248999,4.258202,0
9.575636,9.813267,9.231823,1
2.040291,8.841854,8.581009,1
6.997288,5.618729,1.247705,1
7.146294,7.383196,8.255523,1
6.623562,9.029333,3.711099,1
6.909461,1.374224,1.198133,1
6.770019,8.143282,7.404176,1
7.282424,1.083626,6.186146,1
3.570471,6.931522,4.160537,1
8.387175,7.546872,1.254865,1
2.080278,3.578376,1.290159,0
2.901786,5.462902,3.967335,1
7.873675,3.692083,1.369250,1
5.768903,5.297414,9.632671,1
1.607864,1.371302,1.721281,0
0.940249,7.985529,0.707389,1
2.055641,2.928720,6.469139,0
3.759211,3.355713,5.543746,0
4.020216,2.959090,0.965529,0
1.911584,5.530689,0.826249,0
6.232269,7.755850,3.807981,1
7.525826,7.580361,2.701598,1
9.375858,1.199852,7.774303,1
1.877536,6.261210,0.828148,1
6.121997,9.508143,6.287276,1
6.820571,6.094374,2.558698,1
9.852173,2.474648,0.514368,1
8.749834,9.200266,8.721361,1
3.593734,0.652930,9.304067,0
6.656091,5.807359,7.895712,1
6.339524,1.089282,2.999985,0
5.770846,7.373652,7.118199,1
5.321693,0.457224,3.536642,0
1.907316,8.770099,5.420134,1
3.266445,0.069340,8.544725,0
5.754142,8.705884,3.522244,1
6.864382,6.575175,6.933340,1
1.450419,9.114448,3.886394,1
9.644625,8.177720,6.258619,1
5.357165,3.563678,7.455630,1
4.020952,1.410019,8.620138,0
6.357231,5.625136,9.751448,1
0.570974,5.689665,9.016000,0
3.567445,4.169888,8.954450,0
2.409652,9.168253,4.040961,1
1.626035,1.548287,5.024172,0
7.441157,3.649346,4.246728,1
1.669520,0.820301,7.611735,0
0.737071,8.853727,5.487306,1
4.995230,3.415941,0.002066,1
2.824336,3.001096,4.354726,0
2.378563,7.119398,1.940973,1
6.630397,5.419528,7.562852,1
8.564797,1.136759,5.124584,1
5.748104,8.178580,3.700168,1
3.424767,2.885296,3.762722,0
1.897106,7.178847,6.807858,1
2.614453,3.480244,9.981110,0
1.632588,3.077819,7.945413,0
8.554619,7.885194,9.640998,1
1.608884,3.082061,3.173340,0
6.086587,8.340921,5.774423,1
2.028539,5.966116,2.287287,0
1.097224,8.777320,0.311828,1
1.444704,8.289364,3.904305,1
0.732997,9.341700,0.700740,1
9.474327,2.098650,5.367686,1
9.748521,7.536177,6.306792,1
3.530762,5.645066,6.269906,1
1.505971,3.871499,9.215389,0
5.495061,6.107406,9.067745,1
3.903156,7.703414,8.676189,1
3.006068,6.579526,8.419417,1
1.794244,3.237826,1.574579,0
1.000182,2.398450,2.658724,0
1.102745,6.750061,6.496390,0
1.880608,1.985408,8.621722,0
3.087788,2.891681,3.219942,0
3.950734,6.949034,1.743751,1
9.836093,7.389596,8.634706,1
4.864349,3.675478,0.094657,1
7.991035,2.933055,5.613463,1
4.486935,2.904480,8.920907,0
1.798181,0.974721,1.897216,0
4.949728,7.177944,5.530194,1
6.301448,8.776761,2.625715,1
2.183862,4.713793,8.856520,0
7.539566,6.125569,1.138513,1
9.996947,3.737929,4.509216,1
0.564400,4.205905,2.475470,0
2.663760,6.805071,4.851866,1
3.294894,0.708326,9.016787,0
5.398579,7.336136,9.601896,1
8.129419,8.623365,5.958723,1
6.435451,2.632846,5.259788,1
6.039006,1.485519,6.571518,0
2.340363,7.733960,9.653399,1
1.500263,3.948073,9.561803,0
6.379204,6.328505,1.037706,1
5.451214,1.720939,0.074508,0
8.546758,4.694219,6.390596,1
5.201778,2.073299,3.001036,0
7.197434,7.234858,4.079582,1
1.541428,7.628648,0.302988,1
3.197346,9.414735,9.460659,1
7.487833,2.090709,2.085129,1
6.664572,4.311147,6.791789,1
7.164393,5.504188,9.349795,1
6.854512,3.668987,3.491677,1
4.326435,5.762901,7.613174,1
4.273569,3.361251,3.674862,0
0.522604,6.285508,5.790384,0
9.172406,3.918803,4.896429,1
6.740651,2.252927,1.898047,1
7.292953,6.003471,6.395285,1
6.737285,2.579080,8.248875,1
8.120558,1.156528,5.525799,1
5.954506,6.842468,6.313203,1
6.159094,5.302047,4.701079,1
4.561653,5.425609,3.594132,1
5.249915,0.957268,5.349959,0
7.763020,8.386077,9.831117,1
3.365912,2.376751,7.141081,0
3.848003,6.209410,0.830089,1
5.596964,8.982747,7.687211,1
7.110840,5.199227,4.288704,1
3.754464,3.392756,7.364878,0
6.728669,7.016478,4.827847,1
5.375731,4.772015,5.611667,1
9.847700,9.683691,2.806513,1
6.517008,6.983403,9.243882,1
0.087073,9.423480,7.670478,1
9.855111,0.084547,1.271588,1
5.390493,9.224660,9.115175,1
4.533947,8.186375,6.095482,1
9.936481,9.713317,6.811395,1
7.115386,9.961363,6.825020,1
1.333528,4.044392,2.093876,0
7.345846,8.809494,4.566146,1
8.098688,7.002442,9.736232,1
2.534654,5.760285,4.086785,1
9.073956,3.633591,3.570865,1
0.407917,6.372018,5.026455,0
7.299431,9.422646,9.935448,1
5.531119,6.972835,3.025565,1
