@RELATION SEA_Abrupt_Simple

@ATTRIBUTE 0 NUMERIC
@ATTRIBUTE 1 NUMERIC
@ATTRIBUTE 2 NUMERIC
@ATTRIBUTE class {0,1}

@DATA
3.029038,4.802092,7.652641,0
9.038873,8.819765,4.107165,1
7.236446,7.502766,6.981808,1
4.628236,5.867850,2.074063,1
2.055570,5.738795,9.113213,0
0.629493,4.204994,9.074292,0
3.179667,8.613969,6.759224,1
9.220352,0.261733,9.246228,1
5.059880,3.135434,2.394994,1
5.213145,4.774995,5.048468,1
2.127284,3.791140,4.091481,0
3.544029,2.713022,0.166796,0
9.331994,2.075354,1.912428,1
6.127878,7.968771,5.630513,1
4.454631,9.028891,0.564219,1
7.866132,6.232397,4.898559,1
9.052386,4.276552,4.435647,1
3.879916,9.380579,7.271579,1
1.566643,9.869895,0.269245,1
1.593154,2.810343,4.276062,0
2.556521,8.543425,4.367149,1
3.807456,4.040747,7.696493,0
8.152117,6.318689,4.442543,1
4.483978,3.047692,7.051215,0
4.843597,4.155968,7.393164,1
4.340489,2.639835,3.031996,0
9.542964,3.801172,3.311842,1
4.713086,9.875837,8.114126,1
3.230232,3.287568,6.260346,0
0.961293,2.228725,4.627049,0
1.541292,3.255596,7.550978,0
2.633160,5.928714,1.898368,1
1.811641,2.830941,8.719872,0
2.847362,8.854505,2.838171,1
9.778571,7.818259,7.674998,1
1.522011,6.865322,8.188130,1
3.266138,4.085758,8.405938,0
4.309123,2.082226,2.818638,0
8.215216,4.423284,9.390105,1
5.425355,5.838161,3.588150,1
1.369947,7.320277,4.357161,1
2.957019,7.389178,4.799169,1
0.627389,5.349172,7.776888,0
1.259987,2.447197,8.368485,0
6.848143,5.265915,9.687813,1
7.958226,9.169044,1.323833,1
4.825489,2.695082,3.916511,0
8.656536,9.199438,4.208386,1
4.280262,0.170070,9.130580,0
5.470643,6.133485,3.467788,1
3.816424,4.437403,1.317902,1
1.681654,7.492906,5.137633,1
4.039313,7.226434,1.664413,1
5.384767,8.796525,6.131422,1
9.865880,6.281258,7.694296,1
7.037699,6.523358,5.616135,1
0.798510,6.855876,0.008137,0
2.253577,4.767429,0.986158,0
0.850464,1.636808,1.401015,0
6.336388,1.143134,3.011702,0
2.570928,7.564144,6.631998,1
4.487969,4.959019,1.174602,1
6.747970,2.852989,7.978148,1
9.416071,2.758285,5.905776,1
5.836670,2.613351,0.067112,1
6.907194,8.310411,1.996200,1
9.108669,4.137687,9.076540,1
7.405751,5.781336,8.924999,1
4.364952,5.768109,1.201172,1
7.393415,3.857110,1.322353,1
3.543009,3.085916,6.404868,0
3.560720,0.503094,4.422732,0
4.149392,2.586935,4.504430,0
0.786684,2.363213,3.550747,0
6.003726,6.813887,4.170149,1
3.399399,2.316205,1.293135,0
6.052739,8.386320,9.244768,1
9.541660,2.665687,0.901556,1
6.359500,1.355073,7.977685,0
3.459076,2.632108,2.642807,0
0.294158,6.631210,2.725991,0
6.944023,6.107401,9.855717,1
6.207255,3.273534,3.123367,1
9.715421,0.199041,4.545082,1
4.190633,4.728593,3.112723,1
0.926760,8.583379,2.471864,1
3.636183,0.521711,4.817299,0
7.934378,6.616340,0.612718,1
2.947501,4.197636,0.500131,0
1.871002,4.422709,8.264380,0
8.682059,7.097192,4.397116,1
9.122084,5.693442,5.468162,1
2.302707,8.853096,6.467014,1
1.286511,4.818328,7.710359,0
3.404205,4.210732,3.422489,0
6.066112,8.110723,1.813449,1
6.475666,1.355408,1.344008,0
2.227732,2.509410,7.575724,0
1.294600,0.314013,2.509960,0
0.044722,5.833390,4.605141,0
6.914865,3.617793,9.491154,1
6.004370,2.058105,5.762210,1
0.805743,5.965157,1.442119,0
1.740719,9.413093,7.110140,1
6.200413,0.219511,6.315747,0
3.037730,3.629707,3.251826,0
1.138427,7.113907,6.590704,1
1.545957,3.653081,3.442081,0
0.081375,6.229791,4.676708,0
5.895759,9.404899,6.553594,1
9.366499,5.202560,5.971941,1
9.790732,8.689460,5.573202,1
6.807474,4.007430,3.663396,1
2.770277,8.914351,4.731520,1
8.089388,5.443450,4.357067,1
9.717612,6.590168,0.852132,1
4.688741,3.722379,5.265426,1
2.415463,6.427027,2.097276,1
3.476026,2.265056,0.952770,0
6.231453,3.392568,3.451801,1
2.667641,8.623114,8.309645,1
4.283374,2.648813,9.951656,0
5.319138,5.961300,2.786287,1
9.170579,1.291175,7.091177,1
4.365295,6.190984,4.366473,1
4.749624,5.005904,0.508353,1
6.882332,7.530652,2.173014,1
6.119432,6.196115,8.276243,1
2.656752,0.650780,8.884475,0
4.790803,7.875310,7.593442,1
3.216840,2.027464,9.916106,0
6.709835,1.622633,8.193655,1
0.410126,8.089588,9.878104,1
8.096820,3.906567,1.343220,1
4.418904,2.776564,3.575129,0
7.802976,3.093017,2.436575,1
5.070100,1.668796,8.274103,0
4.221625,3.513028,7.127964,0
2.715209,2.978609,8.991381,0
9.191645,1.912019,7.934952,1
7.769015,4.884098,8.253459,1
8.260515,5.628268,6.798662,1
7.437851,5.432464,8.345354,1
1.506886,4.415780,7.391549,0
0.977392,5.050387,0.664994,0
9.426555,4.572858,8.519192,1
9.599309,2.940258,7.722073,1
3.423431,4.409942,0.212669,0
2.226294,9.575171,2.294494,1
6.914804,0.037133,6.154779,0
0.947436,0.950731,5.761403,0
4.624250,8.685250,9.271187,1
1.983718,0.560609,3.808173,0
2.763129,9.223046,9.464919,1
9.745091,8.006546,1.493434,1
7.882892,0.244585,2.524495,1
9.519265,4.165278,0.883220,1
4.896682,0.662460,3.051315,0
0.934149,2.030194,3.070758,0
8.106692,4.119739,5.289379,1
2.225820,6.017331,8.137499,1
1.637147,0.206010,3.579443,0
5.804529,5.428299,1.153663,1
7.185632,0.049064,2.008860,0
0.417988,0.202612,0.137062,0
8.122752,0.166181,9.059966,1
7.865065,2.039848,7.972846,1
5.973159,3.045590,1.953827,1
9.339218,3.110137,5.056184,1
1.280938,1.217346,1.633159,0
7.995639,1.953470,1.197358,1
9.467547,2.498600,6.711237,1
5.078140,9.471327,1.603710,1
1.999213,2.290268,2.547115,0
6.606445,1.068355,2.273633,0
3.763631,3.940689,3.309228,0
2.142848,8.058536,0.544718,1
1.261629,4.412972,0.742964,0
9.624690,5.650001,4.711646,1
7.881439,2.380289,1.270046,1
0.603990,3.695498,2.782230,0
0.871974,6.230136,8.589704,0
1.606638,3.613607,5.148250,0
4.052384,2.246306,6.571047,0
1.497769,3.664148,6.492265,0
2.352799,8.860458,5.404689,1
