@RELATION RANDOMTREE_Gradual_Simple

@ATTRIBUTE x_num_0 NUMERIC
@ATTRIBUTE x_num_1 NUMERIC
@ATTRIBUTE x_num_2 NUMERIC
@ATTRIBUTE x_num_3 NUMERIC
@ATTRIBUTE x_num_4 NUMERIC
@ATTRIBUTE x_cat_0 NUMERIC
@ATTRIBUTE x_cat_1 NUMERIC
@ATTRIBUTE x_cat_2 NUMERIC
@ATTRIBUTE x_cat_3 NUMERIC
@ATTRIBUTE x_cat_4 NUMERIC
@ATTRIBUTE class {0,1}

@DATA
0.815968,0.696032,0.188221,0.026815,0.481117,1.000000,1.000000,3.000000,4.000000,1.000000,1
0.655754,0.036365,0.466335,0.584989,0.036046,2.000000,4.000000,4.000000,1.000000,2.000000,1
0.086094,0.769721,0.148166,0.421879,0.116459,1.000000,3.000000,3.000000,3.000000,0.000000,1
0.527463,0.396746,0.387265,0.310505,0.490486,1.000000,4.000000,1.000000,0.000000,3.000000,1
0.754769,0.314882,0.517610,0.362935,0.619197,4.000000,1.000000,3.000000,3.000000,3.000000,0
0.859796,0.585226,0.201338,0.569430,0.833839,0.000000,2.000000,0.000000,0.000000,3.000000,0
0.979487,0.848616,0.737078,0.595840,0.554305,2.000000,0.000000,3.000000,3.000000,3.000000,0
0.513356,0.724614,0.935281,0.905073,0.867634,1.000000,0.000000,4.000000,0.000000,3.000000,0
0.576403,0.553256,0.267849,0.648300,0.889141,0.000000,3.000000,4.000000,2.000000,3.000000,0
0.697514,0.020807,0.288011,0.192201,0.343847,1.000000,4.000000,1.000000,4.000000,2.000000,0
0.443846,0.107377,0.595403,0.257858,0.761320,0.000000,4.000000,3.000000,0.000000,3.000000,1
0.760165,0.528995,0.389824,0.953665,0.448840,2.000000,4.000000,1.000000,2.000000,0.000000,1
0.921736,0.853454,0.715199,0.468467,0.883173,3.000000,3.000000,2.000000,3.000000,1.000000,1
0.902211,0.511134,0.774032,0.995835,0.632564,3.000000,1.000000,2.000000,0.000000,3.000000,1
0.621842,0.282457,0.749254,0.667056,0.129097,1.000000,1.000000,4.000000,3.000000,0.000000,1
0.253617,0.179486,0.623986,0.775911,0.909271,1.000000,2.000000,4.000000,1.000000,0.000000,0
0.793482,0.943055,0.493725,0.234719,0.556831,0.000000,2.000000,2.000000,2.000000,1.000000,0
0.174715,0.859462,0.503479,0.806816,0.337735,0.000000,4.000000,1.000000,0.000000,4.000000,0
0.945537,0.552881,0.634703,0.735913,0.059460,4.000000,2.000000,3.000000,0.000000,3.000000,0
0.340246,0.688844,0.517198,0.666990,0.204430,1.000000,1.000000,2.000000,4.000000,4.000000,1
0.224096,0.257822,0.340324,0.355241,0.046676,4.000000,2.000000,1.000000,4.000000,4.000000,0
0.669486,0.706405,0.926632,0.437827,0.457136,0.000000,0.000000,4.000000,4.000000,0.000000,1
0.913699,0.687590,0.591507,0.817916,0.109925,4.000000,0.000000,1.000000,4.000000,3.000000,0
0.823610,0.041969,0.105411,0.629926,0.870869,2.000000,1.000000,2.000000,3.000000,4.000000,0
0.254664,0.374834,0.380509,0.392445,0.824591,1.000000,1.000000,1.000000,2.000000,3.000000,0
0.741078,0.775763,0.602161,0.883629,0.981209,3.000000,1.000000,4.000000,3.000000,4.000000,0
0.303949,0.655980,0.846284,0.004346,0.997221,2.000000,3.000000,2.000000,1.000000,2.000000,1
0.498391,0.870493,0.154296,0.363737,0.819161,0.000000,1.000000,3.000000,3.000000,0.000000,0
0.714945,0.453682,0.981377,0.655926,0.505350,0.000000,1.000000,2.000000,4.000000,4.000000,1
0.245316,0.809145,0.341320,0.505023,0.085234,2.000000,3.000000,2.000000,1.000000,1.000000,1
0.994007,0.828957,0.159710,0.462929,0.224430,3.000000,0.000000,3.000000,3.000000,2.000000,0
