@RELATION RBF_Gradual_Moderate

@ATTRIBUTE 0 NUMERIC
@ATTRIBUTE 1 NUMERIC
@ATTRIBUTE 2 NUMERIC
@ATTRIBUTE 3 NUMERIC
@ATTRIBUTE 4 NUMERIC
@ATTRIBUTE 5 NUMERIC
@ATTRIBUTE 6 NUMERIC
@ATTRIBUTE 7 NUMERIC
@ATTRIBUTE 8 NUMERIC
@ATTRIBUTE 9 NUMERIC
@ATTRIBUTE class {0,1}

@DATA
-0.388077,0.274377,-0.329546,0.261808,0.442576,0.402203,0.903796,0.592470,0.527028,0.879669,0
0.381479,0.966645,0.660786,0.188227,0.466399,-0.262566,0.665184,0.307131,0.081952,0.062572,1
0.484974,0.390044,0.669031,0.796485,0.724614,0.841209,0.921535,0.981962,0.533807,0.906895,0
0.713384,0.273054,0.605390,0.844496,0.223111,0.680299,0.671707,0.244329,0.694727,1.045001,0
0.734606,0.333312,0.931462,0.803554,0.863928,0.811120,0.266502,0.785221,0.110013,0.871990,1
0.695602,0.137016,0.197611,0.934729,0.541758,0.393337,0.744559,0.750672,0.126596,0.145154,1
0.808674,0.267417,0.381868,0.351186,0.872789,0.555397,0.580796,0.264565,0.096623,-0.064304,0
0.468212,0.576938,0.829208,0.478214,0.537334,0.316478,0.916701,0.653382,0.145585,0.534151,1
0.863602,0.051982,0.655302,0.644012,0.058808,0.726876,0.802662,0.109272,0.193542,0.537156,0
0.687603,0.763651,0.687579,0.103151,0.601699,0.527481,0.215475,0.443961,0.315260,0.920506,0
0.658064,0.506939,0.481971,0.431000,0.769673,0.267138,0.613890,0.335701,0.332030,0.195553,0
0.861389,0.577096,0.704509,0.045710,0.227854,0.289342,0.080104,0.233067,0.100772,0.277668,1
-0.078195,0.641175,0.517581,0.148195,0.898208,-0.050839,0.417031,0.728540,0.221818,0.158114,1
0.836531,0.866227,0.263853,0.025733,0.864242,0.931826,0.099203,0.539629,0.054074,0.732957,0
0.633033,0.224591,0.824361,0.448338,0.183054,0.488071,0.687926,0.093374,0.385462,0.904187,1
0.581690,0.382498,0.766451,0.559280,0.608636,0.375285,0.590882,0.115813,0.016632,0.258195,0
0.167494,0.151406,0.759458,0.520945,0.776527,0.453719,0.560393,0.387285,0.943808,0.117681,1
0.838648,0.560521,0.723740,0.038891,0.245902,0.297812,0.104096,0.231802,0.071005,0.305220,1
1.134486,0.565599,0.815641,0.331061,0.789959,0.530095,0.617512,0.349841,0.499477,0.427398,0
0.695079,0.264155,0.657537,0.371395,0.845000,0.419566,0.751974,0.172606,0.186770,0.029202,0
0.161935,0.633574,0.603903,0.146534,0.538290,0.186345,0.280736,0.647165,0.499029,0.477312,1
0.718408,0.986585,0.263652,0.807165,0.522899,0.503183,0.444994,0.715274,0.272518,0.881543,0
0.884233,0.657451,0.609457,0.077460,0.955197,0.512254,0.612493,0.312297,0.652370,0.535874,0
0.358003,0.602988,0.090034,0.735271,-0.013611,1.155282,0.633265,0.811956,0.531671,0.436447,1
0.886054,0.806626,0.307027,-0.026764,0.868955,0.965493,0.133118,0.413016,0.127435,0.694180,0
0.337769,0.094897,0.090054,0.834829,0.584896,0.817327,0.732483,0.523047,0.975001,0.374307,1
0.619199,0.267779,0.731739,0.828817,0.231770,0.533588,0.701174,0.107977,0.787228,0.963646,0
0.727266,0.329033,0.923809,0.788761,0.863287,0.799630,0.278726,0.787592,0.120320,0.886131,1
0.296011,0.581952,0.505753,1.191534,0.394871,0.451035,0.623891,0.456301,0.622389,0.858753,0
0.561026,0.149690,0.639437,0.367972,0.004481,0.076860,0.179086,0.918255,1.046192,0.355356,1
0.588199,0.220521,0.899831,0.450987,0.224228,0.502119,0.761626,0.185550,0.266660,0.978825,1
0.945573,0.663949,0.500863,0.546477,0.436888,0.175477,0.635593,0.515108,0.406994,0.991369,0
0.073221,0.998655,0.198165,0.079285,0.946043,0.061277,0.032863,0.254660,0.822470,0.671109,0
0.345035,1.072458,0.731397,0.866100,0.225306,0.288002,0.545685,0.679803,0.427148,0.996622,0
0.905815,0.819294,0.287645,0.042507,0.895256,0.914742,0.056485,0.459778,0.101266,0.792940,0
0.833934,0.961550,0.342250,0.858495,0.511634,0.524798,0.349287,0.760624,0.370104,0.864998,0
0.295203,0.693376,0.802716,0.993918,0.642666,-0.007667,1.176867,0.412042,0.663363,1.043623,0
0.964129,0.164166,0.931738,0.827907,1.028019,0.722899,0.089338,0.612869,-0.053086,0.906248,1
0.730470,0.882381,0.911141,0.875373,0.793398,0.296953,0.809949,0.628807,0.417635,0.636791,0
0.763765,-0.080726,0.347510,0.041859,0.634625,0.757448,0.800050,0.007777,0.409411,-0.161456,0
1.131072,1.082996,0.532871,0.541556,1.088819,0.848550,0.198522,-0.052351,0.547764,1.429573,0
0.347948,0.085131,1.052432,0.516621,-0.278223,0.164368,0.204607,1.048365,0.840015,0.213415,1
0.470359,0.952860,0.353933,0.999233,0.808006,0.776743,0.216440,0.277355,0.551483,0.240421,1
0.596615,0.021532,0.307466,0.252358,0.776639,0.627139,0.946233,0.136610,0.409616,0.014133,0
0.630238,0.843413,0.505289,0.194092,0.371681,0.165696,0.950252,0.918377,0.916122,0.591427,1
0.720925,0.144015,0.123177,0.479407,0.505830,0.437945,0.619799,-0.068385,0.271762,0.117488,0
0.195883,0.145959,0.373119,1.166612,0.773882,0.607632,0.940325,0.175746,0.597958,0.171405,1
0.246191,0.383913,0.218876,0.122033,0.283104,0.365346,0.511094,0.071157,0.754073,0.280488,0
0.164935,0.434753,0.035950,0.353403,0.997121,0.259144,0.791112,0.490254,0.398446,0.952879,1
0.296040,0.453576,0.528800,0.140063,0.223287,-0.066039,0.728550,0.015093,1.087317,0.625853,0
0.490690,0.136485,0.742357,0.749673,0.187264,0.631870,0.783169,0.192075,0.760817,1.017895,0
0.198640,0.898075,0.439251,0.893582,0.551497,0.097882,0.960474,0.854359,0.915619,0.958328,0
0.547742,0.694918,0.746353,0.390380,0.462574,0.222523,0.809700,0.729916,0.177448,0.405180,1
0.461034,1.236670,0.348708,0.494788,0.369887,0.201690,0.255023,0.363438,0.600359,0.869299,1
0.525650,0.369628,0.967628,0.926882,0.872960,1.037682,0.505468,0.878554,0.147662,0.983135,1
0.677377,0.200090,0.132032,0.952020,0.578171,0.480744,0.784206,0.820209,0.194767,0.091029,1
0.867164,0.195746,0.261255,0.313352,0.444880,0.337413,0.884381,0.267706,0.960669,0.431900,0
0.560771,0.776228,0.770962,0.860237,0.809401,0.115142,0.833579,0.592258,0.470990,0.664112,0
0.036303,0.952705,0.212002,0.048456,0.978909,0.051878,0.021652,0.228338,0.819318,0.612922,0
0.050152,0.954533,0.224729,0.067052,0.956451,0.040422,0.031419,0.247350,0.837422,0.619221,0
0.538209,0.424138,0.668525,0.775384,0.780189,0.820163,0.952401,0.949444,0.579926,0.934535,0
0.334504,0.170152,0.192158,0.844678,0.546356,0.861715,0.631865,0.539292,1.038375,0.303154,1
0.738804,0.849860,0.651117,0.385965,0.278597,0.380043,-0.195516,0.940746,0.527358,0.686088,0
0.909481,0.978837,0.962957,1.080256,0.562053,0.051839,0.905380,0.599960,0.501566,0.318879,0
0.544658,0.717622,0.686706,0.414207,0.455576,0.287694,0.875716,0.772699,0.161252,0.435348,1
0.621124,0.839504,0.509243,0.197438,0.372642,0.167626,0.946722,0.922755,0.918681,0.593894,1
0.515069,0.396093,0.690656,0.804470,0.723173,0.837449,0.919150,0.968637,0.542380,0.940724,0
0.732184,0.344138,0.919427,0.820018,0.878703,0.797200,0.248818,0.802878,0.117154,0.878684,1
0.617541,0.855997,0.530127,0.176859,0.380899,0.159886,0.952966,0.941760,0.916690,0.603426,1
