@RELATION RBF_Gradual_Severe

@ATTRIBUTE 0 NUMERIC
@ATTRIBUTE 1 NUMERIC
@ATTRIBUTE 2 NUMERIC
@ATTRIBUTE 3 NUMERIC
@ATTRIBUTE 4 NUMERIC
@ATTRIBUTE 5 NUMERIC
@ATTRIBUTE 6 NUMERIC
@ATTRIBUTE 7 NUMERIC
@ATTRIBUTE 8 NUMERIC
@ATTRIBUTE 9 NUMERIC
@ATTRIBUTE class {0,1}

@DATA
0.622133,0.838113,0.510866,0.200404,0.374312,0.163617,0.953207,0.919320,0.921492,0.597403,1
0.901024,1.080654,0.789214,1.084004,0.661496,0.037681,0.864978,0.643975,0.438781,0.359694,0
0.383639,0.015141,0.357886,0.741332,0.847596,0.940071,0.429539,0.747214,0.542734,0.621081,0
1.104541,-0.162817,0.343302,-0.037778,0.612172,0.331858,1.117363,-0.120701,0.821036,0.436766,0
0.731433,0.362704,0.901464,0.773109,0.884682,0.823313,0.266055,0.801772,0.077572,0.879020,1
0.891340,0.752563,0.768441,0.344160,0.294957,0.160185,-0.002292,0.719448,0.716795,0.972164,0
0.994568,0.636376,0.679184,0.110636,0.954072,0.483123,0.726583,0.384271,0.643827,0.623992,0
0.606011,0.917423,0.914874,0.812707,0.664745,0.163862,0.522120,0.722181,0.010520,0.906812,0
0.302360,0.480394,0.833153,0.310342,0.799076,-0.185234,0.160846,0.515620,0.441359,0.486085,1
0.760739,0.053610,0.255199,0.177099,0.757223,0.749734,0.872513,0.037055,0.385157,0.119599,0
0.749613,0.775118,0.738530,0.016470,0.634439,0.513692,0.265135,0.476127,0.178562,0.823473,0
0.559650,0.728352,0.613446,0.419617,0.502349,0.317810,0.869132,0.811784,0.168638,0.486728,1
-0.361987,0.156608,1.608497,-0.225558,0.085147,1.739755,0.492362,0.986073,0.799368,0.044127,1
0.531526,0.027735,0.262321,0.489819,0.001568,0.367500,0.961125,1.088415,-0.005174,0.684816,1
0.254293,0.926773,0.459753,0.879182,0.546578,0.068483,1.016851,0.855335,0.950197,0.910707,0
0.020561,0.948485,0.228116,0.875637,0.481821,0.609944,0.057705,0.061220,0.667170,0.715814,1
0.623706,0.842626,0.502753,0.202980,0.379731,0.164278,0.958620,0.920694,0.911261,0.604080,1
0.780742,0.224443,1.132398,0.391056,0.529421,0.753157,0.846379,-0.012393,0.130001,0.695262,1
0.282001,-0.135344,0.872076,0.280423,0.355673,0.821598,-0.200948,0.600216,0.539023,0.893691,1
0.655761,0.982864,0.596159,0.339902,0.624648,0.040200,0.285361,0.461559,0.652142,0.635778,1
0.850494,0.027581,0.274537,0.253599,0.584253,0.360067,0.974575,0.304891,0.910962,0.421205,0
0.356892,1.038957,0.875215,1.191838,0.289847,0.431579,1.092079,0.428336,0.831619,1.100303,0
0.752471,0.188819,-0.033284,0.409062,0.321858,0.162059,0.860694,0.925275,0.355108,0.683146,1
0.781659,0.332496,0.496768,0.358565,0.297894,0.556506,1.234096,0.693237,1.345878,0.674812,0
0.640255,1.129631,0.913774,1.104394,0.788928,0.222730,0.935565,0.530621,0.459095,0.573435,0
0.237787,-0.143052,0.973804,0.021427,0.882649,0.669771,-0.145683,0.568249,0.036262,0.595132,1
0.745787,0.971616,0.259514,0.769279,0.571820,0.466677,0.454655,0.759398,0.312271,0.809918,0
-0.030881,0.505102,0.321942,0.939526,0.517954,0.718385,0.117564,0.833509,0.533398,0.830926,1
0.732258,0.207381,0.492369,0.998513,-0.136670,0.541070,0.527472,0.307936,0.664142,0.658934,0
0.270816,1.005455,0.343865,0.094394,1.025249,0.035852,0.168703,0.086674,0.832402,0.788997,0
0.787407,1.041355,0.347629,0.524366,0.666309,0.983492,0.122476,1.075245,0.636693,0.429475,1
0.865005,0.179484,0.264446,0.326854,0.455518,0.327483,0.888572,0.285773,0.952437,0.429503,0
0.057774,0.942617,0.204758,0.081955,0.935871,0.066530,0.042391,0.235163,0.857188,0.627025,0
0.864844,0.582730,0.711225,0.038284,0.233234,0.291530,0.074149,0.232741,0.109078,0.272386,1
0.602872,0.762189,0.704746,0.397972,0.437571,0.283903,0.849477,0.768878,0.138745,0.447243,1
0.705335,0.296650,0.194108,0.862141,0.632345,0.511323,0.835368,0.765188,0.246162,0.055731,1
0.561945,0.720276,0.703658,0.423288,0.453864,0.275708,0.872681,0.763206,0.163263,0.427641,1
0.680051,0.712888,0.676485,0.067398,0.624213,0.524963,0.244359,0.456773,0.259941,0.925460,0
0.628024,0.852807,0.515651,0.199394,0.381584,0.165625,0.956430,0.918604,0.920453,0.604359,1
0.636262,0.826692,0.526536,0.276139,0.526251,0.073784,0.346519,0.426967,0.594563,0.595830,1
0.305921,0.530148,0.292015,0.668490,0.041815,0.982904,0.463108,0.652357,0.697005,0.675582,1
0.550716,1.133211,0.788154,1.110925,0.674512,0.485666,0.653399,0.310533,0.712696,0.272739,0
0.738222,0.331328,0.930882,0.801436,0.863747,0.812113,0.267271,0.788118,0.109017,0.872003,1
0.231168,0.519599,0.329428,0.798247,0.622679,0.841644,0.255630,0.917746,0.393768,0.925588,1
0.629112,0.836261,0.509460,0.205455,0.367923,0.159989,0.955019,0.929838,0.914969,0.604744,1
0.559016,0.901888,0.420339,0.868220,0.170519,0.547627,0.837742,0.242451,0.600251,0.417078,0
0.187210,0.255409,0.665741,0.842210,0.647606,0.689977,0.259880,0.164377,0.337575,0.308086,1
0.542100,0.499813,-0.125806,-0.008023,0.483592,0.421843,0.440691,0.159565,0.553875,0.233979,0
0.623300,0.842706,0.506583,0.196702,0.372019,0.159871,0.955846,0.922538,0.916283,0.599613,1
0.579065,0.334389,0.236001,0.511905,0.665635,0.323387,0.952054,0.476832,0.786164,0.372315,0
0.975168,0.717477,0.336709,0.112788,0.836501,0.929183,0.130352,0.500733,0.187203,0.733492,0
0.623630,0.842014,0.506244,0.202865,0.377213,0.157786,0.954419,0.923978,0.919639,0.598394,1
0.489596,0.376588,0.685157,0.794770,0.711469,0.828476,0.917599,0.972127,0.533919,0.921640,0
0.666945,0.364477,0.021990,0.930323,0.593266,0.577903,0.883231,0.811442,0.119451,0.014832,1
0.277399,0.045034,0.903169,0.272039,0.619840,1.038478,0.003719,0.648392,0.384444,0.739836,1
0.696437,0.993252,0.611175,0.982542,0.883358,0.601258,0.682982,0.466747,0.870847,0.520636,0
0.659664,0.190319,0.128878,0.984529,0.519242,0.493284,0.770771,0.758997,0.174392,0.045804,1
0.864160,0.779184,0.261376,0.072166,0.862757,0.986313,0.060203,0.442886,0.122667,0.750528,0
0.424339,0.801415,0.520533,0.968322,0.127056,0.543095,0.813458,0.384089,0.536910,0.415174,0
0.677424,0.901830,0.614678,0.300788,0.547086,0.001208,0.286419,0.428939,0.579723,0.655284,1
0.039759,-0.033635,0.840210,0.274150,0.515574,0.347721,0.532081,-0.085057,0.316535,1.078361,0
0.646634,0.035044,0.276274,0.235821,0.749127,0.673353,0.892295,0.104225,0.417511,0.031064,0
0.650047,0.828956,0.935358,0.838851,0.796035,0.342121,0.775214,0.833935,0.306914,0.400727,0
0.603090,0.868993,0.533833,0.180899,0.381843,0.168426,0.971454,0.935402,0.911241,0.594703,1
0.543195,0.747798,0.710958,0.451084,0.495018,0.265976,0.824887,0.744669,0.183098,0.405781,1
0.341095,-0.053475,0.524566,0.613124,0.018683,0.537472,0.468070,0.592850,0.751227,0.398562,1
0.551258,0.183156,0.840683,0.424533,0.172288,0.502627,0.630672,0.125961,0.251514,1.125947,1
0.837624,0.101047,0.850228,0.230591,0.910916,0.744124,0.242932,0.356939,0.251357,0.265202,1
0.368801,-0.077048,0.878837,0.386460,0.468936,0.735089,1.068114,0.142112,1.004157,1.056288,0
0.461338,0.304028,0.795661,0.223893,0.021588,0.191146,0.328314,0.862333,0.969044,0.276052,1
0.506133,0.384232,0.680165,0.810123,0.708867,0.836939,0.941476,0.979126,0.540208,0.881960,0
-0.014429,0.881610,0.285454,0.000452,0.995110,0.104463,-0.014780,0.150946,0.922166,0.683673,0
0.625001,0.841462,0.507287,0.198866,0.374190,0.162110,0.954077,0.922276,0.918158,0.598998,1
0.769332,0.213036,0.022429,0.323937,0.269844,0.223583,0.953484,0.887588,0.295929,0.639105,1
0.435942,0.587908,0.521878,0.787007,0.134353,0.992645,0.471812,0.648930,0.697851,0.784180,1
0.151092,0.218306,0.341025,0.603772,0.244722,0.242246,0.103245,0.659833,0.218085,0.909576,1
0.625533,0.849275,0.522703,0.206291,0.356053,0.181471,0.979997,0.921990,0.909318,0.612458,1
0.671533,0.004217,0.282121,0.222757,0.778977,0.645180,0.932807,0.106823,0.466809,0.049815,0
0.285374,1.046543,0.201298,0.823985,0.546546,0.504366,0.261588,-0.042730,0.448904,0.722130,1
0.103570,0.817195,0.864315,1.078062,0.750695,0.932609,0.221473,1.091715,0.359447,0.548351,1
0.835393,0.542299,0.530905,0.152549,0.440574,0.405475,0.535696,0.227360,0.210130,0.299921,1
0.570370,0.701038,0.687054,0.430195,0.441428,0.282665,0.878530,0.768424,0.155228,0.419832,1
0.519259,0.022180,0.488317,0.850990,0.106899,0.373047,0.967555,0.376804,1.023750,1.232705,0
0.188584,0.114858,0.780734,0.023321,0.483893,0.590581,0.228848,0.465179,0.592746,0.700570,0
0.109095,-0.006149,0.045157,1.007621,0.417939,0.565560,0.883377,0.562966,0.842389,0.513365,1
0.593172,0.516181,0.476839,0.354431,0.682371,0.398242,0.670013,0.164451,0.307712,0.111740,0
0.564775,0.978884,0.913377,0.240272,0.720779,0.712674,0.213979,0.563531,0.056513,1.159786,0
0.456683,0.561213,0.688107,0.701576,0.830418,0.027865,0.667775,0.675764,0.350120,1.130141,0
0.098427,0.855615,0.499799,0.485605,0.377720,0.221902,0.608857,0.433006,0.923578,0.343355,1
1.091127,0.561578,-0.320990,-0.248363,0.309485,0.040322,1.131866,0.400862,-0.075629,0.815804,1
0.736409,0.952199,0.288009,0.805376,0.522385,0.481909,0.441871,0.716281,0.287809,0.867672,0
-0.137059,0.013753,0.412843,0.732819,0.837681,0.807221,0.326303,0.191831,1.132688,0.454750,1
0.136363,0.969571,0.550592,0.870703,0.433105,-0.058450,1.002331,0.889441,0.884568,0.941602,0
