@RELATION SEA_Gradual_Recurring

@ATTRIBUTE 0 NUMERIC
@ATTRIBUTE 1 NUMERIC
@ATTRIBUTE 2 NUMERIC
@ATTRIBUTE class {0,1}

@DATA
1.941337,1.598640,5.527456,0
7.643256,1.511529,4.171194,1
0.917850,0.054203,7.238022,0
7.638015,6.558852,0.078406,1
7.470797,4.974271,9.074120,1
8.845534,6.773054,9.617765,1
2.681413,8.009136,7.114293,1
4.442850,4.737612,8.148126,1
3.898837,9.959434,6.012433,1
0.662965,1.972456,0.216184,0
8.972079,4.877184,7.217916,1
4.453243,6.096639,3.741349,1
0.907547,1.387089,5.435346,0
0.789370,3.986305,0.090178,0
0.229168,8.479510,1.365928,1
3.271802,6.799224,8.514278,1
2.622566,7.694545,3.645473,1
0.234196,3.560520,7.833739,0
0.217153,1.604325,4.990073,0
2.080738,8.269427,5.167718,1
5.981182,3.426222,5.592232,1
4.096041,1.982631,6.145112,0
8.190487,9.635102,9.617874,1
9.794808,1.612852,4.571808,1
7.102867,8.123436,1.712047,1
1.558434,6.781513,4.540208,1
9.579799,3.523883,7.489561,1
2.175482,1.726493,4.566823,0
5.540074,6.861336,4.291043,1
6.045142,5.728375,8.373284,1
1.135846,5.489139,1.245034,0
2.734446,1.137261,7.430625,0
4.872450,3.575049,9.992777,1
7.759684,0.808329,6.079961,1
6.608687,7.824966,0.732676,1
0.378294,5.963724,9.894455,0
7.629656,2.725543,8.873010,1
5.648201,5.899787,7.289258,1
4.059318,6.261353,6.419463,1
5.271732,7.264046,7.517974,1
4.061219,4.893187,5.749008,1
6.928601,7.525768,3.026273,1
9.495042,6.538099,1.520087,1
5.364017,9.738118,8.094896,1
9.537450,6.599556,1.070375,1
9.313559,0.610933,7.527372,1
7.153734,9.340937,3.736757,1
7.701971,4.690187,3.411010,1
9.707693,6.958060,7.483573,1
9.711447,8.068921,0.205895,1
9.756104,6.539491,0.533005,1
5.804186,2.337872,4.777693,1
5.148046,4.207495,0.375053,1
9.855932,5.217025,7.749189,1
4.875769,8.057829,9.629785,1
7.591229,2.441034,5.778868,1
0.064190,5.371612,4.700992,0
7.729867,8.951061,4.993856,1
4.688998,1.420629,6.864854,0
7.387909,8.673408,8.659606,1
7.581891,0.376834,2.587030,0
5.161114,4.718913,4.805346,1
5.480516,8.509470,0.067247,1
9.299941,4.411733,1.111429,1
0.969295,5.946525,2.775538,0
4.523901,8.423782,7.697787,1
4.999709,0.096500,0.680813,0
6.550899,9.094697,4.132302,1
9.065458,0.914156,7.910680,1
9.158431,6.638541,6.260178,1
6.641044,8.956983,2.124666,1
8.359339,9.067025,3.603261,1
8.510314,7.651114,0.248345,1
0.278230,6.963624,9.469004,0
0.904946,0.271204,7.115362,0
0.161930,7.900008,4.580651,1
9.423906,2.180340,3.081405,1
8.317280,4.188354,3.276206,1
3.112951,6.866474,9.707424,1
7.853789,1.632404,2.409292,1
3.865045,7.642087,3.657623,1
7.577071,4.436146,2.968998,1
6.615386,8.786509,5.256710,1
7.716026,0.505340,5.726180,1
9.446392,2.542015,1.737172,1
1.762904,4.430212,9.683486,0
3.840487,7.754529,1.113527,1
9.939541,9.519198,4.141991,1
8.716960,9.223065,1.030580,1
0.948180,6.950265,6.702021,0
5.768253,5.001959,5.726328,1
0.707072,9.315110,0.552000,1
1.027863,2.610958,0.485136,0
9.680143,2.887065,6.162663,1
5.663446,6.833686,7.450448,1
3.521257,9.941162,7.746391,1
4.838778,9.936666,2.758121,1
0.943617,1.308141,2.509282,0
6.735859,1.893886,3.750399,1
5.128902,6.672196,3.481405,1
8.483798,0.630053,8.307434,1
9.213775,0.194698,0.883410,1
0.910203,6.666639,2.719270,0
9.123955,4.279767,5.894602,1
1.131630,1.308689,2.539141,0
1.495450,8.670331,4.857418,1
5.125139,0.127410,1.868733,0
6.293205,7.842160,7.322284,1
5.852542,1.491181,1.553346,0
9.418360,9.015605,1.886639,1
9.490389,8.079211,9.488090,1
7.168606,0.746291,9.123825,0
9.838636,8.869598,2.347291,1
7.417800,1.735693,9.308608,1
7.322794,1.093539,3.312275,1
5.420020,0.252006,0.111812,0
6.550594,8.797789,7.471230,1
2.097635,2.767641,0.859551,0
8.990681,3.851976,5.291643,1
3.626019,1.226553,8.703438,0
7.988304,9.321699,2.512392,1
3.403010,0.411413,1.139540,0
1.136121,0.073741,1.189807,0
1.435751,3.092487,2.953113,0
5.455619,9.231544,6.540300,1
7.385199,6.293083,8.537598,1
6.362074,5.979358,3.332994,1
0.614488,6.044088,1.435308,0
6.414980,9.503977,6.480108,1
4.223561,2.579976,5.751834,0
0.139492,8.673253,1.382078,1
7.315023,4.098361,9.425860,1
0.461742,0.217453,7.563924,0
3.189694,1.925668,9.614306,0
3.541420,9.007704,7.321942,1
5.064227,9.618152,1.651963,1
3.368958,4.834908,2.497118,1
9.491887,8.946567,7.641800,1
3.543511,3.057243,3.650974,0
2.284292,2.079272,1.373332,0
4.540023,1.691716,6.285828,0
7.744981,6.307164,2.224921,1
4.423706,7.613180,4.126446,1
7.376162,4.992328,1.506162,1
0.957271,9.454554,5.333254,1
7.952960,9.298246,5.482585,1
9.596898,1.531209,9.261179,1
0.282340,3.293337,3.469021,0
9.168479,4.006221,0.814131,1
1.347581,2.456854,5.754047,0
0.852949,5.059985,8.022058,0
5.751598,8.901808,4.619656,1
8.900946,0.232516,9.403808,1
4.268854,7.276727,1.952845,1
8.120200,8.991895,5.884962,1
4.668242,2.065378,9.855375,0
6.606637,9.275239,8.708664,1
4.273617,2.733306,7.784867,0
1.959449,5.477435,4.826301,0
7.242256,9.891713,7.984401,1
4.232953,8.867451,3.867984,1
9.669453,8.679586,4.821214,1
5.711556,3.875960,7.058969,1
1.328036,9.864070,2.277849,1
9.699261,9.033232,9.502030,1
1.546327,9.094061,3.470149,1
9.632444,1.967508,8.587311,1
9.390286,6.057621,8.294829,1
5.694481,6.845902,5.660202,1
7.952662,3.612409,0.323456,1
5.492642,3.606595,1.592682,1
5.831112,8.107815,5.855519,1
3.480212,1.118865,4.755753,0
1.685836,2.223862,3.359156,0
7.223525,2.536162,0.359986,1
1.901116,8.084647,9.348692,1
9.220847,4.551380,3.637271,1
2.896873,5.227498,5.218139,1
1.692854,7.404569,4.865738,1
5.233403,3.740957,6.236680,1
7.552486,0.793707,0.624311,1
4.365951,1.005875,4.515904,0
8.609858,2.134674,8.278340,1
6.838272,3.451582,8.030195,1
8.014524,0.331232,7.431416,1
0.812199,6.849755,9.203306,0
1.270701,0.276135,8.735350,0
7.250630,0.302764,9.019791,0
9.295110,7.629876,0.379730,1
9.953854,4.372116,3.851424,1
6.956997,7.615057,9.361884,1
9.676033,4.587851,6.909034,1
7.118779,9.940050,6.486050,1
6.174324,3.907628,8.885314,1
1.913480,6.860775,4.552044,1
0.403179,1.852978,2.080503,0
0.982129,5.628722,3.129412,0
7.574217,6.807064,0.129109,1
6.243771,4.653369,3.576494,1
0.818505,9.431226,6.018354,1
9.780583,3.724296,1.966641,1
7.628425,3.907472,8.385774,1
5.920181,8.506639,2.444294,1
3.040770,5.094734,0.430579,1
9.909884,0.109891,2.058724,1
9.025338,4.847795,1.467809,1
5.234408,9.082666,3.011194,1
2.891063,8.757145,4.389630,1
4.086095,3.089929,1.983842,0
7.185522,1.020955,4.191873,1
3.220916,1.439651,5.993918,0
9.410746,9.995470,8.957189,1
9.110829,7.042882,2.584135,1
0.572305,6.370994,1.185830,0
9.795217,2.610441,6.124998,1
5.626343,2.191233,6.495606,0
8.679724,3.029817,1.915941,1
6.890564,9.779579,9.470031,1
2.426811,0.951882,2.030130,0
8.763027,7.116238,9.307800,1
1.308098,4.264751,3.150019,0
2.244824,3.980244,8.903368,0
2.660328,0.829897,3.076177,0
9.766362,3.880585,4.941061,1
6.810364,5.258592,9.111981,1
0.657500,5.772165,3.600422,0
9.543475,7.533209,3.572052,1
4.788117,7.808394,0.775223,1
7.970342,7.931864,4.753830,1
8.456613,4.323673,9.746139,1
9.301525,5.813913,2.491497,1
7.163724,9.736077,0.885307,1
2.880780,8.285186,9.075833,1
6.765824,5.954224,9.888706,1
6.019817,9.006227,9.798626,1
6.492712,2.448877,5.812642,1
6.704394,2.433219,3.131335,1
9.353838,0.205011,2.428256,1
0.771309,4.117815,6.463820,0
6.472919,4.956256,4.659711,1
7.085112,7.084004,4.530633,1
5.192928,5.761971,3.243441,1
8.536912,3.720454,4.359758,1
2.967107,4.049200,1.290871,0
3.939577,4.967515,3.750107,1
4.179261,2.312911,6.366616,0
1.636982,6.974644,5.273817,1
6.935304,2.028040,5.766317,1
7.313739,9.472850,0.015908,1
4.389112,0.402366,6.716449,0
4.510180,0.498302,6.112577,0
8.334078,8.161615,4.619242,1
5.052519,1.057861,4.551186,0
2.467150,6.913079,7.364161,1
1.301172,7.841712,8.516544,1
7.016969,0.686193,5.309898,0
0.335143,4.628280,2.991107,0
2.526936,8.735896,4.049505,1
5.932561,3.942570,8.687172,1
0.954518,9.378732,9.021336,1
4.371608,7.153356,4.093967,1
6.004195,1.873690,3.097814,0
1.396077,1.729080,4.114184,0
8.496162,0.827093,8.833858,1
7.447013,5.629231,3.015783,1
1.737896,4.744117,6.097449,0
8.921823,7.086010,7.179425,1
2.075024,1.462451,1.415706,0
0.118987,7.371820,1.891106,0
1.306480,6.554988,4.539055,0
4.515123,0.854643,1.164173,0
3.587393,7.913602,8.357638,1
7.487126,4.903152,7.801784,1
8.437200,0.999969,1.017012,1
9.857017,2.805408,8.131201,1
9.692332,1.564682,0.360295,1
1.413426,9.898518,1.167524,1
3.381390,7.553591,7.876841,1
3.428726,1.429016,4.006130,0
2.709351,4.952867,4.780215,0
1.379877,0.012691,4.197047,0
8.405818,4.104947,4.096215,1
8.295783,9.371535,5.372537,1
0.588597,5.063736,2.590681,0
1.188459,1.199511,8.353667,0
8.064530,9.854639,1.115624,1
4.523833,1.709285,8.660532,0
1.062889,5.073187,4.321552,0
0.530553,7.803300,4.958063,1
6.180513,2.710738,3.674612,1
5.491625,0.522795,9.270125,0
0.704087,1.108204,9.422851,0
7.023812,8.759164,0.456158,1
6.357011,7.513115,6.121134,1
1.609628,8.222081,6.915519,1
5.543156,2.101258,1.764852,0
0.951826,5.418487,0.900422,0
1.037368,9.209382,0.513814,1
5.673803,4.500276,5.939138,1
0.820456,5.575859,4.005561,0
1.847361,8.192944,7.474060,1
1.137157,4.427342,9.220922,0
5.172418,0.620194,7.265427,0
4.111884,3.372299,2.933977,0
6.081684,5.467252,4.920751,1
3.390201,2.674883,4.491405,0
8.729013,3.528631,2.588644,1
0.440910,4.595923,5.492446,0
3.664429,5.098156,8.993766,1
6.937215,4.647425,2.216353,1
9.743331,5.370272,8.543107,1
4.126643,6.881570,2.866756,1
1.776638,2.414684,6.932058,0
9.603556,2.614660,8.487967,1
9.889313,3.659677,7.614735,1
6.817840,9.651112,2.531253,1
8.739707,4.290923,3.911890,1
2.433840,7.265986,5.137078,1
8.238498,3.555612,4.850296,1
9.164698,1.384298,0.219785,1
0.268933,5.887007,8.186356,0
7.974678,7.206179,0.462344,1
6.872938,1.770978,4.847671,1
9.714988,2.782890,5.901829,1
5.937010,7.708194,0.453665,1
5.902347,3.710918,3.887362,1
2.754739,3.786207,8.964711,0
0.482918,9.915609,8.076344,1
2.557905,0.176453,5.538631,0
3.067817,0.586770,2.415608,0
4.799745,6.787900,7.359070,1
4.032731,9.376543,6.767340,1
1.994217,8.525394,0.369451,1
7.164056,7.489527,8.012157,1
8.469995,0.406705,4.525580,1
6.326877,2.381485,0.176101,1
0.504282,5.206115,7.185238,0
4.086224,1.951613,4.540796,0
4.026403,5.968509,4.938987,1
0.165097,1.866552,8.382449,0
5.076474,5.128467,5.681142,1
0.917071,6.365240,0.999371,0
9.387866,6.197369,9.093574,1
2.756333,2.303080,9.110850,0
4.423039,2.316177,4.353352,0
9.308366,4.032809,0.193811,1
4.349442,0.666735,7.097233,0
3.653469,8.839387,2.583973,1
6.088616,0.050469,6.922480,0
5.697585,0.961847,1.942957,0
0.922270,2.477088,6.521284,0
0.753237,1.313324,4.384954,0
6.450994,1.637218,0.047675,1
6.368540,0.296090,1.115376,0
6.655189,6.253505,1.626527,1
9.991524,1.614180,2.756137,1
7.184258,1.393871,4.848183,1
4.351025,2.018593,7.083179,0
1.325742,0.667507,6.325262,0
9.083408,8.700821,7.879563,1
3.094201,9.877492,9.093656,1
2.855113,9.764212,8.857953,1
9.843463,7.584090,4.284645,1
0.253970,1.156155,7.466682,0
1.202736,0.785283,6.622837,0
9.862417,1.259773,6.095077,1
9.092442,3.260980,9.348107,1
3.817582,6.793776,9.879993,1
9.157978,3.420089,5.796498,1
8.658159,9.041519,9.523531,1
2.376519,9.692714,9.911219,1
3.920638,3.385419,9.307488,0
4.648232,6.537071,9.768112,1
8.349718,4.475692,6.407328,1
0.118180,5.842608,1.331095,0
7.643660,2.770646,1.094400,1
4.148856,8.408600,4.415977,1
3.246469,0.232147,6.765181,0
8.826620,3.580853,4.583793,1
3.334871,1.484485,3.228527,0
6.553772,9.062624,9.967180,1
7.741077,1.660638,4.441768,1
0.200709,6.018340,2.226427,0
9.439775,4.018181,2.220550,1
9.775490,4.460524,7.639851,1
3.821862,1.150048,6.673421,0
3.930210,9.651690,5.872651,1
1.575134,5.048229,5.088765,0
6.777212,5.662556,0.424205,1
4.853095,8.917538,8.806300,1
1.782261,9.763605,3.486114,1
8.102879,8.429492,4.168067,1
2.521075,1.883170,1.617211,0
5.729216,1.425262,6.530989,0
5.222407,2.993217,2.605604,1
0.276373,5.232212,7.983749,0
2.378612,2.920774,5.651803,0
2.863175,7.863331,5.253103,1
9.232618,5.101168,3.653889,1
0.055025,9.492758,4.144378,1
1.595321,3.029262,0.095701,0
7.339422,5.051452,6.291660,1
9.617628,6.958340,6.565152,1
9.383134,2.260609,1.359998,1
2.191418,0.558570,5.347075,0
2.648665,1.791721,1.165594,0
9.340665,1.511253,8.426681,1
3.624565,7.191634,0.667621,1
8.448403,4.741485,8.099017,1
7.033972,9.010570,8.981024,1
8.512042,8.113915,5.639076,1
0.427391,0.816787,0.340087,0
0.880623,1.180923,5.648321,0
0.524925,3.598106,2.881078,0
2.323509,2.805136,4.972738,0
2.952004,1.348529,4.508044,0
7.598675,4.845586,1.014831,1
4.933914,1.953096,4.248430,0
8.568910,4.558854,3.087140,1
2.412249,3.817004,1.481167,0
6.539638,3.380080,8.324076,1
3.123590,2.610461,6.128018,0
4.815554,8.024792,1.748769,1
6.420029,4.361032,2.289107,1
3.428929,9.135655,5.659734,1
6.572900,4.099720,5.836620,1
6.836575,7.725841,1.193458,1
5.365413,3.925096,7.951286,1
9.376077,8.866754,5.302146,1
5.408966,1.529342,1.243878,0
2.412133,1.607673,2.604280,0
7.518454,7.575814,7.596068,1
4.386477,8.768292,3.502666,1
0.481353,4.834644,4.788040,0
0.873440,9.236223,5.496117,1
2.125322,1.156083,6.630571,0
1.984228,2.692866,4.473801,0
3.511107,1.410264,2.781966,0
9.368599,4.724900,4.087243,1
1.477613,9.023297,6.355356,1
1.651554,7.061715,2.951320,1
2.115273,8.258295,5.926879,1
8.273212,6.180893,7.110696,1
