@RELATION SEA_Gradual_Simple_Fast

@ATTRIBUTE 0 NUMERIC
@ATTRIBUTE 1 NUMERIC
@ATTRIBUTE 2 NUMERIC
@ATTRIBUTE class {0,1}

@DATA
7.489356,0.451972,7.141873,0
9.713866,0.160994,8.039067,1
9.626944,1.225573,4.190660,1
9.554825,3.540537,8.948422,1
5.778792,9.548275,0.469066,1
8.679835,8.521492,4.801845,1
2.875291,8.344721,6.453364,1
7.356001,4.162211,8.526021,1
0.153537,7.479350,0.844112,0
9.076323,0.771239,2.410209,1
6.814433,8.981328,0.299843,1
7.830935,0.015932,8.003752,0
8.638553,3.591829,9.567762,1
0.505024,2.756685,4.575945,0
4.316187,5.777296,7.354442,1
1.010172,8.292395,2.167946,1
0.111622,8.968752,1.267436,1
2.411633,1.847748,7.584533,0
2.353125,5.406157,9.347752,0
2.741827,6.465897,1.848875,1
9.738359,5.235440,1.432506,1
9.926158,9.126949,9.902527,1
9.672985,8.833224,2.505568,1
8.372709,3.146108,1.267441,1
7.411886,9.278893,4.609369,1
2.289151,0.985745,2.895994,0
3.982925,9.824977,9.869215,1
4.307017,1.482300,4.232250,0
0.955020,7.393679,8.935386,1
2.165989,8.410369,4.081720,1
5.289872,9.952390,8.456210,1
4.513108,7.005049,4.873286,1
0.865387,1.946019,1.030824,0
5.665272,0.339006,3.679978,0
6.903090,4.890512,1.971035,1
5.007359,1.572399,6.581264,0
2.069097,4.019632,1.797593,0
6.218983,0.899231,8.440729,0
9.455108,2.309186,9.513395,1
1.416854,9.124108,8.796898,1
6.372690,4.763388,6.879915,1
2.506822,2.187576,4.105106,0
3.548155,3.908207,0.070350,0
1.847185,1.829933,5.764570,0
0.126653,9.850290,5.502243,1
4.570419,2.201954,6.054570,0
2.747944,5.708582,7.081141,1
8.346487,5.072560,9.807336,1
6.674664,7.130174,5.224028,1
0.817841,4.303952,8.615571,0
5.227839,7.457799,2.771801,1
4.571578,0.118902,4.416701,0
9.234065,0.852217,4.780588,1
1.482072,9.159875,4.651522,1
9.644102,8.143628,6.915415,1
0.423359,8.093524,9.378709,1
6.699669,4.609357,7.105501,1
8.177012,1.751737,6.431158,1
3.170560,6.141151,4.250883,1
