@RELATION SEA_Gradual_Simple_Slow

@ATTRIBUTE 0 NUMERIC
@ATTRIBUTE 1 NUMERIC
@ATTRIBUTE 2 NUMERIC
@ATTRIBUTE class {0,1}

@DATA
8.002710,6.145803,6.112113,1
7.052700,3.235026,6.821193,1
7.995437,1.077154,8.893825,1
8.802646,5.194013,9.578275,1
6.333659,5.916119,6.856464,1
8.100868,0.013859,8.497120,1
0.819654,7.501327,0.198606,1
9.960792,5.748379,2.735735,1
8.427181,6.111084,3.759669,1
5.717620,4.219909,2.378203,1
6.987872,8.347660,4.939933,1
9.896704,1.667478,9.907006,1
3.882826,3.201003,0.091119,0
7.835409,3.792268,0.415567,1
0.166997,5.362997,0.836254,0
6.398016,4.997840,9.643235,1
1.039833,6.157694,4.461692,0
6.375268,9.135135,9.371857,1
8.172047,6.958123,7.795472,1
1.768422,1.566966,3.685089,0
6.039961,2.438878,2.331655,1
3.432437,8.841238,7.790800,1
5.780746,9.945263,5.585160,1
8.019146,7.799530,9.674838,1
7.600687,3.379309,9.558362,1
1.491200,4.488035,5.022958,0
8.816074,9.533855,5.190945,1
7.473989,6.439489,8.120746,1
4.874470,3.502717,6.644895,1
0.430414,6.017166,0.276665,0
7.163226,1.045272,9.371555,1
3.493143,2.950434,0.381826,0
2.292692,2.311081,6.890630,0
8.505641,4.058269,7.789869,1
4.602454,7.840069,9.858941,1
6.873460,3.263284,0.298306,1
3.829716,8.614336,3.124048,1
4.402529,9.673391,0.547290,1
0.591089,3.934176,1.607690,0
2.320189,4.674504,5.794791,0
5.032733,1.407761,0.838444,0
4.771067,7.348435,9.436092,1
0.114562,3.188461,5.970757,0
0.401413,1.135801,7.354972,0
8.661451,3.487817,5.766318,1
2.377359,7.585871,0.412894,1
0.869613,1.362342,4.190452,0
7.898201,8.456924,0.069974,1
3.852224,2.838644,9.895364,0
1.094513,9.743287,2.799507,1
7.440687,4.461612,7.797806,1
5.479508,3.388579,2.441341,1
5.232036,7.108562,2.010286,1
1.095683,4.070735,7.214879,0
0.761361,6.479938,9.585027,0
3.218491,7.237362,5.445500,1
1.468523,4.048370,6.517037,0
0.551172,3.706241,5.231524,0
8.604445,2.601835,8.990576,1
8.127209,6.930382,8.446702,1
0.849901,9.850578,7.866053,1
0.374890,6.465600,6.081719,0
0.299066,5.740282,0.583547,0
8.289602,0.378079,4.469272,1
7.889995,5.939952,4.208088,1
2.754618,0.674551,8.383071,0
6.959382,7.748141,7.596501,1
8.819707,6.548933,2.936694,1
4.131719,9.173325,7.707944,1
7.031457,3.477352,7.410858,1
1.662044,9.425608,8.302359,1
0.823816,5.345991,7.479616,0
9.595193,6.000731,2.979103,1
0.220727,3.830556,3.459890,0
3.749969,8.992077,0.744832,1
1.279677,2.337652,4.460131,0
2.697043,0.990230,7.825676,0
3.871556,0.599453,8.342854,0
2.417229,0.679758,6.790351,0
0.680899,5.379411,4.123264,0
1.247506,6.715867,5.921921,0
8.442454,8.379789,1.619797,1
3.874434,7.978400,4.022582,1
9.801193,8.359963,4.629044,1
9.694965,5.946995,1.495796,1
8.120860,0.913981,8.420318,1
6.112536,0.979641,4.898202,0
0.954102,7.763223,7.722344,1
4.471745,2.285779,6.525871,0
0.218689,8.602126,1.052540,1
8.660925,3.079579,9.276126,1
2.933099,9.354239,4.988048,1
2.961142,5.694913,8.202810,1
3.646661,6.361008,8.920011,1
0.030365,0.328332,0.144045,0
9.250310,6.787547,7.980295,1
9.393326,6.174867,2.292136,1
9.073106,8.943702,2.032687,1
1.270841,0.950798,1.102861,0
3.488110,5.844121,3.722373,1
1.184469,0.711029,0.316560,0
3.098056,5.831250,1.097514,1
9.326944,5.562281,7.100431,1
3.028557,6.237869,5.146778,1
8.264056,6.474496,2.533005,1
8.664560,0.812475,2.175823,1
8.970397,7.368424,1.123045,1
8.400932,8.972264,2.183943,1
2.394268,5.149565,7.472238,0
6.830543,0.163094,2.742958,0
4.348473,3.692855,6.249658,1
2.610389,0.491352,7.117128,0
7.852326,6.363886,5.348436,1
5.648288,0.887139,5.039935,0
3.012224,0.559878,7.892165,0
1.916402,0.887822,0.395804,0
4.592424,5.679510,2.627591,1
9.667964,9.645964,1.156010,1
6.637651,0.487930,6.288130,0
3.979102,7.874657,4.060350,1
8.104761,2.682362,2.389878,1
1.676772,7.630167,1.963826,1
0.510898,5.009644,4.084801,0
3.675524,1.704179,0.456225,0
5.573927,0.045736,5.987072,0
8.746653,8.794547,0.304145,1
4.314009,9.292745,0.302173,1
8.869880,2.281201,3.575855,1
3.143395,7.633215,9.427846,1
1.679774,5.270468,3.035868,0
9.130812,5.376812,6.972113,1
8.388271,1.412670,5.601564,1
8.873147,4.537558,6.326987,1
0.471086,4.751539,1.169218,0
7.006499,1.576372,7.333775,1
9.429097,5.940598,6.449125,1
8.515766,9.611001,1.618468,1
6.883280,1.797298,5.979467,1
1.031819,3.342034,6.186690,0
7.163626,2.538678,7.283575,1
9.842327,3.615375,4.185431,1
7.546556,0.404640,3.000595,0
0.307606,0.412077,4.191481,0
6.979982,4.226101,9.296609,1
9.146371,7.858142,6.241535,1
8.968383,8.832345,4.337789,1
7.487355,4.965250,0.543655,1
8.172193,2.134697,4.860147,1
5.677721,8.390968,3.924464,1
3.235281,9.624231,8.324530,1
7.321391,0.809397,9.626759,1
8.058050,9.875226,3.527183,1
1.096232,7.580140,0.140373,1
8.424026,5.223167,3.654281,1
2.653296,0.385524,3.139770,0
9.987182,9.658902,7.203647,1
7.337367,4.948633,8.080571,1
5.874573,2.333163,4.941759,1
8.958113,5.612393,3.873762,1
2.406529,4.708829,8.342535,0
0.567572,7.085632,4.712963,0
3.658521,1.291311,2.990221,0
4.937131,0.941934,9.833092,0
9.431178,2.949541,8.376795,1
5.371608,7.653664,5.869931,1
7.198578,1.326080,3.311308,1
2.688476,0.704517,9.241077,0
3.518314,9.742065,3.301706,1
0.594033,4.382954,6.460492,0
5.273646,8.882603,7.301689,1
5.491559,4.503294,2.554259,1
7.281717,0.371930,6.783062,0
3.988057,1.594826,6.719148,0
4.917562,0.054555,5.160695,0
6.078501,7.379119,1.966682,1
8.744962,6.676754,5.923257,1
3.354275,6.644785,3.067135,1
1.286250,9.109631,0.875627,1
6.925821,0.753299,7.690718,0
7.657579,0.454475,6.637897,1
6.885990,1.000405,0.437509,0
3.279448,4.703712,0.885397,0
9.573754,8.747354,1.647859,1
5.661136,3.447990,5.321789,1
3.768822,3.835064,8.569423,0
8.173715,3.214485,1.240034,1
3.196258,9.227990,7.258039,1
2.812615,5.928837,4.121991,1
8.541279,8.864681,2.107681,1
3.219320,9.786923,2.812731,1
7.467742,0.101687,3.113547,0
3.224153,4.182990,7.534803,0
9.878702,1.170678,9.107341,1
0.081902,2.552033,8.435046,0
1.112829,1.831781,3.708086,0
7.570145,4.665462,4.247596,1
0.952899,9.746294,7.175205,1
8.043835,1.550679,0.073240,1
7.506345,7.725464,6.252549,1
4.714065,9.445440,8.487339,1
9.069774,2.111706,4.818106,1
0.359498,6.570346,3.077782,0
1.058988,9.304841,2.725193,1
2.802846,8.808548,2.208931,1
6.572676,6.136768,6.307824,1
8.865933,2.220312,3.574862,1
9.732514,8.435417,2.536859,1
7.599087,6.969736,3.173870,1
7.415336,2.936803,6.619535,1
9.446529,7.169636,3.004418,1
1.276801,8.825907,2.827444,1
1.146268,4.294437,1.310443,0
7.793359,4.310485,0.313764,1
9.475294,1.979768,4.569752,1
4.556947,7.058942,3.111935,1
9.082678,5.710347,9.750969,1
7.142470,6.195527,3.305298,1
7.481972,0.190182,3.543605,0
9.079127,1.484959,5.300117,1
6.821500,8.034233,2.501464,1
8.791709,7.428556,2.143257,1
8.586765,4.121115,0.022865,1
3.956366,1.264406,6.968207,0
3.482141,8.656487,9.893442,1
1.775765,5.446960,0.215090,0
4.687029,4.149989,3.716204,1
4.459153,6.228021,2.943299,1
4.309685,4.036986,3.760040,1
7.301696,4.877328,7.313627,1
9.690585,4.618382,9.010391,1
0.096298,6.775439,0.964205,0
5.593798,4.048080,8.114945,1
6.223081,1.252646,1.172652,0
7.626276,4.703768,0.698487,1
7.914534,5.162035,9.782506,1
2.647161,0.771233,7.357639,0
5.840094,9.770259,6.263677,1
3.514081,9.616857,7.623390,1
2.856388,7.762056,0.111349,1
4.933724,5.537821,6.479768,1
4.377800,0.971954,0.247731,0
5.321195,6.751771,3.878722,1
5.265316,2.649927,5.121614,0
5.931947,8.424417,1.918417,1
1.221403,1.432414,4.898818,0
1.892749,7.597031,1.347791,1
6.832154,4.448032,3.165350,1
5.025588,0.668931,4.234549,0
3.652404,6.992027,5.069654,1
9.074032,2.017030,9.778539,1
5.611378,5.047998,9.575402,1
2.625709,1.913208,7.117616,0
8.364447,8.787034,7.495338,1
5.432680,6.484881,0.244891,1
9.946327,8.586313,3.567768,1
3.881826,1.537641,3.737757,0
2.085771,3.707777,0.746355,0
3.466270,4.300408,6.108297,0
0.080553,5.239171,1.329088,0
9.651495,7.503920,6.823016,1
6.724234,4.469420,6.836118,1
6.405553,8.182617,0.987365,1
2.098241,4.059180,5.348702,0
1.030301,7.867201,7.231086,1
3.659586,6.382113,4.919577,1
0.552281,5.781133,6.511895,0
0.967051,9.338363,8.877593,1
1.655655,8.510183,5.578342,1
3.939149,8.591227,1.059898,1
0.549918,8.409945,0.283431,1
2.471333,1.931999,9.414756,0
3.015854,8.359310,4.201371,1
3.477237,4.392363,4.263392,0
1.807504,2.581856,2.442086,0
3.210015,6.735332,5.758453,1
4.412849,8.588887,8.104835,1
3.711755,0.141962,6.258001,0
9.876211,5.187002,4.967493,1
5.706267,2.691314,5.102765,1
9.427909,2.511048,6.076835,1
0.530282,2.522994,1.855711,0
2.654379,0.401089,2.094654,0
5.196918,5.595881,3.279053,1
0.183165,1.793136,1.963517,0
6.198337,7.976885,4.963500,1
3.281996,0.257064,1.226628,0
6.016927,5.090146,4.532644,1
9.381109,6.351269,2.953420,1
2.566598,9.052251,5.436792,1
7.013515,9.081963,2.212011,1
9.416839,2.520483,8.789173,1
8.469917,7.949725,0.195568,1
7.870806,7.270051,8.100806,1
7.576867,8.814307,8.910136,1
5.541418,5.528784,8.304303,1
5.533251,2.230468,1.915878,0
5.045297,6.362551,8.700366,1
0.671395,1.660980,7.619293,0
7.580924,8.798676,9.841062,1
4.912320,2.992234,6.460855,0
0.594226,0.807452,5.967819,0
2.311509,3.680775,8.455430,0
1.124266,4.921528,2.823145,0
5.535554,3.635393,8.670988,1
