@RELATION SEA_Gradual_Simple_Slow

@ATTRIBUTE 0 NUMERIC
@ATTRIBUTE 1 NUMERIC
@ATTRIBUTE 2 NUMERIC
@ATTRIBUTE class {0,1}

@DATA
7.679766,7.336775,2.764899,1
0.488156,7.637031,3.764965,1
4.439195,4.123818,6.780935,1
0.528418,8.821558,9.488949,1
8.326207,0.259806,8.872784,1
9.551258,2.194905,9.991204,1
1.053498,2.796913,8.625524,0
7.168302,8.705660,4.640621,1
9.943732,7.032600,6.768840,1
5.849303,6.797888,0.482785,1
9.780912,4.616214,9.154557,1
3.394891,7.530579,0.999426,1
9.949357,2.019674,7.195465,1
6.769022,4.198455,1.906904,1
3.669320,6.188349,8.136518,1
8.916214,6.264536,3.080714,1
4.929864,6.312312,8.754621,1
4.663455,2.574694,4.429826,0
7.816461,3.888642,5.137269,1
7.589865,8.476177,0.262907,1
2.703976,5.940683,3.943370,1
3.839271,0.059280,9.787751,0
4.065426,1.413808,5.214320,0
1.982723,3.579175,2.193291,0
9.755043,8.109093,9.917765,1
2.089582,8.656454,4.513060,1
3.285737,2.973480,8.014933,0
9.719624,5.572037,4.981532,1
9.523638,1.247895,0.017513,1
9.342595,1.858807,7.770142,1
3.994124,2.987422,2.706873,0
6.173617,0.641102,3.093145,0
9.249815,6.509210,6.944278,1
9.220698,1.351677,4.377537,1
8.632827,3.274321,5.009934,1
9.244095,9.069330,1.199918,1
5.240581,5.879705,4.317106,1
0.431835,8.347438,1.216856,1
8.364117,4.998266,7.604334,1
7.105866,2.927107,7.104352,1
5.820258,8.862077,0.333622,1
8.760128,2.037320,9.175043,1
1.846226,0.480624,1.584263,0
7.930208,8.295329,5.356747,1
9.528568,3.313130,7.502876,1
7.134237,8.283284,8.231453,1
8.440920,4.112443,4.470891,1
3.177083,7.590138,9.525171,1
9.225914,7.071324,1.615529,1
3.711697,6.196166,2.695583,1
2.928675,2.532594,8.143617,0
1.471815,9.212026,1.796419,1
4.452217,2.356486,3.832033,0
3.350719,5.419722,6.535289,1
2.732526,8.895055,3.176396,1
3.176187,8.860428,1.857450,1
0.918325,4.934436,8.488067,0
6.409614,5.991362,7.402874,1
0.638634,2.289670,7.429718,0
8.624093,7.507545,9.881452,1
0.594466,1.469318,3.372833,0
6.521510,2.853395,8.752704,1
4.917867,7.829851,8.732823,1
6.322054,5.604864,5.544422,1
5.632672,4.143143,9.515672,1
9.884958,8.327477,7.331179,1
8.901414,3.109031,1.245265,1
0.281953,3.346679,4.047566,0
2.251823,7.676811,1.269632,1
5.748299,1.489557,1.774167,0
7.160865,6.769600,8.847701,1
6.335395,4.731950,4.089788,1
