@RELATION AGRAWAL_Abrupt_Simple_Severe_Noise

@ATTRIBUTE salary NUMERIC
@ATTRIBUTE commission NUMERIC
@ATTRIBUTE age NUMERIC
@ATTRIBUTE elevel NUMERIC
@ATTRIBUTE car NUMERIC
@ATTRIBUTE zipcode NUMERIC
@ATTRIBUTE hvalue NUMERIC
@ATTRIBUTE hyears NUMERIC
@ATTRIBUTE loan NUMERIC
@ATTRIBUTE class {0,1}

@DATA
80649.367716,0.000000,31.000000,1.964208,20.000000,5.000000,412532.709590,13.927659,382198.252864,1
99364.632909,0.000000,44.000000,-0.185593,13.000000,0.000000,640352.655169,18.939878,191195.730313,0
59755.920455,76416.634995,70.000000,3.966658,8.000000,8.000000,0.050075,25.063471,21268.481637,0
51751.070433,75400.889482,33.000000,1.970992,2.000000,1.000000,592150.300984,29.059468,389438.979575,1
140256.891622,0.000000,39.000000,3.944148,7.000000,2.000000,892173.261028,23.104672,373749.247936,1
111135.752327,0.000000,22.000000,3.914286,10.000000,3.000000,297163.981919,15.922755,492118.662245,1
131023.079864,0.000000,30.000000,-0.002810,13.000000,6.000000,190666.867826,12.843140,405648.327636,1
141544.964456,0.000000,47.000000,0.901491,2.000000,5.000000,344715.568375,5.066619,8416.646982,0
68870.664276,19879.568214,32.000000,-0.105307,2.000000,5.000000,424743.541246,29.086129,441876.269946,1
88096.124956,0.000000,70.000000,0.132270,15.000000,2.000000,452424.423071,21.113518,459455.459394,1
104015.447298,0.000000,62.000000,1.095384,7.000000,5.000000,327011.742466,23.867965,180806.915763,0
47874.628582,51505.771375,53.000000,4.291360,7.000000,3.000000,539292.895447,21.084595,344974.286688,1
33197.720774,77192.246403,38.000000,3.091820,19.000000,7.000000,149836.870564,11.051085,366843.333095,1
33556.356571,54015.972539,68.000000,2.068704,19.000000,8.000000,-0.062353,16.985778,472265.553921,1
62775.904571,72803.277187,68.000000,4.128428,16.000000,6.000000,146051.551925,28.028726,240537.171699,0
62496.989060,25431.814759,26.000000,3.939726,10.000000,0.000000,942892.187529,26.991935,419349.583684,1
103622.894753,0.000000,68.000000,-0.019320,2.000000,5.000000,382532.398207,16.954539,79963.044115,0
121739.391896,0.000000,58.000000,3.257059,6.000000,6.000000,285339.919373,30.099961,6760.688231,0
134818.223120,0.000000,32.000000,3.084327,15.000000,6.000000,100759.071605,12.125222,1030.845451,0
42132.003496,39128.574700,67.000000,-0.070321,20.000000,8.000000,-0.081755,11.126712,306316.701093,1
57020.324813,43440.510832,76.000000,-0.153387,2.000000,7.000000,79123.572011,25.103721,497615.098882,1
115258.950531,0.000000,69.000000,-0.074609,3.000000,5.000000,196294.405389,28.927195,67478.278384,0
49947.413475,26427.927438,28.000000,0.067377,19.000000,0.000000,1033087.707568,26.824020,482250.917376,1
104964.368964,0.000000,45.000000,0.996416,2.000000,2.000000,585299.777096,22.980592,398389.577187,1
82595.747739,0.000000,69.000000,2.929135,8.000000,7.000000,115448.714597,1.954249,402042.997145,1
143278.843571,0.000000,54.000000,3.993125,5.000000,5.000000,294812.397062,23.982139,476232.561001,1
108297.907946,0.000000,73.000000,3.035528,15.000000,2.000000,365101.872811,10.975283,119300.987636,0
77809.215989,0.000000,42.000000,0.929705,2.000000,5.000000,357589.988249,6.893716,320771.020057,1
82742.609706,0.000000,58.000000,3.944404,16.000000,3.000000,392933.807149,24.176378,399936.952634,1
84779.683479,0.000000,34.000000,3.811207,14.000000,0.000000,1009023.840184,16.146819,463718.935152,1
42540.528831,39334.641322,40.000000,4.008398,13.000000,1.000000,771316.859766,27.827370,306426.409324,1
71091.603651,14801.449304,54.000000,1.162654,2.000000,5.000000,406845.328079,1.863326,495943.133054,1
118758.282220,0.000000,65.000000,0.835953,3.000000,1.000000,471787.855243,28.782098,334452.382890,1
123985.659471,0.000000,47.000000,1.878661,19.000000,2.000000,798469.848629,16.837308,269731.652855,0
44248.846437,17503.748948,29.000000,0.978051,11.000000,5.000000,268523.953149,13.105466,389344.020206,1
78006.943188,0.000000,66.000000,0.018216,19.000000,3.000000,258756.515891,14.895419,180477.717608,1
144029.394437,0.000000,31.000000,2.027231,4.000000,8.000000,0.100873,18.034813,178518.750613,0
48144.609013,73787.541130,23.000000,-0.077224,20.000000,3.000000,400044.758316,10.036705,96373.052704,0
60127.121669,57260.558161,36.000000,3.781719,4.000000,2.000000,809681.313770,16.100365,364823.286756,1
94827.231293,0.000000,62.000000,0.028358,7.000000,8.000000,0.069744,12.943437,253403.700598,1
25199.127755,69262.939244,24.000000,-0.026834,11.000000,1.000000,962715.093118,3.857375,317332.411708,1
117713.600185,0.000000,64.000000,1.176857,10.000000,8.000000,-0.156645,21.067168,460251.371922,1
91686.729877,0.000000,39.000000,0.031355,7.000000,2.000000,759037.084858,21.972763,286981.915573,1
58011.231816,27412.682982,46.000000,0.049823,4.000000,1.000000,1019991.823327,27.252488,469341.061623,1
108999.379680,0.000000,77.000000,3.895018,12.000000,1.000000,950480.854709,3.982494,318438.397890,1
140531.830367,0.000000,71.000000,0.889597,18.000000,2.000000,727471.854718,25.096106,107660.770456,0
115665.707301,0.000000,62.000000,3.991864,18.000000,4.000000,220346.263469,5.005090,12277.778735,0
60812.154268,49968.239735,69.000000,4.069154,3.000000,5.000000,287697.049572,23.052529,499331.154871,1
144738.160126,0.000000,57.000000,4.012122,6.000000,1.000000,835929.808046,24.182457,244804.144718,0
65695.587455,70789.380447,66.000000,3.041191,7.000000,8.000000,-0.271567,28.923286,272977.944491,0
73367.625023,55445.734182,62.000000,4.070167,17.000000,8.000000,-0.160482,7.782611,364516.526676,1
78536.599470,0.000000,51.000000,2.167978,7.000000,3.000000,453438.466604,3.983254,228198.177259,1
132751.228657,0.000000,30.000000,4.188106,13.000000,3.000000,536583.608360,2.061563,453439.424145,1
127921.357039,0.000000,41.000000,0.015124,12.000000,2.000000,494413.514307,19.905989,28728.266431,0
108456.161266,0.000000,65.000000,0.775274,6.000000,1.000000,868628.639280,9.033818,84432.544235,0
29702.061433,44228.118205,80.000000,0.995357,4.000000,0.000000,1184342.889161,15.957220,156385.770070,1
96680.640447,0.000000,53.000000,1.109068,18.000000,0.000000,681856.107926,17.984587,410829.854015,1
53202.506239,75850.067292,41.000000,2.149847,12.000000,6.000000,200768.450878,10.022282,168933.778252,0
130533.053348,0.000000,25.000000,0.986969,10.000000,8.000000,-0.012453,9.910897,75103.676752,0
103323.200465,0.000000,62.000000,1.078474,2.000000,0.000000,829843.089880,12.014408,5984.476928,0
20451.422187,47241.788161,73.000000,2.921619,16.000000,5.000000,404885.717169,11.042320,269693.662582,1
149291.061583,0.000000,53.000000,-0.209762,8.000000,6.000000,246050.142937,29.885654,44158.362348,0
114732.226001,0.000000,29.000000,2.926166,10.000000,4.000000,325880.297663,22.017532,196873.515204,0
62921.960375,40128.723339,79.000000,2.023554,15.000000,5.000000,300197.603215,29.877127,217788.035537,0
124297.521130,0.000000,57.000000,1.900266,15.000000,1.000000,628886.969976,24.950514,448663.110534,1
144203.546739,0.000000,66.000000,3.075372,15.000000,8.000000,0.029313,25.877729,438139.669602,1
130721.538986,0.000000,40.000000,3.986161,9.000000,6.000000,151411.301673,15.898959,243631.874603,0
79864.134278,0.000000,40.000000,3.003459,10.000000,5.000000,367524.362680,8.987644,322080.549820,1
67194.421952,35278.298920,41.000000,4.177845,18.000000,2.000000,376450.446562,13.900512,346421.775369,1
69283.796102,50045.957445,22.000000,3.053105,10.000000,6.000000,203953.128451,0.849211,433364.266184,1
116306.782397,0.000000,65.000000,0.944243,17.000000,1.000000,768673.377123,6.849295,255463.229047,0
97231.235772,0.000000,44.000000,4.203172,20.000000,1.000000,937165.634790,8.947270,65580.606923,0
49015.074197,12283.283676,38.000000,4.018492,1.000000,4.000000,479781.005284,8.990915,288395.862723,1
115269.287982,0.000000,22.000000,-0.154222,18.000000,8.000000,-0.097498,7.114643,87109.252450,0
109066.029156,0.000000,39.000000,0.098049,3.000000,7.000000,59302.177530,0.966141,251147.840242,0
51330.479609,35697.838249,40.000000,0.843209,5.000000,2.000000,560164.599714,16.108553,301313.071146,1
79314.952354,0.000000,32.000000,1.958827,6.000000,2.000000,302953.157202,28.974630,374522.167212,1
36307.349638,29985.833743,25.000000,0.990993,1.000000,0.000000,549285.616932,6.977354,339563.477578,1
75428.325198,0.000000,45.000000,1.048170,18.000000,8.000000,-0.068514,24.043658,306800.160147,1
37646.941698,14657.367065,21.000000,3.194138,11.000000,4.000000,301625.821511,3.908241,192464.906338,1
134579.914377,0.000000,62.000000,3.020764,10.000000,4.000000,384742.163389,12.020364,145585.133502,0
30464.186466,19488.575058,40.000000,1.080277,7.000000,1.000000,445187.935719,28.948489,78608.614644,1
48109.147607,25372.278216,53.000000,1.079805,2.000000,5.000000,220063.941333,8.012108,335356.089366,1
22532.756848,82683.900307,32.000000,0.015023,13.000000,5.000000,443392.438390,15.081391,286707.732337,1
