@RELATION HYPERPLANE_Gradual_Noise

@ATTRIBUTE 0 NUMERIC
@ATTRIBUTE 1 NUMERIC
@ATTRIBUTE 2 NUMERIC
@ATTRIBUTE 3 NUMERIC
@ATTRIBUTE 4 NUMERIC
@ATTRIBUTE 5 NUMERIC
@ATTRIBUTE 6 NUMERIC
@ATTRIBUTE 7 NUMERIC
@ATTRIBUTE 8 NUMERIC
@ATTRIBUTE 9 NUMERIC
@ATTRIBUTE class {0,1}

@DATA
0.403268,0.254749,0.541017,0.675173,0.077476,0.152422,0.684801,0.279986,0.260876,0.004350,0
0.330160,0.771979,0.592170,0.178901,0.807300,0.871337,0.867515,0.473407,0.200752,0.656448,1
0.146492,0.164818,0.874614,0.448831,0.895953,0.052189,0.506639,0.439689,0.509503,0.397814,0
0.377310,0.385530,0.474478,0.609719,0.521986,0.530686,0.700302,0.842191,0.864071,0.975691,1
0.560486,0.490094,0.788965,0.567401,0.557905,0.435413,0.317531,0.025296,0.151081,0.416002,0
0.559794,0.997900,0.939407,0.343905,0.179006,0.747628,0.089818,0.442081,0.412823,-0.094979,0
0.591507,0.817916,0.109925,0.424265,0.163160,0.420414,-0.013502,0.884236,0.424640,0.907849,1
0.253760,0.921564,0.606774,-0.092909,0.274951,0.478735,0.263814,0.695499,0.321210,0.301070,0
0.807951,0.279608,0.410325,0.605010,0.352790,0.001007,-0.025942,0.552934,0.446806,0.557684,0
0.927575,0.997232,0.632240,0.463923,0.473448,0.874937,0.608062,0.807431,0.074573,-0.009009,1
0.290350,0.315285,0.314404,0.296100,0.870106,0.315035,0.640707,0.714945,0.540110,1.064465,1
0.870913,0.131648,0.419573,0.898550,0.056048,0.637478,0.074672,0.097475,0.524112,1.118995,0
0.751551,0.323105,0.751013,0.634640,0.994007,0.828957,0.276106,0.462929,0.200140,0.342355,1
0.837274,0.848230,0.316480,0.696161,0.905725,0.586847,1.017017,0.516340,0.898725,0.309304,1
0.641414,0.485399,0.147928,0.325467,0.636339,0.263137,1.080585,0.627581,0.495336,0.387264,1
0.825048,0.501526,0.728957,0.163384,0.443399,0.275525,0.209443,0.505466,0.244960,0.837536,0
0.350685,0.341452,0.568173,0.668519,0.566189,0.463005,0.042724,0.090562,0.794142,0.282868,0
0.899923,0.499487,0.739751,0.596714,0.209583,0.547254,0.741121,0.008904,0.271545,0.179720,0
0.638325,0.235570,0.646992,0.377942,0.398302,0.631424,0.769410,0.409668,0.151026,0.867066,0
0.788737,0.217526,0.374530,0.069680,0.724277,0.246732,0.838996,0.642317,0.792428,0.105111,1
0.967622,0.250172,0.699834,0.836016,0.208539,0.444390,0.301246,0.769198,0.280741,0.835165,1
0.531423,0.829781,0.881481,0.822635,0.301558,0.115879,0.571635,0.431649,0.464249,0.800841,1
0.705914,0.178004,0.140426,0.365727,0.225960,0.188245,0.917700,0.177112,0.315040,0.549583,0
0.348859,0.641826,0.449673,0.525298,0.831730,0.036731,0.828387,0.385681,0.472994,0.321414,1
0.796271,0.207447,0.699654,0.432298,0.829858,0.794295,0.108770,0.773409,0.149043,0.573916,0
0.186426,0.139815,0.586821,0.199601,0.377910,0.588391,0.069428,0.701288,0.711755,0.990266,1
0.647881,0.100208,0.913149,0.249171,0.466841,0.186161,0.060647,0.809221,0.431174,0.686792,0
0.252575,0.373215,0.337878,0.391310,0.300173,0.970766,0.884469,0.763173,0.925807,0.435994,1
0.400750,0.028555,0.512204,0.981474,0.886595,0.965236,0.727759,0.198462,0.777616,0.835795,1
0.970325,0.309274,0.765823,0.938073,0.458714,0.165342,0.087743,0.147491,0.781839,0.383172,0
0.024325,0.987491,0.423576,0.371939,0.634866,0.496283,0.062420,0.297847,0.294751,0.426064,0
0.090167,0.244733,0.684714,0.952203,0.374258,0.477344,0.194556,0.470801,0.614675,0.836984,0
0.706224,0.763056,0.095825,0.088153,0.763044,0.133526,0.859321,0.898021,0.875585,0.868463,1
0.488309,0.740429,0.586429,0.321704,0.608522,0.767844,0.342950,0.339851,0.854912,0.664373,1
0.138080,0.187971,0.211232,0.540529,0.339587,0.654045,0.479455,0.284964,0.413120,0.764491,1
0.824216,0.403217,0.547269,0.950054,0.972652,0.321644,0.955582,0.102397,0.458417,-0.116767,1
0.163543,0.682340,0.834232,0.404032,0.082640,0.686066,0.035286,0.862466,0.936696,-0.051505,0
0.422346,0.274461,0.130146,0.876356,0.937293,0.038135,0.879120,0.751107,0.180808,0.784938,1
0.454692,0.486139,0.959921,0.414141,0.771360,0.302955,0.223543,0.634117,0.698752,0.678973,0
0.335064,0.535024,0.364862,0.752462,0.980735,0.531712,0.316286,0.674719,0.259470,0.422512,1
0.613311,0.830183,0.450812,0.203259,0.075990,0.971893,0.701416,0.144383,0.762550,0.573348,0
0.903004,0.121764,0.830129,0.251292,0.362909,0.311138,0.087537,0.930678,1.000570,0.228699,1
0.116344,0.016183,0.620963,0.176988,0.636823,0.783709,0.719486,0.186621,0.252260,0.462555,0
0.247312,0.667866,0.225986,0.786667,0.542214,0.236551,0.208388,0.503506,0.936256,0.642366,0
0.885807,0.048562,0.755630,0.664091,0.218775,0.288876,0.502147,0.680583,0.194844,-0.082643,0
0.812835,0.727629,0.454989,0.151127,0.281714,0.121551,0.520824,0.367104,0.996625,0.492398,0
0.819169,0.542748,0.178728,0.327800,0.017519,0.324633,0.695036,0.595779,0.328435,0.053849,0
0.573580,0.835026,0.253581,0.097732,0.322050,0.544752,0.592437,0.117196,-0.032440,0.732939,0
0.094573,0.726787,0.632920,0.296722,0.274696,0.971853,0.771633,0.244101,0.871714,0.689747,1
0.821557,0.125734,0.349242,0.119844,0.299151,0.792448,0.549888,0.433399,0.386097,0.879991,1
0.392269,0.379395,0.266013,0.338589,0.712745,0.958009,1.007579,0.534343,0.136427,0.685857,1
0.016810,0.376432,0.383923,0.709934,0.038114,0.389466,0.719357,0.998984,0.679723,0.188196,0
0.076536,0.372795,0.146750,0.959022,0.637814,0.882037,0.362348,0.980266,0.263165,0.902397,0
0.950359,0.256858,0.652895,1.063700,0.836853,0.433435,-0.011628,0.191644,0.197690,0.125973,1
0.798954,0.374236,0.472918,0.724880,0.436946,0.746870,0.716601,0.276854,0.671481,0.510948,1
0.407183,0.018719,0.414325,0.119022,0.267053,0.599079,0.983511,0.318159,0.269631,0.039544,0
0.695681,0.580132,0.017379,0.017085,0.358411,0.803984,0.330380,0.460207,0.283010,0.038420,0
0.712034,0.826975,0.587914,0.717831,0.328752,0.389040,1.127788,0.012567,0.218058,0.373070,1
0.108338,0.497174,0.123117,-0.018749,0.949805,0.084761,0.030379,0.364427,0.856351,0.620635,0
0.210637,0.697725,0.672986,0.403106,0.032267,0.852292,1.138777,0.631384,0.573189,0.342067,1
0.294546,0.071561,0.011689,-0.057154,0.822471,0.604425,0.637190,0.805036,0.546489,0.775488,1
0.026988,0.889675,0.837855,0.783635,0.951814,0.398987,1.114131,0.676033,0.515561,0.836285,1
0.291823,0.315338,0.674501,0.030929,0.624863,0.166734,0.539955,0.431531,1.087637,-0.032433,0
0.735778,0.045683,0.852383,1.039148,0.161023,0.414106,0.507481,0.356314,0.764646,0.619064,0
0.234719,0.921176,0.131697,0.568727,0.849668,0.096980,0.281171,0.992131,0.609098,0.062894,0
0.401117,0.408516,0.751281,0.601956,0.599249,0.319403,0.358534,0.105639,0.955097,0.917082,0
0.392173,0.859057,0.494833,0.283966,0.826138,0.449456,0.848033,0.177627,0.454211,0.487457,1
0.907281,0.383353,0.653104,1.161727,0.410294,0.636417,0.589554,0.138572,0.589223,0.945191,1
0.325020,0.249941,0.569306,0.248415,0.090966,0.370296,0.863446,0.883512,0.638852,0.677981,0
0.685926,0.728811,0.965318,-0.176859,0.082127,0.517190,0.025203,0.161502,0.196773,0.939563,1
0.867294,0.074573,0.700242,0.021849,0.545217,0.608257,0.607226,0.851855,0.290019,0.182385,0
0.369064,0.874650,0.175211,0.946516,0.921386,0.322724,0.388562,0.894446,0.273121,0.505948,0
0.796754,0.972805,0.500215,0.358702,0.604007,0.331259,0.869727,0.159267,0.550819,0.845527,0
0.867063,0.995535,0.862169,0.144271,0.417090,0.260029,0.585421,0.120982,0.764913,0.616611,1
0.734669,0.485535,0.605919,0.041482,0.847736,0.555505,0.914165,0.445164,1.201603,0.215877,1
0.726032,0.292963,0.398397,0.872288,0.768762,0.363373,0.741211,0.511560,0.502835,0.383297,1
0.825229,0.753578,0.111784,0.004547,0.412893,0.339835,0.801140,0.795553,0.246917,-0.015333,1
0.491577,0.244728,0.260000,0.192428,0.444672,0.787374,0.802054,0.568231,0.594314,0.907474,1
0.370851,0.362724,0.291218,0.916407,0.158302,0.633895,0.530587,0.439862,0.334263,0.684456,0
0.384227,0.636762,0.028005,0.211613,0.302957,0.584235,0.305722,0.721139,0.634067,1.088617,0
0.344214,0.155877,0.852610,0.225426,0.374363,0.865409,0.580132,0.169121,0.532602,0.061801,1
0.081663,0.364605,0.856963,1.000685,0.985633,0.427675,0.540112,0.326670,0.843897,0.708761,0
0.907507,0.231459,0.571097,1.037258,0.328623,0.876248,0.782390,0.493717,0.184255,0.282611,0
0.342367,0.309308,0.224310,0.321057,0.778014,0.789274,0.758501,0.356501,0.441000,1.118016,1
0.203677,0.828910,0.686913,0.258031,0.280911,0.586640,0.194459,0.590215,0.951246,0.112572,0
0.783087,0.524118,0.228371,0.136483,0.664244,0.398491,-0.066825,0.329515,0.132043,0.502181,0
0.970437,0.055975,0.566702,0.217839,0.256072,0.739436,0.722090,0.650807,0.292286,0.757500,1
0.992543,0.518963,0.532126,0.851570,0.718206,0.864113,0.501472,0.659278,0.707866,0.639200,0
0.551976,0.091359,0.190014,0.885912,0.063669,0.903134,0.297272,0.060865,0.359436,0.558272,0
0.781413,0.318858,0.633906,0.266648,0.116406,0.083386,0.350074,0.542369,0.092728,0.428264,0
0.111524,0.886517,0.777396,0.161088,0.805766,0.614413,0.328365,0.000495,0.589533,0.648351,1
0.980326,0.276942,0.247871,0.213607,0.094126,0.110341,1.061725,0.766869,0.279430,0.799372,1
0.514200,0.951436,0.299637,0.665664,0.249022,0.275288,0.520411,0.308804,0.373523,0.821196,0
0.974354,0.470506,0.163131,0.007846,0.432015,0.304641,0.927232,0.443198,0.608295,0.509611,1
0.463161,0.412730,0.475541,0.692327,0.394902,0.472039,0.092822,0.874001,0.248532,0.133848,0
0.213216,0.501780,0.320016,0.676713,0.102917,0.300061,0.596728,0.571008,0.203112,0.219225,0
0.610123,0.157133,0.956707,0.894340,0.653491,0.788749,0.854157,0.269383,0.967600,0.480228,1
0.691036,0.031144,0.572379,0.815755,0.317805,0.929974,0.356014,0.284243,0.030216,0.418522,0
0.333722,0.353934,0.745214,0.465368,0.425298,0.393542,0.380694,0.762223,0.292804,1.059026,0
0.767049,0.019480,0.704339,0.382982,0.716673,0.294797,0.389284,0.321846,0.813066,0.301929,1
0.502943,0.856403,0.106835,0.470560,0.325483,0.479683,0.698439,0.469872,1.036668,0.010635,1
0.487041,0.280143,0.606705,0.337028,0.101440,0.639629,0.400272,0.369449,0.962774,-0.084262,0
0.122768,0.285250,0.501361,0.745422,0.865677,0.362244,0.652064,0.174599,0.517851,0.043848,0
0.995295,0.802688,0.927843,0.740759,0.501221,0.854750,0.319204,0.174509,0.472184,0.062257,1
0.775243,0.413777,0.151773,0.085574,0.298856,0.199994,0.093106,0.245227,0.761743,0.684242,0
0.850468,0.549937,0.936502,1.081123,0.009420,0.618259,0.697710,0.065003,0.629319,0.486967,0
0.021852,0.772101,0.068004,0.897473,0.711403,0.313961,1.001253,0.905103,0.357348,1.070877,1
0.173066,0.513182,0.178812,0.941845,0.666639,0.671701,0.293662,0.417888,0.824409,0.938351,1
0.189529,0.735745,0.683939,0.278447,0.463300,0.472293,0.410778,0.441034,0.747502,0.498065,0
0.333012,0.677669,0.704060,0.300709,0.747650,0.023138,0.076299,0.410779,0.483844,0.501525,0
0.693532,0.252629,0.691322,0.287375,0.618900,0.470163,0.093686,0.496598,0.154766,0.357151,0
0.512262,0.016201,0.437207,0.101821,0.504212,0.798278,0.720679,0.492009,0.538340,0.551479,1
0.780588,0.531762,0.798591,0.896505,0.087730,0.922497,0.731718,0.992950,0.755073,0.710967,1
0.880541,0.738937,0.650444,0.209330,0.647840,0.339810,0.483729,0.692586,0.753835,0.467390,0
0.828223,0.018872,0.225230,0.410920,0.258853,0.222890,0.777753,0.326619,0.561138,0.875581,0
0.953107,0.977845,0.224048,0.424908,0.039560,0.161562,0.843538,0.300488,0.281478,0.393429,1
0.880312,0.867243,0.152605,0.842626,0.206144,0.181587,-0.012531,0.601921,0.770315,0.647289,0
0.315336,0.230104,0.208807,0.229909,0.424284,0.271078,1.083421,0.217236,0.335768,0.165637,0
0.412611,0.494558,0.042889,0.199414,0.898823,0.127026,0.456882,0.834936,0.928724,-0.011567,1
0.384687,0.392731,0.720481,1.006806,0.532432,0.554942,0.163671,0.789836,0.169289,0.385148,0
0.375114,0.443952,0.743942,0.646437,0.380417,0.446812,0.226537,0.205632,0.377993,0.898790,0
0.724518,0.121704,0.756606,0.223906,0.489108,0.604848,0.743579,0.316880,0.217478,0.918707,1
0.949918,0.303023,0.178556,0.214192,0.412079,0.299898,0.366077,0.970907,1.012951,0.757826,1
