@RELATION RANDOMTREE_Gradual_Noise

@ATTRIBUTE x_num_0 NUMERIC
@ATTRIBUTE x_num_1 NUMERIC
@ATTRIBUTE x_num_2 NUMERIC
@ATTRIBUTE x_num_3 NUMERIC
@ATTRIBUTE x_num_4 NUMERIC
@ATTRIBUTE x_cat_0 NUMERIC
@ATTRIBUTE x_cat_1 NUMERIC
@ATTRIBUTE x_cat_2 NUMERIC
@ATTRIBUTE x_cat_3 NUMERIC
@ATTRIBUTE x_cat_4 NUMERIC
@ATTRIBUTE class {0,1}

@DATA
0.639427,0.025011,0.275029,0.402031,0.736471,4.000000,-0.019841,4.000000,2.862873,-0.037380,0
0.029797,0.218638,0.505355,0.107517,0.198838,4.000000,2.790378,1.000000,2.990895,3.722091,0
0.278191,0.869300,0.758807,0.086471,0.422614,2.000000,1.000448,1.000000,1.955851,-0.138054,0
0.092746,0.096716,0.847494,0.421444,0.807128,3.000000,3.980057,0.000000,2.910074,-0.070600,0
0.552041,0.829405,0.618520,0.723894,0.577352,0.000000,0.087540,1.000000,1.967277,0.161132,1
0.855318,0.866484,0.380126,0.412665,0.834110,1.000000,1.968710,2.000000,0.898208,1.998977,0
0.701820,0.683548,0.071403,0.618074,0.534140,1.000000,1.031023,3.000000,2.817647,1.884065,1
0.989523,0.640000,0.556950,0.547980,0.842852,0.000000,1.052649,0.000000,2.140523,3.062603,1
0.267741,0.210983,0.942910,0.804495,0.314678,3.000000,3.065830,3.000000,0.926706,2.002480,0
0.139630,0.744989,0.538977,0.849450,0.428434,4.000000,2.929266,2.000000,0.875286,1.112398,0
0.509526,0.090909,0.047116,0.048803,0.627446,3.000000,3.944611,0.000000,3.064133,3.053776,0
0.595888,0.468050,0.251414,0.586030,0.942431,0.000000,3.975484,2.000000,2.088791,0.236958,0
0.293500,0.158158,0.003245,0.805543,0.719681,4.000000,0.990236,4.000000,-0.047888,2.101479,1
0.841669,0.507663,0.198911,0.327584,0.161549,4.000000,0.019870,4.000000,2.047274,3.097752,0
0.019477,0.929099,0.878722,0.682659,0.307514,0.000000,0.925580,4.000000,0.020832,-0.067600,0
0.731908,0.816023,0.977984,0.535060,0.125761,3.000000,3.950459,1.000000,2.258270,3.980515,1
0.872433,0.423138,0.211798,0.562861,0.729931,1.000000,2.035031,3.000000,2.104140,2.979053,0
0.899614,0.451486,0.247906,0.118395,0.021034,4.000000,1.128631,4.000000,1.099029,0.022982,0
0.070993,0.631103,0.228942,1.097825,0.859635,0.000000,4.214440,1.000000,1.915598,3.035085,0
0.214237,0.132312,0.935514,0.558859,0.472671,3.000000,3.207225,1.000000,0.148571,0.064002,0
0.658983,0.354298,0.411102,1.009852,0.054171,0.000000,-0.076436,3.000000,2.123385,-0.065978,1
0.248656,0.190209,0.448614,0.535561,0.278545,1.000000,-0.010608,3.000000,3.829968,-0.015605,1
0.050588,0.999282,0.836028,0.975416,0.926367,1.000000,1.053346,3.000000,3.132072,3.072204,0
0.213747,0.401040,0.058635,0.379879,0.985309,2.000000,2.896913,2.000000,3.108095,4.037226,0
0.661871,0.486671,0.189898,0.199897,0.058483,4.000000,0.090892,2.000000,-0.098957,-0.063280,1
0.584178,0.502850,0.852720,0.121571,0.960779,0.000000,0.960918,0.000000,3.961476,-0.043652,1
0.675213,0.235204,0.119887,0.754007,0.246215,4.000000,0.031162,4.000000,-0.020405,3.005936,0
0.657373,0.565227,0.316370,0.266154,0.669726,2.000000,1.086824,2.000000,2.926306,1.056593,0
0.671690,0.299997,0.316177,0.841680,0.072543,3.000000,4.116759,4.000000,-0.019058,0.097320,0
0.537634,0.505885,0.132457,0.260736,0.068791,1.000000,1.947834,2.000000,1.110690,2.963786,0
0.833745,0.703540,0.611678,1.025440,0.653976,0.000000,3.775418,2.000000,0.080797,0.971046,1
0.264466,0.889713,0.742417,0.160965,0.281756,1.000000,1.927479,1.000000,2.072987,4.090742,0
0.488532,0.905336,0.846104,0.034221,0.423576,2.000000,0.028779,0.000000,1.828153,0.959990,0
0.637113,0.261955,0.741231,0.535365,0.427687,0.000000,0.010901,0.000000,0.858603,3.963965,1
0.036028,0.369216,0.552525,0.452714,0.041829,2.000000,-0.109383,2.000000,0.764090,0.799990,0
0.666933,0.353679,0.559884,0.795648,0.973837,1.000000,1.043912,1.000000,1.090648,3.095553,1
0.024786,0.736564,0.332185,1.002645,0.802235,1.000000,1.963868,1.000000,-0.093933,3.079709,0
0.872167,0.858593,0.222434,0.723427,0.460303,2.000000,1.103555,1.000000,0.205062,0.990893,1
0.398466,0.278603,0.069421,0.816130,0.351146,4.000000,3.141320,4.000000,1.881499,-0.010210,0
0.115342,0.970401,0.178568,0.908649,0.265466,0.000000,4.041565,3.000000,2.089092,1.831956,0
0.436394,0.984236,0.115646,0.838750,0.190079,0.000000,3.068878,0.000000,4.001116,4.032171,0
0.686857,0.940263,0.737038,0.050444,0.431297,2.000000,3.976832,2.000000,0.028594,2.039037,1
0.507123,0.666893,0.326183,0.710266,0.554412,1.000000,3.099409,3.000000,1.020739,4.031681,0
0.569105,0.406075,0.833725,0.323485,0.210183,4.000000,3.949261,2.000000,3.108984,2.984328,0
0.442160,0.213701,0.473186,0.825666,0.796025,1.000000,0.115557,2.000000,4.033485,4.030470,0
0.335188,0.818423,0.751138,0.536668,0.224641,1.000000,1.083466,0.000000,0.070197,0.897434,0
0.983936,0.611274,0.768489,0.571838,0.886137,4.000000,1.024130,3.000000,2.980487,2.904358,0
0.243984,0.656058,0.005545,0.657396,0.770046,0.000000,3.004362,1.000000,0.844310,4.079133,0
0.464550,0.557406,0.917470,0.050911,0.133339,3.000000,4.045549,4.000000,4.092647,2.027071,1
0.950040,0.891426,0.612652,0.596276,0.504778,4.000000,3.155958,1.000000,2.960443,2.917880,1
0.259192,0.247240,0.637661,0.595840,0.521300,1.000000,2.023212,3.000000,-0.061251,2.065861,1
0.234494,0.335848,0.893027,-0.120922,0.150831,3.000000,0.901122,1.000000,0.052917,2.905185,0
0.407599,0.542611,0.415774,0.249302,0.420144,4.000000,-0.034617,4.000000,3.129079,2.957589,0
0.005896,0.351759,0.753475,0.820108,0.953430,3.000000,4.063653,4.000000,4.079652,1.068961,0
0.488229,0.272935,0.485642,0.319157,0.668874,3.000000,1.068705,3.000000,0.994038,3.990403,1
0.534124,0.906929,0.591893,0.643664,0.083947,3.000000,1.160055,3.000000,1.055835,0.241190,0
0.260156,0.327353,0.454699,0.235769,0.879640,2.000000,3.007133,2.000000,0.138568,2.878361,0
0.019383,0.539419,0.999908,0.573746,0.650144,0.000000,0.142684,1.000000,0.962877,-0.181501,0
0.621336,0.238545,0.473561,-0.007412,0.947757,3.000000,1.994479,2.000000,1.006536,4.061557,0
0.607247,0.747926,0.114533,0.812951,0.964721,0.000000,4.024931,0.000000,1.998838,3.885878,0
0.731531,0.914062,0.037330,-0.102432,0.993450,2.000000,1.065864,3.000000,3.244876,3.844798,0
0.677347,0.958173,0.396654,0.651155,0.075996,1.000000,0.035538,2.000000,4.036519,-0.022759,1
0.796227,0.565933,0.041069,0.704086,0.661521,0.000000,3.912704,2.000000,0.122602,2.920664,0
0.822331,0.105539,0.960788,0.433567,0.828707,1.000000,3.114784,1.000000,3.932490,2.065111,1
0.615912,0.919618,0.774641,0.529239,0.825735,4.000000,1.990858,2.000000,1.044765,-0.013407,0
0.278928,0.450802,0.750476,0.515441,0.668188,2.000000,-0.105152,3.000000,2.104534,0.962784,1
0.487550,0.354825,0.258352,0.285298,0.596155,2.000000,4.112430,0.000000,4.040075,0.968079,0
0.085613,0.720075,0.488578,0.859787,0.690609,3.000000,3.020786,0.000000,0.057102,1.948977,1
0.221596,0.691787,0.306206,0.410236,0.473260,4.000000,2.011037,3.000000,3.856355,2.191885,1
0.351811,0.453745,0.306623,0.333731,0.721284,2.000000,0.040689,4.000000,0.927310,0.887342,1
0.216385,0.484199,0.724585,0.958164,0.524637,2.000000,0.142652,1.000000,1.811202,1.136283,1
0.360881,0.302268,0.708018,0.115278,0.045516,0.000000,4.076494,2.000000,0.969786,2.990060,0
0.102588,0.012265,0.284339,0.455437,0.340706,0.000000,1.952316,3.000000,0.097528,-0.019161,0
0.400707,0.074082,0.629446,-0.155798,0.149198,4.000000,1.992872,0.000000,1.074360,0.013935,0
0.558073,0.416174,0.596127,0.557900,0.775694,3.000000,3.005538,3.000000,2.108699,4.078810,1
0.990031,0.305380,0.621027,0.516125,0.740089,1.000000,0.992114,2.000000,0.032720,1.028214,1
0.239865,0.551992,0.156533,0.479436,0.689371,3.000000,2.027041,0.000000,1.176766,2.142391,0
0.706956,0.702988,0.454031,0.694291,0.923911,4.000000,1.024690,3.000000,0.117645,4.117290,0
0.224809,0.148989,0.265632,-0.031536,0.059638,2.000000,3.913321,4.000000,1.984116,3.016945,0
0.124354,0.688678,0.699734,1.017167,0.500472,3.000000,2.944944,0.000000,4.104255,0.179258,1
0.889423,0.734534,0.603714,0.110665,0.228924,4.000000,4.035172,0.000000,1.888460,4.213340,0
0.040232,0.756269,0.470501,0.722548,0.916073,1.000000,4.193709,3.000000,3.185721,0.005304,0
0.470010,0.408348,0.321058,0.054632,0.160825,3.000000,2.951987,2.000000,3.050707,4.021389,0
0.036697,0.088060,0.252399,0.154941,0.772548,4.000000,-0.033079,4.000000,3.059460,3.038359,0
0.054204,0.518439,0.622634,0.322528,0.442041,0.000000,1.065901,2.000000,3.938297,0.795305,0
0.927673,0.438116,0.698250,0.231078,0.973147,4.000000,1.249589,1.000000,1.997559,3.925202,0
0.013674,0.407991,0.224701,0.723418,0.113461,0.000000,0.978187,3.000000,2.071648,3.970497,1
0.705412,0.415490,0.482500,0.456534,0.456786,1.000000,3.149794,1.000000,3.943650,4.244745,0
