@RELATION RANDOMTREE_Gradual_Noise

@ATTRIBUTE x_num_0 NUMERIC
@ATTRIBUTE x_num_1 NUMERIC
@ATTRIBUTE x_num_2 NUMERIC
@ATTRIBUTE x_num_3 NUMERIC
@ATTRIBUTE x_num_4 NUMERIC
@ATTRIBUTE x_cat_0 NUMERIC
@ATTRIBUTE x_cat_1 NUMERIC
@ATTRIBUTE x_cat_2 NUMERIC
@ATTRIBUTE x_cat_3 NUMERIC
@ATTRIBUTE x_cat_4 NUMERIC
@ATTRIBUTE class {0,1}

@DATA
0.639427,0.025011,0.275029,0.263820,0.736471,4.000000,-0.047138,4.000000,3.004120,0.087810,0
0.029797,0.218638,0.505355,-0.040490,0.198838,4.000000,2.936877,1.000000,3.077637,4.149140,0
0.278191,0.869300,0.758807,0.112779,0.422614,2.000000,0.948115,1.000000,1.977460,-0.137650,0
0.092746,0.096716,0.847494,0.624548,0.807128,3.000000,3.991810,0.000000,3.033688,0.020481,0
0.552041,0.829405,0.618520,0.854661,0.577352,0.000000,-0.059706,1.000000,2.024272,0.059033,1
0.855318,0.866484,0.380126,0.422611,0.834110,1.000000,1.850490,2.000000,1.264682,2.060547,0
0.701820,0.683548,0.071403,0.649211,0.534140,1.000000,0.904026,3.000000,3.006121,2.004059,1
0.989523,0.640000,0.556950,0.788660,0.842852,0.000000,1.110047,0.000000,2.147125,2.974903,1
0.267741,0.210983,0.942910,0.929307,0.314678,3.000000,2.956878,3.000000,0.867782,1.970052,0
0.139630,0.744989,0.538977,0.946444,0.428434,4.000000,3.157901,2.000000,0.938266,0.819390,0
0.509526,0.090909,0.047116,0.275366,0.627446,3.000000,4.082652,0.000000,3.154437,2.901820,0
0.595888,0.468050,0.251414,0.410033,0.942431,0.000000,4.057798,2.000000,1.941205,0.019504,0
0.293500,0.158158,0.003245,0.818248,0.719681,4.000000,0.921483,4.000000,-0.044255,1.870734,1
0.841669,0.507663,0.198911,0.208923,0.161549,4.000000,0.050783,4.000000,1.852096,2.916480,0
0.019477,0.929099,0.878722,0.913185,0.307514,0.000000,1.096627,4.000000,0.108942,-0.083785,0
0.731908,0.816023,0.977984,0.627344,0.125761,3.000000,4.040528,1.000000,1.870662,4.000791,1
0.872433,0.423138,0.211798,0.537562,0.729931,1.000000,1.967022,3.000000,1.984234,2.955865,0
0.899614,0.451486,0.247906,0.059967,0.021034,4.000000,1.097166,4.000000,1.029208,0.000571,0
0.070993,0.631103,0.228942,0.828621,0.859635,0.000000,4.097588,1.000000,1.983481,3.058427,0
0.214237,0.132312,0.935514,0.533656,0.472671,3.000000,2.916405,1.000000,0.024645,-0.161556,0
0.658983,0.354298,0.411102,0.802720,0.054171,0.000000,0.109022,3.000000,1.918518,-0.001328,1
0.248656,0.190209,0.448614,0.445646,0.278545,1.000000,-0.068794,3.000000,4.066891,0.011598,1
0.050588,0.999282,0.836028,0.980517,0.926367,1.000000,0.962779,3.000000,3.115727,3.089267,0
0.213747,0.401040,0.058635,0.243512,0.985309,2.000000,2.984729,2.000000,3.193604,4.197627,0
