@RELATION SEA_Abrupt_Chain_Noise

@ATTRIBUTE 0 NUMERIC
@ATTRIBUTE 1 NUMERIC
@ATTRIBUTE 2 NUMERIC
@ATTRIBUTE class {0,1}

@DATA
0.231049,0.678391,5.509396,0
3.957709,6.119891,5.013934,1
5.128204,6.564104,0.182688,1
2.918098,9.784912,7.264219,1
5.622329,2.193199,6.134466,0
3.352482,2.286793,4.462635,0
9.418265,3.014437,9.083703,1
0.906829,3.040313,0.383762,0
7.178595,-0.169701,0.142975,0
3.727198,-0.033361,4.434586,0
4.641605,6.305154,7.556007,1
2.420626,8.541591,0.162765,1
8.412784,6.764462,5.524607,1
9.728132,1.694650,3.319048,1
3.020624,0.755099,6.447151,0
1.370896,3.789748,7.931444,0
9.278057,3.845916,7.571515,1
0.337123,3.995053,2.810887,0
7.972787,1.278211,4.089025,1
3.563671,0.336640,9.467653,0
4.899725,6.222005,1.264998,1
1.214973,4.637333,0.070425,0
4.623034,7.090383,2.343286,1
6.803355,6.329671,6.882913,1
5.892239,1.288878,5.219763,0
4.131558,4.205148,7.475615,0
5.867646,3.320000,0.671762,1
5.494306,10.015772,1.969566,1
4.357727,5.657384,9.351078,1
8.912758,6.972883,3.071707,1
1.532257,0.935982,0.292805,0
7.982999,6.557760,5.208479,1
0.616540,7.855811,2.053415,0
7.792713,4.203117,7.915321,1
9.959180,5.724070,3.587776,1
0.397512,2.332165,1.768921,0
0.883344,9.325267,0.858543,1
6.662114,3.461571,6.050200,1
3.654194,6.641582,9.576173,1
9.818421,2.570146,1.580767,1
3.377106,7.000874,1.930172,1
8.686219,8.350916,4.607836,1
9.769965,8.278953,7.442871,1
5.540748,7.529303,9.100960,1
9.771993,7.286777,2.995034,1
2.414876,2.246081,6.067182,0
7.237117,5.838399,8.263724,1
6.782308,7.325064,6.117136,1
7.737516,1.878006,7.336310,1
7.884077,8.649038,3.034895,1
7.304834,9.534914,9.033390,1
9.800212,6.740202,9.029910,1
9.535597,0.977745,9.747925,1
6.011242,0.403764,7.585975,0
0.026566,7.153274,9.454231,0
2.877606,4.391646,4.398579,0
4.874882,9.107351,3.761666,1
8.433120,2.758609,7.306424,1
5.842570,1.048647,8.780096,0
2.377566,3.785642,3.459450,0
1.313116,2.916588,7.528297,0
5.512516,3.537171,3.173600,0
4.428774,2.235150,8.758098,0
2.791149,4.756674,2.704568,0
8.149838,8.451366,6.044904,1
7.887967,0.803255,0.564080,0
0.346723,3.800109,3.482569,0
0.518587,8.936119,9.769419,1
0.809632,3.056113,8.262785,0
2.101289,5.532583,3.400922,0
5.682197,8.987743,8.714879,1
0.851124,4.163279,7.025832,0
6.355574,5.894640,8.435253,1
0.059537,1.466721,1.013730,0
8.625331,7.841547,0.380660,1
5.217442,8.656033,0.529521,1
6.263482,4.079887,5.217802,1
7.871223,9.998169,7.698048,1
9.251857,7.166370,4.200266,1
3.607505,3.073989,7.782041,0
7.919157,0.911751,3.945577,0
1.936584,4.204739,3.674649,0
8.265639,2.070419,5.963715,1
7.884691,8.621255,0.913887,1
1.421650,4.125405,0.901858,0
2.425067,4.295718,6.738254,0
3.558760,1.000333,2.124373,0
9.790414,5.537737,5.671639,1
4.561691,6.486051,9.434635,1
4.291151,9.445282,6.175400,1
2.557278,4.887474,9.576173,0
1.753753,0.263041,3.046649,0
2.633265,0.805008,2.302491,0
4.630325,9.173212,7.177901,1
5.407897,6.417044,7.641092,1
4.021885,1.113554,6.815961,0
3.508496,3.721395,1.979176,0
6.227353,8.766036,8.967664,1
5.489153,8.896374,9.060407,1
1.736523,8.754357,1.006503,1
7.749433,9.694536,4.254882,1
5.781345,4.576964,9.274684,1
9.728514,8.199724,8.107493,1
9.102683,9.239913,9.568211,1
5.698475,2.567576,9.059304,0
8.552630,2.763825,6.313749,1
1.330938,7.545320,3.916549,0
6.370615,0.542315,1.198429,0
3.182981,0.754803,4.654951,0
1.046291,6.809652,4.221795,0
0.259493,2.216403,5.162372,0
3.089174,3.350549,2.098507,0
3.674372,1.263838,5.534706,0
2.344638,2.547019,0.146231,0
1.905860,0.320883,4.707332,0
8.037551,1.475464,3.203878,1
6.276341,3.493486,1.152504,1
2.754933,9.921271,1.799006,1
8.851648,9.154070,5.031400,1
6.579626,6.860767,0.512500,1
7.181340,6.989164,3.371475,1
6.624183,3.125030,5.319913,1
7.281426,6.521110,8.326713,1
7.376430,1.661614,1.892254,1
6.479230,4.180388,8.139587,1
6.694382,6.192243,5.184745,1
8.253820,2.176608,5.450208,1
3.033066,3.597944,5.106353,0
2.040698,3.426594,6.741915,0
4.943979,6.698253,5.367397,1
1.862905,2.471080,8.733983,0
1.628386,6.728330,8.532403,0
4.053206,9.199156,5.902268,1
6.018730,0.798542,7.301908,0
3.579239,9.824036,3.218951,1
4.106805,6.408070,6.578162,1
3.665729,3.689088,8.394395,0
5.335013,4.313216,7.859835,1
2.057061,3.308302,4.169003,0
2.545709,7.753210,9.168164,1
9.568088,5.980854,4.509516,1
7.145097,0.674647,7.356580,0
0.566751,8.401619,8.572397,0
7.567584,-0.082739,5.078895,0
2.011316,9.352515,2.226361,1
6.053449,1.028751,4.158930,0
4.753895,1.171434,9.981099,0
4.432286,7.898134,5.846514,1
0.383375,9.465110,5.024448,1
6.496992,7.669536,9.000119,1
0.113822,8.303177,4.835213,0
4.429775,9.756231,0.130669,1
5.121220,4.403845,7.713539,1
9.290593,2.076084,4.962221,1
5.635473,8.152412,3.806881,1
0.837737,6.991369,6.912921,0
3.826535,1.993243,0.604261,0
3.631478,6.357580,9.517972,1
2.754949,7.490488,4.446754,1
4.580697,7.261618,3.461835,1
5.524465,5.986452,4.589367,1
4.155586,3.426987,3.938370,0
0.659014,5.026050,9.274774,0
3.959195,0.285592,6.988086,0
4.644950,2.220222,8.180589,0
8.341991,0.869012,0.661802,1
3.508804,4.875130,3.654993,0
6.428916,3.539746,7.216247,1
5.965440,4.245038,9.164391,1
7.154415,8.743904,0.791342,1
9.563191,2.168911,6.539287,1
5.126036,0.450076,8.154283,0
6.498812,1.697860,2.874886,0
5.323514,6.762612,4.702158,1
3.924118,1.779905,1.605865,0
0.990068,2.255188,9.814765,0
4.215041,7.609229,7.188438,1
2.956379,0.415871,8.050236,0
2.811780,0.703482,0.693648,0
3.193347,3.309700,8.510520,0
6.705911,2.209843,5.640251,1
5.289875,2.815625,2.310707,0
1.968269,9.284391,7.126374,1
8.077009,8.654175,1.253954,1
8.425961,2.512182,7.927343,1
0.179480,8.325239,2.303300,0
0.047227,3.776465,5.551197,0
8.861932,6.616955,5.363853,1
1.551874,9.031544,5.151572,1
6.567973,7.397205,1.571848,1
4.766910,3.299374,8.085003,0
0.245398,9.926921,6.731091,1
5.442230,7.360417,9.554472,1
3.849295,1.218984,4.992455,0
0.190905,2.452544,7.505008,0
8.923751,2.965730,5.742938,1
8.103348,7.776420,5.885902,1
8.473647,2.280879,1.983385,1
5.347689,7.321039,0.082805,1
4.766755,3.357397,1.956071,0
6.602665,4.588004,7.458175,1
7.447946,8.760382,9.056038,1
4.899933,4.658933,2.905816,1
5.174965,1.475343,8.483189,0
1.930405,0.028724,5.670607,0
4.515104,7.735706,4.374263,1
3.392386,8.543921,7.964869,1
3.554863,5.029567,0.574508,0
7.387302,6.115906,4.781035,1
2.323515,2.576271,7.167145,0
8.758418,3.243278,2.334917,1
3.391687,7.490555,5.375069,1
0.504173,0.546331,7.634077,0
8.657130,2.223563,3.545123,1
8.657474,9.719594,4.265888,1
1.240386,4.649358,7.763984,0
7.963828,1.460948,8.423109,1
7.630350,7.297537,3.434611,1
3.126688,0.680105,7.283225,0
8.082306,5.077385,3.508115,1
2.554081,4.377729,6.563212,0
1.820897,5.806953,0.050718,0
4.975394,9.867436,4.512238,1
2.656895,3.482773,3.402150,0
1.535268,8.262712,8.382411,1
0.818722,6.043717,3.150594,0
8.501027,8.640315,7.549195,1
3.809952,8.388682,8.405460,1
4.984964,8.896502,0.665423,1
2.169998,8.275648,0.686636,1
8.224259,1.773868,8.838058,1
1.953573,0.271642,0.346879,0
8.788932,3.703618,0.671806,1
3.937574,8.171379,4.376492,1
7.325105,2.470456,4.625297,1
5.825427,4.596738,9.975248,1
5.206223,3.504321,0.354485,0
7.920305,2.403914,0.321665,1
6.749915,6.060074,0.402447,1
9.928507,7.140875,1.476065,1
3.691453,9.137575,8.405424,1
2.701596,4.922153,0.534643,0
4.270090,6.388665,4.112190,1
3.514233,0.740518,8.829972,0
7.530784,1.510847,5.732086,1
3.227088,4.716300,7.413650,0
0.085216,5.692631,2.855156,0
5.154926,3.254167,5.799334,0
3.329905,6.569744,7.275792,1
9.698366,7.798465,6.771923,1
