@RELATION STAGGER_Abrupt_Chain_Noise

@ATTRIBUTE size NUMERIC
@ATTRIBUTE color NUMERIC
@ATTRIBUTE shape NUMERIC
@ATTRIBUTE class {0,1}

@DATA
1.000000,0.970968,0.000000,0
2.000000,2.058903,2.000000,0
0.000000,2.058270,2.000000,0
1.000000,1.981480,2.000000,0
1.000000,1.945832,2.000000,0
2.000000,1.103644,2.000000,0
0.000000,0.095039,0.000000,1
2.000000,0.102858,1.000000,0
1.000000,2.166444,0.000000,0
0.000000,1.952105,0.000000,0
1.000000,-0.073785,0.000000,0
0.000000,0.115487,2.000000,1
1.000000,0.796574,2.000000,0
2.000000,1.077364,2.000000,0
0.000000,2.165406,1.000000,0
0.000000,0.085383,2.000000,1
2.000000,0.112002,1.000000,0
1.000000,1.089230,2.000000,0
0.000000,1.129930,0.000000,0
2.000000,1.950625,1.000000,0
1.000000,1.090623,1.000000,0
1.000000,1.040487,2.000000,0
1.000000,0.951650,0.000000,0
1.000000,0.108901,1.000000,0
1.000000,-0.144977,1.000000,0
1.000000,-0.022870,2.000000,0
2.000000,0.112991,2.000000,0
2.000000,-0.063702,0.000000,0
1.000000,2.010835,2.000000,0
2.000000,0.129470,0.000000,0
1.000000,1.984601,1.000000,0
2.000000,1.130246,1.000000,0
1.000000,0.049752,1.000000,0
1.000000,1.869899,2.000000,0
2.000000,2.027805,0.000000,0
2.000000,2.059826,1.000000,0
1.000000,0.051626,1.000000,0
1.000000,1.122055,0.000000,0
2.000000,-0.288819,2.000000,0
1.000000,1.962129,2.000000,0
0.000000,2.083589,2.000000,0
1.000000,1.071566,2.000000,0
1.000000,0.024737,1.000000,0
0.000000,0.999340,0.000000,0
2.000000,2.100309,2.000000,0
0.000000,1.790641,0.000000,0
1.000000,1.203740,0.000000,0
2.000000,1.105920,2.000000,0
1.000000,0.002908,0.000000,0
1.000000,0.858616,0.000000,0
2.000000,1.002611,2.000000,0
2.000000,1.164746,0.000000,0
1.000000,1.924906,0.000000,0
0.000000,0.060235,0.000000,1
0.000000,0.974527,1.000000,0
2.000000,0.986516,0.000000,0
0.000000,0.748748,0.000000,0
0.000000,1.145153,2.000000,0
1.000000,1.987349,1.000000,0
2.000000,0.008659,0.000000,0
1.000000,-0.004833,0.000000,0
0.000000,1.991863,0.000000,0
2.000000,1.012187,2.000000,0
1.000000,0.088286,1.000000,0
1.000000,0.048366,0.000000,0
2.000000,2.107979,0.000000,0
1.000000,-0.003028,0.000000,0
2.000000,0.095930,0.000000,0
1.000000,0.025109,0.000000,0
0.000000,1.139696,1.000000,0
2.000000,-0.096150,2.000000,0
0.000000,-0.076920,1.000000,1
2.000000,0.005177,1.000000,0
0.000000,0.093184,1.000000,1
0.000000,1.091176,1.000000,0
1.000000,2.010692,1.000000,0
1.000000,0.082448,2.000000,0
1.000000,0.766634,2.000000,0
0.000000,1.099251,2.000000,0
1.000000,0.895639,0.000000,0
1.000000,0.002111,2.000000,0
0.000000,-0.008744,2.000000,1
0.000000,0.964746,2.000000,0
2.000000,0.981793,0.000000,0
0.000000,0.996334,2.000000,0
2.000000,1.943913,0.000000,0
1.000000,2.161682,0.000000,0
0.000000,1.046936,1.000000,0
2.000000,1.946307,0.000000,0
0.000000,1.030754,0.000000,0
2.000000,2.292695,2.000000,0
2.000000,0.951778,1.000000,0
2.000000,1.022769,1.000000,0
1.000000,-0.046636,1.000000,0
0.000000,0.008615,1.000000,1
1.000000,-0.003603,0.000000,0
2.000000,1.942127,2.000000,0
2.000000,0.959570,1.000000,0
0.000000,0.969035,1.000000,0
0.000000,2.067672,2.000000,0
2.000000,2.274233,2.000000,0
0.000000,1.929122,0.000000,0
2.000000,1.884539,2.000000,0
1.000000,2.073145,0.000000,0
0.000000,2.176664,1.000000,0
1.000000,1.004918,2.000000,0
1.000000,0.002508,0.000000,0
2.000000,-0.071412,2.000000,0
0.000000,-0.018129,1.000000,1
0.000000,0.905873,2.000000,0
1.000000,2.169103,2.000000,0
1.000000,0.995150,2.000000,0
0.000000,1.825776,2.000000,0
1.000000,2.141532,0.000000,0
0.000000,0.089368,2.000000,1
0.000000,1.006795,2.000000,0
1.000000,-0.005136,1.000000,0
2.000000,2.000989,0.000000,0
2.000000,0.805788,2.000000,0
2.000000,0.884780,2.000000,0
2.000000,1.038016,0.000000,0
1.000000,-0.080522,0.000000,0
