@RELATION RANDOMTREE_Abrupt_Recurring

@ATTRIBUTE x_num_0 NUMERIC
@ATTRIBUTE x_num_1 NUMERIC
@ATTRIBUTE x_num_2 NUMERIC
@ATTRIBUTE x_num_3 NUMERIC
@ATTRIBUTE x_num_4 NUMERIC
@ATTRIBUTE x_cat_0 NUMERIC
@ATTRIBUTE x_cat_1 NUMERIC
@ATTRIBUTE x_cat_2 NUMERIC
@ATTRIBUTE x_cat_3 NUMERIC
@ATTRIBUTE x_cat_4 NUMERIC
@ATTRIBUTE class {0,1}

@DATA
0.973953,0.933239,0.095109,0.154193,0.566626,0.000000,2.000000,1.000000,3.000000,4.000000,0
0.362701,0.821504,0.774864,0.738125,0.789408,4.000000,1.000000,3.000000,4.000000,3.000000,1
0.003422,0.949096,0.156180,0.359573,0.018277,4.000000,1.000000,0.000000,2.000000,1.000000,0
0.707761,0.381865,0.707833,0.771216,0.635761,3.000000,0.000000,4.000000,0.000000,2.000000,1
0.673605,0.258984,0.343779,0.375681,0.289464,1.000000,2.000000,4.000000,2.000000,3.000000,1
0.143370,0.575041,0.274692,0.233871,0.183604,2.000000,0.000000,2.000000,4.000000,0.000000,1
0.877545,0.787969,0.949092,0.778174,0.700743,4.000000,4.000000,1.000000,3.000000,2.000000,0
0.224780,0.832135,0.253762,0.615226,0.010785,3.000000,2.000000,3.000000,1.000000,0.000000,0
0.344482,0.772948,0.846819,0.849099,0.687428,0.000000,3.000000,3.000000,1.000000,1.000000,0
0.811172,0.759098,0.463137,0.282985,0.265091,0.000000,0.000000,1.000000,3.000000,0.000000,1
0.500380,0.261343,0.357129,0.747285,0.344010,4.000000,1.000000,3.000000,4.000000,1.000000,0
0.504046,0.178160,0.264343,0.306917,0.425180,2.000000,1.000000,3.000000,4.000000,1.000000,1
0.028520,0.982614,0.596152,0.221953,0.125554,0.000000,2.000000,4.000000,4.000000,1.000000,1
0.933207,0.181628,0.608500,0.177927,0.827369,0.000000,1.000000,1.000000,2.000000,0.000000,0
0.606129,0.292713,0.189330,0.010273,0.760220,1.000000,2.000000,2.000000,3.000000,1.000000,1
0.494313,0.548847,0.483834,0.171530,0.756267,0.000000,4.000000,0.000000,0.000000,1.000000,1
0.760778,0.042035,0.506196,0.828865,0.166383,0.000000,4.000000,2.000000,3.000000,1.000000,0
0.136439,0.598663,0.295813,0.850920,0.430517,4.000000,0.000000,1.000000,1.000000,0.000000,1
0.049459,0.635938,0.932241,0.218433,0.072140,2.000000,4.000000,0.000000,3.000000,4.000000,0
0.824796,0.373627,0.138651,0.729713,0.570461,4.000000,2.000000,4.000000,2.000000,3.000000,0
0.348132,0.045537,0.456213,0.712918,0.518331,1.000000,3.000000,1.000000,4.000000,1.000000,1
0.302025,0.408522,0.020947,0.249437,0.189839,3.000000,0.000000,3.000000,1.000000,3.000000,0
0.817832,0.965094,0.584516,0.629991,0.746572,0.000000,3.000000,2.000000,3.000000,1.000000,1
0.394787,0.326806,0.275440,0.886801,0.788692,4.000000,3.000000,1.000000,0.000000,0.000000,1
0.224762,0.153791,0.495921,0.312930,0.535207,2.000000,2.000000,0.000000,4.000000,1.000000,1
0.325122,0.621298,0.660745,0.448449,0.566069,2.000000,1.000000,1.000000,3.000000,2.000000,1
0.292809,0.179630,0.372306,0.671964,0.828518,1.000000,4.000000,0.000000,2.000000,4.000000,0
0.298920,0.849808,0.884600,0.033268,0.060673,4.000000,2.000000,0.000000,1.000000,0.000000,1
0.347317,0.307894,0.419536,0.053600,0.288600,4.000000,3.000000,4.000000,1.000000,2.000000,0
0.584716,0.812342,0.815554,0.860071,0.295158,1.000000,3.000000,4.000000,4.000000,2.000000,1
0.812442,0.333515,0.729143,0.378141,0.009226,4.000000,4.000000,2.000000,0.000000,3.000000,0
0.241067,0.068007,0.549931,0.864214,0.123856,1.000000,3.000000,4.000000,2.000000,1.000000,0
0.657306,0.884533,0.978138,0.392056,0.135662,0.000000,4.000000,2.000000,1.000000,2.000000,0
0.916279,0.044678,0.390710,0.112641,0.318214,0.000000,2.000000,2.000000,2.000000,2.000000,0
0.511769,0.042106,0.308734,0.798613,0.159126,2.000000,1.000000,0.000000,3.000000,2.000000,1
0.482098,0.850358,0.639407,0.264263,0.871874,1.000000,1.000000,4.000000,1.000000,0.000000,0
0.187458,0.361907,0.117291,0.244716,0.035964,0.000000,1.000000,4.000000,1.000000,3.000000,0
0.665410,0.409152,0.513033,0.829033,0.579983,2.000000,2.000000,0.000000,0.000000,3.000000,0
0.705063,0.874899,0.348438,0.072644,0.680953,1.000000,4.000000,2.000000,1.000000,0.000000,1
0.924386,0.377207,0.591808,0.622328,0.988062,2.000000,2.000000,4.000000,2.000000,3.000000,1
0.177949,0.369871,0.942290,0.842320,0.580309,0.000000,3.000000,0.000000,2.000000,2.000000,1
0.762781,0.367326,0.037278,0.195846,0.478568,4.000000,2.000000,0.000000,1.000000,0.000000,0
0.317601,0.176423,0.638900,0.324706,0.145727,4.000000,1.000000,3.000000,3.000000,3.000000,0
0.818956,0.774301,0.846435,0.367934,0.286126,1.000000,0.000000,1.000000,3.000000,2.000000,1
0.042103,0.527669,0.371255,0.947699,0.439277,2.000000,0.000000,2.000000,2.000000,1.000000,0
0.494144,0.023754,0.886723,0.869307,0.942938,1.000000,1.000000,0.000000,1.000000,1.000000,0
0.829436,0.440825,0.447651,0.343188,0.165239,2.000000,3.000000,2.000000,1.000000,2.000000,1
0.115315,0.848035,0.768201,0.338899,0.951297,2.000000,0.000000,4.000000,4.000000,1.000000,0
0.066301,0.471972,0.604623,0.985822,0.891776,2.000000,0.000000,4.000000,3.000000,4.000000,1
0.749643,0.307855,0.148363,0.330216,0.053254,2.000000,1.000000,3.000000,1.000000,4.000000,1
0.261247,0.093912,0.068809,0.784300,0.706855,4.000000,1.000000,4.000000,4.000000,2.000000,1
0.363171,0.378247,0.482464,0.423522,0.031842,1.000000,0.000000,4.000000,4.000000,0.000000,1
0.677374,0.784554,0.529101,0.960983,0.792537,0.000000,1.000000,3.000000,1.000000,3.000000,0
0.418408,0.322214,0.818406,0.082693,0.855021,1.000000,1.000000,2.000000,4.000000,4.000000,1
0.182084,0.320321,0.693388,0.906388,0.667440,2.000000,0.000000,3.000000,1.000000,4.000000,0
0.869059,0.972808,0.377682,0.182331,0.971311,4.000000,3.000000,2.000000,3.000000,1.000000,0
0.230964,0.019542,0.075831,0.345010,0.357585,2.000000,2.000000,0.000000,0.000000,0.000000,1
0.210888,0.211022,0.741301,0.918170,0.275143,2.000000,2.000000,4.000000,1.000000,3.000000,0
0.119231,0.383296,0.470992,0.280752,0.993526,0.000000,0.000000,3.000000,1.000000,2.000000,0
0.046034,0.239068,0.532741,0.371278,0.985992,3.000000,0.000000,4.000000,2.000000,4.000000,0
0.654494,0.332928,0.460434,0.311261,0.173708,0.000000,1.000000,4.000000,4.000000,2.000000,0
0.482205,0.545341,0.530440,0.334392,0.126962,4.000000,4.000000,4.000000,2.000000,1.000000,0
0.124567,0.071292,0.317558,0.429130,0.206021,0.000000,0.000000,2.000000,3.000000,0.000000,0
0.179905,0.549052,0.834450,0.394597,0.807983,1.000000,2.000000,4.000000,4.000000,2.000000,1
0.468365,0.788594,0.083782,0.805910,0.078063,1.000000,4.000000,1.000000,4.000000,4.000000,1
0.541952,0.959983,0.470212,0.393498,0.246200,4.000000,1.000000,4.000000,0.000000,0.000000,0
0.135495,0.674510,0.519782,0.480677,0.924386,3.000000,3.000000,1.000000,4.000000,3.000000,0
0.952904,0.398049,0.189259,0.850175,0.500507,0.000000,0.000000,2.000000,1.000000,3.000000,1
0.876522,0.294890,0.498457,0.671182,0.705596,0.000000,4.000000,2.000000,4.000000,3.000000,1
0.937386,0.259810,0.544410,0.292315,0.844907,1.000000,0.000000,0.000000,2.000000,3.000000,1
0.862507,0.393072,0.693162,0.931247,0.604533,0.000000,2.000000,3.000000,4.000000,3.000000,0
0.818571,0.248289,0.539590,0.831443,0.943447,2.000000,2.000000,1.000000,4.000000,3.000000,0
0.175865,0.348879,0.924127,0.873736,0.498330,0.000000,0.000000,1.000000,1.000000,0.000000,0
0.786214,0.428903,0.700478,0.120816,0.657075,1.000000,3.000000,0.000000,0.000000,2.000000,1
