@relation IntelLabSensors

@attribute attr0 numeric
@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute class {1}

@data
2255.0,20.3902,37.8477,45.08,2.69964,1
2256.0,20.4,37.8477,45.08,2.69964,1
2257.0,20.4,37.8819,45.08,2.71196,1
2258.0,20.4,37.9161,45.08,2.69964,1
2259.0,20.3902,37.9161,45.08,2.69964,1
2260.0,20.3902,37.9161,45.08,2.69964,1
2261.0,20.3902,37.9161,45.08,2.69964,1
2262.0,20.3804,37.9161,45.08,2.69964,1
2264.0,20.3804,37.9503,45.08,2.69964,1
2266.0,20.3804,37.9161,45.08,2.69964,1
2267.0,20.3706,37.8819,45.08,2.69964,1
2268.0,20.3804,37.8477,45.08,2.71196,1
2269.0,20.3902,37.8477,45.08,2.69964,1
2270.0,20.3706,37.8819,45.08,2.69964,1
2271.0,20.3706,37.9161,45.08,2.69964,1
2276.0,20.3706,37.9161,45.08,2.69964,1
2277.0,20.3804,37.9503,45.08,2.69964,1
2278.0,20.3804,37.9845,45.08,2.69964,1
2279.0,20.3804,37.9845,45.08,2.69964,1
2280.0,20.3804,37.9845,45.08,2.69964,1
2282.0,20.3608,38.0187,45.08,2.71196,1
2284.0,20.351,38.0529,45.08,2.69964,1
2285.0,20.3412,38.1213,45.08,2.69964,1
2286.0,20.3412,38.0871,45.08,2.69964,1
2288.0,20.3412,38.1213,45.08,2.69964,1
2291.0,20.3412,38.0871,45.08,2.69964,1
2293.0,20.3314,38.0529,45.08,2.69964,1
2294.0,20.3314,38.1213,45.08,2.69964,1
2295.0,20.3314,38.1213,45.08,2.69964,1
2296.0,20.3412,38.0871,45.08,2.71196,1
2297.0,20.3314,38.1213,45.08,2.69964,1
2298.0,20.3216,38.1213,45.08,2.69964,1
2299.0,20.3216,38.1213,45.08,2.71196,1
2300.0,20.3216,38.0529,45.08,2.69964,1
2301.0,20.3216,38.0871,45.08,2.69964,1
2302.0,20.3412,38.0529,43.24,2.71196,1
2303.0,20.3216,38.0529,43.24,2.69964,1
2304.0,20.3216,38.0871,45.08,2.69964,1
2305.0,20.3216,38.0529,45.08,2.69964,1
2306.0,20.3118,38.1213,43.24,2.69964,1
2307.0,20.3118,38.1213,43.24,2.71196,1
2308.0,20.3118,38.0529,43.24,2.69964,1
2310.0,20.3118,38.0529,43.24,2.69964,1
2311.0,20.302,38.0871,43.24,2.69964,1
2313.0,20.3118,37.9845,43.24,2.69964,1
2315.0,20.3216,38.0529,43.24,2.69964,1
2316.0,20.3216,37.9845,43.24,2.69964,1
2317.0,20.3216,38.1555,45.08,2.69964,1
2318.0,20.3118,37.9845,45.08,2.71196,1
2319.0,20.3216,37.9845,43.24,2.69964,1
2320.0,20.302,38.0871,45.08,2.69964,1
2321.0,20.302,38.258,45.08,2.69964,1
2322.0,20.302,38.1213,45.08,2.69964,1
2323.0,20.2922,38.1213,45.08,2.69964,1
2324.0,20.302,38.1897,45.08,2.69964,1
2325.0,20.302,38.1897,45.08,2.69964,1
2326.0,20.2824,38.258,45.08,2.69964,1
2328.0,20.2824,38.2922,43.24,2.69964,1
2329.0,20.2824,38.258,43.24,2.68742,1
2331.0,20.2726,38.258,43.24,2.69964,1
2334.0,20.2726,38.2922,43.24,2.69964,1
2336.0,20.2824,38.258,43.24,2.69964,1
2337.0,20.2726,38.3263,43.24,2.69964,1
2339.0,20.2726,38.258,43.24,2.68742,1
2340.0,20.2726,38.2922,43.24,2.69964,1
2342.0,20.2628,38.1555,43.24,2.69964,1
2343.0,20.2628,38.258,45.08,2.69964,1
2346.0,20.2432,38.2239,45.08,2.69964,1
2347.0,20.2432,38.2239,45.08,2.69964,1
2348.0,20.2432,38.258,43.24,2.69964,1
2349.0,20.2432,38.258,43.24,2.69964,1
2352.0,20.2236,38.3263,45.08,2.69964,1
2353.0,20.2236,38.258,45.08,2.69964,1
2354.0,20.2236,38.1897,45.08,2.69964,1
2355.0,20.2236,38.258,45.08,2.69964,1
2356.0,20.2236,38.1213,45.08,2.69964,1
2357.0,20.2236,38.2239,43.24,2.69964,1
2359.0,20.2236,38.258,45.08,2.69964,1
2360.0,20.2236,38.258,45.08,2.69964,1
2362.0,20.1942,38.3605,43.24,2.69964,1
2363.0,20.1844,38.3946,43.24,2.69964,1
2365.0,20.1844,38.3946,45.08,2.69964,1
2366.0,20.1844,38.3946,45.08,2.69964,1
2367.0,20.1844,38.3946,43.24,2.69964,1
2369.0,20.1942,38.3946,45.08,2.69964,1
2370.0,20.1746,38.4287,45.08,2.69964,1
