=== STDOUT ===

Dataset metadata
Attributes: 10
Classes:    5
populationSize 25
numberGenerations 50
numberRulesClass 5
numberWindows 5
fadingFactor 0.5
learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),NumberRules,NumberConditions,NumberNodes
1000.0,23.29197731,0.0,1000.0,67.60000000000001,7.89122066875524,-1.2500000000000013,-75.13513513513506,1000.0,0.0,25.0,25.0,75.0


=== STDERR ===

{M}assive {O}nline {A}nalysis
Version:  20.07 July 2020
Copyright: (C) 2007-2020 University of Waikato, Hamilton, New Zealand
Web: http://moa.cms.waikato.ac.nz/

- 0.00s [running] Doing task EvaluateInterleavedTestThenTrain...               
\ 0.48s [running] 8.73% Evaluating learner...                                  
| 0.97s [running] 8.73% Evaluating learner...                                  
/ 1.45s [running] 8.93% Evaluating learner...                                  
- 1.93s [running] 8.93% Evaluating learner...                                  
\ 2.40s [running] 9.01% Evaluating learner...                                  
| 2.92s [running] 18.11% Evaluating learner...                                 
/ 3.54s [running] 18.13% Evaluating learner...                                 
- 4.20s [running] 18.16% Evaluating learner...                                 
\ 4.69s [running] 18.16% Evaluating learner...                                 
| 5.29s [running] 27.26% Evaluating learner...                                 
/ 5.87s [running] 27.26% Evaluating learner...                                 
- 6.51s [running] 27.30% Evaluating learner...                                 
\ 7.20s [running] 27.30% Evaluating learner...                                 
| 7.86s [running] 36.43% Evaluating learner...                                 
/ 8.54s [running] 36.44% Evaluating learner...                                 
- 9.23s [running] 45.57% Evaluating learner...                                 
\ 9.92s [running] 45.56% Evaluating learner...                                 
| 10.59s [running] 45.55% Evaluating learner...                                
/ 11.28s [running] 54.71% Evaluating learner...                                
- 11.96s [running] 54.69% Evaluating learner...                                
\ 12.65s [running] 54.74% Evaluating learner...                                
| 13.23s [running] 54.71% Evaluating learner...                                
/ 13.84s [running] 63.83% Evaluating learner...                                
- 14.44s [running] 63.85% Evaluating learner...                                
\ 15.03s [running] 63.85% Evaluating learner...                                
| 15.69s [running] 72.98% Evaluating learner...                                
/ 16.33s [running] 73.02% Evaluating learner...                                
- 17.02s [running] 72.95% Evaluating learner...                                
\ 17.68s [running] 82.13% Evaluating learner...                                
| 18.37s [running] 82.09% Evaluating learner...                                
/ 19.06s [running] 91.21% Evaluating learner...                                
- 19.75s [running] 91.21% Evaluating learner...                                
\ 20.43s [running] 91.29% Evaluating learner...                                
| 21.11s [running] 100.00% Evaluating learner...                               
/ 21.73s [running] 100.00% Evaluating learner...                               
- 22.33s [running] 100.00% Evaluating learner...                               
\ 22.89s [running] 100.00% Evaluating learner...                               
Can not access instrumentation environment.
Please check if jar file containing SizeOfAgent class is 
specified in the java's "-javaagent" command line argument.
                                                                               
Task completed in 23.37s (CPU time)

