@relation AGRAWAL_Stationary

@attribute attr0 numeric
@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute class {0,1}

@data
102949.49171754024,0.0,67.0,4.0,18.0,4.0,418145.7562144639,2.0,163069.69607236522,1
22663.90255478493,84728.28561027772,31.0,1.0,5.0,6.0,264796.4886458046,1.0,293786.1779262251,1
140580.0127021119,0.0,74.0,1.0,18.0,7.0,91634.55567161892,1.0,70261.9545757307,1
20254.52455753532,26582.85002397816,54.0,3.0,10.0,6.0,112240.66736052984,28.0,146164.89813928746,0
60430.263605177424,70782.36740230408,37.0,4.0,7.0,5.0,317066.4930092688,20.0,355386.30369941203,1
83585.9032311333,0.0,77.0,0.0,18.0,6.0,276533.85494309745,13.0,410329.0458957075,1
22032.82857857468,12286.78743000249,40.0,3.0,20.0,6.0,264769.2663405171,8.0,311398.92790366506,0
84346.94397116947,0.0,50.0,0.0,10.0,4.0,306923.8942735545,1.0,132043.8700418453,0
107824.375958631,0.0,50.0,2.0,7.0,4.0,559299.5248604667,26.0,128797.72213380858,0
87514.35488758069,0.0,50.0,2.0,2.0,5.0,234397.19752318665,27.0,285914.60355127754,0
49392.963272880166,48347.04614976085,36.0,1.0,20.0,4.0,531537.0762678185,27.0,111453.81095717412,1
146062.50999186718,0.0,62.0,3.0,14.0,5.0,427346.5892600377,20.0,327216.413392094,1
55064.7917355522,49903.8692687047,48.0,4.0,6.0,1.0,935955.7228991676,27.0,404390.44251114986,0
84061.81701057861,0.0,40.0,2.0,20.0,0.0,739486.2320607004,25.0,189845.84996232076,0
92216.20441576136,0.0,53.0,4.0,10.0,1.0,1028219.5058283116,9.0,55889.70985031122,0
62665.72274411253,67248.28577380232,60.0,4.0,14.0,0.0,1106719.4887328532,26.0,432002.1721497699,1
57679.95191098117,72432.58706946447,24.0,4.0,10.0,3.0,278408.1401018876,28.0,276942.6726442716,1
144906.46164221535,0.0,24.0,1.0,7.0,3.0,391096.73538191145,12.0,415355.7125340751,1
80731.65517343138,0.0,43.0,3.0,6.0,8.0,0.0,30.0,190010.9170807696,0
21111.24377955088,22234.89064616585,45.0,3.0,11.0,5.0,348567.8976509376,3.0,446905.2674282486,0
117078.56048402906,0.0,66.0,3.0,9.0,3.0,612107.1016605395,29.0,346547.2723915321,1
106567.07981913807,0.0,79.0,3.0,15.0,4.0,333732.43715337233,11.0,7698.098692239308,1
102572.30685169644,0.0,58.0,0.0,17.0,0.0,708485.3582534923,15.0,465303.0716146337,0
43998.31577684928,71364.38701042745,30.0,3.0,16.0,7.0,61674.947984969134,3.0,8376.95123752713,1
73069.54814327681,71478.91484182785,69.0,4.0,18.0,5.0,360016.2509142336,7.0,195210.94278444213,1
48259.17329551786,54730.68962097713,76.0,0.0,9.0,4.0,246391.4304059926,7.0,179976.6973873687,1
78848.80100091342,0.0,68.0,4.0,9.0,6.0,133956.3189002104,15.0,75049.5917502515,1
111096.12892334652,0.0,47.0,2.0,18.0,2.0,595171.2860215037,9.0,380522.73849602055,0
73117.59536800983,37460.73813923592,28.0,3.0,19.0,6.0,288536.34135654336,7.0,55452.43688752954,1
147238.00006924555,0.0,25.0,1.0,15.0,2.0,409788.0995230999,27.0,305495.52183507005,1
147709.84910996072,0.0,48.0,0.0,7.0,8.0,0.0,21.0,128478.0500764972,0
59791.99564341372,60463.29381706193,59.0,2.0,8.0,1.0,881386.9914077916,15.0,93114.25213688752,0
107044.48773242004,0.0,50.0,4.0,9.0,2.0,640327.4420699005,11.0,391092.7522364182,0
137401.36454293897,0.0,26.0,2.0,2.0,8.0,0.0,18.0,223713.42069757305,1
71538.94979054506,33027.80801354062,40.0,1.0,1.0,6.0,235979.1190302268,17.0,59622.75544132534,0
28469.867927217398,13334.482572034423,29.0,1.0,6.0,8.0,0.0,30.0,237065.99973189156,1
20505.48043834155,64981.72142414806,35.0,0.0,17.0,2.0,618079.8882885525,26.0,226446.6835612825,1
63535.46656358516,38636.812489809934,36.0,3.0,9.0,8.0,0.0,18.0,279280.17970473226,1
49124.798224898885,20934.56564930189,26.0,0.0,5.0,8.0,0.0,15.0,352529.52361683705,1
106196.13522484616,0.0,31.0,2.0,7.0,5.0,266503.1143352422,8.0,335558.2773123077,1
31825.006481382166,38241.74745928612,52.0,4.0,5.0,8.0,0.0,17.0,35590.19840622274,0
113646.41407284272,0.0,58.0,2.0,12.0,0.0,724474.5897157838,25.0,230507.93415632044,0
104174.63259851448,0.0,75.0,2.0,12.0,7.0,84635.06997274714,12.0,183034.0807878064,1
69888.29505622308,59511.566496118816,58.0,2.0,20.0,8.0,0.0,4.0,452823.5421750714,0
63831.80737113958,27036.22973306961,69.0,3.0,13.0,6.0,217074.12887713744,7.0,76880.23761124951,1
61952.84683221416,69111.91625271614,44.0,3.0,10.0,1.0,761815.8255923893,28.0,428433.33577058895,0
79053.19018766581,0.0,44.0,1.0,5.0,8.0,0.0,17.0,31284.07174519937,0
90483.70337573587,0.0,75.0,0.0,8.0,7.0,96906.82777605916,5.0,205927.5469657004,1
110307.94353738367,0.0,74.0,1.0,19.0,3.0,563262.3020814344,1.0,92039.79524318202,1
105283.75636173812,0.0,63.0,4.0,1.0,1.0,941473.1082042952,17.0,371355.58186337625,1
54654.393610477055,42499.77103381369,59.0,0.0,12.0,1.0,696153.9225870129,11.0,120247.042173397,0
133350.1247526725,0.0,69.0,4.0,8.0,5.0,158363.57891564554,22.0,211349.1759841224,1
44328.78283418551,16564.754291579033,44.0,4.0,13.0,0.0,408542.55206796585,17.0,199075.40287229972,0
136676.61126320297,0.0,60.0,0.0,3.0,3.0,534506.2052748633,12.0,406889.4984882727,1
93855.33464633356,0.0,68.0,4.0,6.0,3.0,285564.3179651072,27.0,144033.80835596193,1
80588.76608421907,0.0,35.0,2.0,2.0,6.0,148652.2624483408,22.0,350654.39990709326,1
137664.2559796887,0.0,56.0,2.0,17.0,1.0,512131.8906957095,5.0,426984.49845523335,0
143723.8495346352,0.0,67.0,1.0,10.0,2.0,525579.8267631708,13.0,451295.045102728,1
118541.93737621816,0.0,49.0,0.0,9.0,2.0,591222.2087245439,18.0,160005.74032088104,0
36452.071202131,53935.9516847284,72.0,0.0,9.0,7.0,138410.36076649238,27.0,182781.0775889593,1
95101.1057443894,0.0,38.0,0.0,6.0,7.0,89569.15270231495,9.0,97730.45797096964,1
65500.76477427357,70417.84856009632,42.0,0.0,17.0,2.0,840385.8894504977,20.0,163960.51597910677,0
106052.08371298986,0.0,60.0,0.0,12.0,4.0,265630.8437977344,3.0,143939.30981175025,1
22896.226039905978,36793.35902086672,60.0,1.0,14.0,4.0,495865.8674373496,19.0,480495.2905342834,1
