@relation AGRAWAL_Abrupt_Simple_Severe

@attribute attr0 numeric
@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute class {0,1}

@data
142959.9470111356,0.0,20.0,0.0,19.0,8.0,0.0,17.0,349208.4489724319,0
65344.95634807837,29858.00675843213,70.0,0.0,7.0,6.0,102057.2420212324,9.0,385126.1233485316,1
74476.94984358404,12465.81172887586,37.0,1.0,17.0,7.0,139123.88228678302,16.0,494684.7704266768,1
38351.02022683485,35625.5640219147,63.0,1.0,6.0,5.0,151760.23795299724,7.0,402283.9613301701,1
52465.07487714013,26439.259292869658,54.0,1.0,9.0,4.0,424111.5150995853,10.0,145599.35458328127,0
91011.95053917656,0.0,70.0,0.0,15.0,7.0,96029.44372956504,23.0,137009.72619647416,0
138332.7863680447,0.0,59.0,3.0,11.0,6.0,169346.51187817394,23.0,478681.6534846097,0
111023.94285075249,0.0,65.0,1.0,1.0,3.0,328751.0845656005,7.0,496928.1251620667,0
25263.9714666506,52287.68833501185,28.0,1.0,11.0,0.0,922361.2247484362,30.0,44391.71899212252,0
73173.1155794489,49866.763387996434,44.0,3.0,11.0,7.0,101127.92967769098,28.0,127819.27385315888,0
57116.46755752769,60617.384466518924,25.0,3.0,9.0,2.0,751527.1887692778,29.0,235472.0590641832,1
111330.36969382565,0.0,27.0,0.0,9.0,5.0,228040.4924729014,17.0,145629.45226016332,0
37921.9741558547,24737.652121944564,50.0,0.0,11.0,2.0,545290.7381152788,11.0,58433.48907271207,0
127675.41214602569,0.0,48.0,3.0,2.0,0.0,907824.8591187928,13.0,179017.78509716998,0
50490.09576363676,16133.271821296574,26.0,3.0,20.0,5.0,205164.12833882103,5.0,126720.98886559837,1
105814.24470500145,0.0,57.0,2.0,15.0,2.0,549817.3602678067,4.0,74063.39453036997,1
95105.57746191678,0.0,74.0,4.0,11.0,8.0,0.0,21.0,445944.81651419547,0
117132.80959917538,0.0,34.0,1.0,4.0,4.0,567100.8346810682,21.0,400239.1719448257,0
110909.27286707594,0.0,78.0,4.0,5.0,7.0,89917.57270861472,16.0,115339.5046019069,0
56490.110893457815,21867.963000310167,67.0,0.0,18.0,5.0,198027.76253175436,29.0,80875.99440736421,1
54624.86014697745,73732.30639258615,50.0,2.0,13.0,0.0,660772.4867322952,30.0,33656.62316589424,0
129472.21175615484,0.0,68.0,4.0,3.0,8.0,0.0,3.0,475532.1147191418,0
137784.0907799304,0.0,48.0,0.0,6.0,3.0,419866.2943349059,24.0,357816.7389735593,0
56518.0205688734,79465.92885525197,55.0,4.0,3.0,0.0,628743.3156748902,8.0,170062.19062157752,0
57444.32097324004,71054.1871258229,46.0,3.0,11.0,1.0,534642.6956705963,15.0,75203.38928611942,0
115044.47906568742,0.0,67.0,0.0,7.0,2.0,758649.5158284553,30.0,411498.6663478882,0
33291.21374127796,71753.34502961769,45.0,3.0,11.0,7.0,62017.65106492163,18.0,306196.2930752899,0
68335.58557372642,61143.542302237765,34.0,3.0,7.0,6.0,163794.85277349566,19.0,338950.0466019795,1
98889.46769213642,0.0,38.0,4.0,18.0,4.0,515277.0223056815,12.0,419772.0500822298,1
116907.8351157746,0.0,63.0,4.0,12.0,3.0,715263.8426297161,9.0,357078.1701055697,0
107453.45850002658,0.0,67.0,0.0,8.0,8.0,0.0,21.0,287793.9025512191,0
99936.04438733836,0.0,41.0,0.0,19.0,0.0,452903.72273279977,17.0,379266.0334985287,1
116666.07693928512,0.0,23.0,2.0,6.0,7.0,58006.97152624263,18.0,140510.97830859665,0
91451.96045677229,0.0,25.0,1.0,2.0,7.0,138991.89831033343,16.0,10186.159314377495,1
76748.83966948342,0.0,57.0,0.0,6.0,7.0,115729.90486696165,23.0,473858.3879005462,1
52486.82980501455,29096.233191205265,22.0,4.0,7.0,7.0,84431.06910723596,2.0,32608.590085967506,1
43309.03812785756,44449.83774173528,69.0,2.0,13.0,6.0,112257.48113308712,13.0,31255.272197440565,1
144849.7914398982,0.0,38.0,0.0,13.0,2.0,541263.8592501133,24.0,252724.98395710523,0
86908.85165821659,0.0,78.0,1.0,1.0,2.0,822791.4497656289,3.0,130920.74352866528,0
146514.10254980426,0.0,69.0,0.0,4.0,0.0,797831.8604400386,16.0,260497.78675523776,0
102891.99828177068,0.0,37.0,0.0,6.0,1.0,901302.3963037714,7.0,391721.7861861665,0
144267.75668829388,0.0,55.0,3.0,11.0,5.0,274816.24221655534,9.0,50081.32541441512,0
85684.0717271218,0.0,30.0,0.0,19.0,3.0,747043.9553988295,26.0,158747.0954662491,1
86263.8776924417,0.0,67.0,4.0,20.0,0.0,1058105.2547950346,10.0,190924.2654699881,0
55373.80088015927,39076.51951421146,53.0,1.0,8.0,6.0,203342.64062913912,10.0,85913.94100204247,0
54068.657874103206,34915.25641033818,32.0,3.0,14.0,1.0,857252.4007474658,14.0,271825.25653502,1
138106.76184223528,0.0,20.0,0.0,13.0,5.0,351745.8048083392,18.0,85662.49648590274,0
112528.38867806693,0.0,58.0,1.0,19.0,8.0,0.0,24.0,119069.75947243551,1
107559.64761740704,0.0,44.0,3.0,13.0,2.0,785158.1797503582,16.0,198046.84993665377,1
148805.2481555934,0.0,80.0,0.0,1.0,4.0,519160.4479772792,6.0,387331.5219120479,0
74195.47866845177,70787.23248053275,80.0,1.0,6.0,5.0,176705.3053040897,27.0,483985.15564584633,1
75019.38481632118,0.0,25.0,3.0,11.0,5.0,180231.42686342343,1.0,145871.34395814594,1
123506.4419343687,0.0,25.0,0.0,16.0,8.0,0.0,18.0,88679.42302567467,0
112892.933825108,0.0,54.0,1.0,7.0,7.0,54426.66493359087,26.0,324397.36928046815,1
22634.829591504145,84574.36565991702,80.0,2.0,1.0,8.0,0.0,21.0,295487.0529579667,0
99422.6069855247,0.0,27.0,0.0,5.0,5.0,273513.1160815189,9.0,219942.33525963023,1
37268.38043256799,29498.39496864443,49.0,1.0,14.0,7.0,125426.99379435708,1.0,98381.4108066206,0
107046.30679872728,0.0,36.0,1.0,20.0,6.0,152884.58983285233,29.0,417526.9403341335,0
70613.61639843095,79771.15108151015,24.0,3.0,6.0,3.0,394277.6005639691,17.0,481849.8617223509,1
77659.12699936089,0.0,27.0,2.0,18.0,4.0,429244.59405705886,1.0,1529.1941374543371,1
53068.65802038491,71784.97171134956,79.0,1.0,17.0,8.0,0.0,8.0,88255.11241800855,1
56693.20290750517,76025.13246015344,44.0,1.0,8.0,0.0,606977.5898973529,16.0,387768.8495587084,0
125659.32658137468,0.0,39.0,3.0,14.0,0.0,1152922.682264925,17.0,221737.74355286043,0
31613.12646113064,78105.23439234399,38.0,3.0,20.0,3.0,673532.200329716,6.0,217417.5396431128,0
31450.868589962025,39076.2327736183,27.0,0.0,9.0,3.0,507974.0999722701,22.0,447256.5445316346,0
63272.07413493128,69486.678899013,53.0,0.0,3.0,6.0,240189.19900357976,4.0,474731.3579129449,0
44595.31485949371,44725.94635923938,37.0,3.0,9.0,1.0,543506.4236585816,20.0,253298.24954235333,0
21805.466271231344,76039.68929593234,21.0,1.0,3.0,1.0,740731.0936571211,9.0,364993.7785289291,0
94057.29247959048,0.0,73.0,4.0,9.0,6.0,207478.79923444605,12.0,153926.2853388994,0
87424.1659645241,0.0,59.0,2.0,10.0,1.0,595589.5988343182,2.0,25896.747348370664,1
63584.93032161548,20613.049336947654,80.0,3.0,12.0,5.0,273362.53518980823,9.0,294686.7142281904,1
51158.80474228253,15567.287333787011,79.0,3.0,15.0,2.0,866279.4902324651,29.0,267240.9072814969,1
53660.72981205533,46450.827360265015,58.0,1.0,20.0,0.0,504644.8249230218,18.0,218144.38308907664,0
62245.88900172262,31856.294740241992,45.0,1.0,8.0,4.0,336442.94802365056,22.0,107194.46243872256,0
25294.712694920963,48154.1009712657,78.0,1.0,8.0,8.0,0.0,12.0,327036.3341835531,1
49772.05692953347,82215.33659915933,60.0,4.0,3.0,7.0,91637.84877454348,18.0,202001.4105068726,1
129655.2859249435,0.0,78.0,0.0,1.0,1.0,1010169.1867666866,19.0,408867.38031840767,0
64602.7610618169,35045.01311546496,27.0,0.0,12.0,1.0,794844.3749130357,6.0,175665.83495535888,1
124467.89704525622,0.0,48.0,4.0,20.0,8.0,0.0,29.0,293320.0285832902,1
76007.99608404501,0.0,23.0,4.0,6.0,3.0,435594.2355761482,27.0,250666.69577653665,1
87377.22047261885,0.0,47.0,4.0,15.0,1.0,785080.2763450941,25.0,195104.85913587056,1
96194.6690218696,0.0,36.0,1.0,4.0,4.0,533257.3093659871,2.0,203902.7540878944,1
71736.9156248651,56952.220707939465,28.0,1.0,18.0,2.0,365938.9644645233,23.0,182882.6419060055,1
90923.56655887468,0.0,80.0,1.0,10.0,8.0,0.0,21.0,260985.14545793625,0
147692.92496518407,0.0,59.0,1.0,16.0,7.0,113431.94166748792,5.0,401500.5061712777,0
108379.27813369664,0.0,66.0,4.0,2.0,2.0,678778.3001171622,30.0,385817.1666878069,0
70976.0664771341,20273.096151967875,21.0,2.0,5.0,2.0,444132.14670074114,22.0,430913.6914893818,1
89924.66409074358,0.0,38.0,4.0,9.0,1.0,1009150.2145035294,6.0,451102.4585926947,1
117369.08890396803,0.0,47.0,3.0,9.0,0.0,403441.7156281897,21.0,62195.2097183,1
68583.69774027837,67624.98192074109,48.0,3.0,13.0,6.0,122368.65776430385,22.0,128012.81402733394,0
98421.70171718024,0.0,51.0,0.0,1.0,1.0,554611.4423186476,17.0,190400.6259534277,1
52390.92140510339,64499.10267897757,63.0,1.0,11.0,1.0,1044972.0426749616,22.0,217504.55529345357,1
138718.01489731407,0.0,35.0,4.0,12.0,8.0,0.0,13.0,83561.21461410276,0
86899.57902705307,0.0,32.0,2.0,5.0,1.0,610314.0356726929,29.0,164283.30465944996,1
67804.13070837871,15869.930219363376,65.0,2.0,15.0,2.0,542718.8870572968,5.0,84571.20373542082,1
54177.90044437769,24701.338889771658,61.0,4.0,15.0,6.0,225471.54976365055,22.0,353576.1008112899,1
70189.6380021581,31595.97717454181,77.0,2.0,12.0,3.0,639510.488855771,24.0,335017.0100602531,1
56634.66462465871,18182.442730499897,29.0,4.0,2.0,5.0,202532.46872298847,11.0,323703.8090928775,1
127116.38187881446,0.0,31.0,0.0,6.0,2.0,383852.7178756152,27.0,93896.47057095224,0
36319.30051813287,27318.64748723433,76.0,3.0,6.0,2.0,893255.8124618516,15.0,426066.763100319,1
127501.31042873509,0.0,66.0,0.0,15.0,3.0,670856.4006982163,23.0,345721.90423152177,0
47465.86995176959,69574.56364597069,76.0,1.0,8.0,0.0,1031996.0056984908,14.0,386430.7655791837,1
43536.67660842196,67883.68526899818,32.0,1.0,18.0,0.0,833860.3059314775,20.0,432988.9441273685,0
75789.55498399887,0.0,32.0,3.0,1.0,6.0,130740.33420153566,23.0,246276.85248402497,1
34387.634477230655,53791.25932795963,67.0,3.0,12.0,2.0,898325.7315484083,8.0,462409.3253731981,1
67651.35959584547,57422.84591422278,49.0,2.0,10.0,7.0,135328.321544733,13.0,315471.9187225237,0
33664.93628717977,37169.63386124962,58.0,2.0,10.0,7.0,64461.1431914511,19.0,338588.8526662427,0
81249.93692159362,0.0,70.0,1.0,3.0,7.0,75867.6342157465,27.0,380380.0750646987,0
73789.15290634282,67571.29497186266,57.0,4.0,18.0,2.0,613441.4839383293,21.0,74991.09813041394,0
118018.23175166528,0.0,58.0,0.0,4.0,4.0,599739.14553825,12.0,286485.79604280804,1
24334.05984695732,50545.85971719847,33.0,4.0,13.0,2.0,520632.1599294608,15.0,17809.282654046798,0
130165.0654346586,0.0,25.0,1.0,4.0,7.0,124485.81591168004,21.0,34430.124054521286,0
58192.0204955885,56685.17312732832,78.0,0.0,12.0,3.0,494080.6324833173,24.0,220997.42367109272,1
125109.37192987824,0.0,77.0,1.0,20.0,5.0,300979.393093286,28.0,50871.31307736886,0
49808.65961379207,33317.73096173197,61.0,4.0,7.0,1.0,983043.3884039517,7.0,450124.2222880473,1
113572.35014665483,0.0,52.0,1.0,9.0,0.0,1172690.8123914714,18.0,494223.4829918221,1
123248.76805422784,0.0,76.0,2.0,9.0,4.0,316607.4658025241,6.0,483111.4403353537,0
71348.86902563898,27682.097091325377,74.0,3.0,15.0,4.0,308154.8326498038,15.0,104775.26726515374,1
134499.97355921956,0.0,77.0,0.0,19.0,6.0,130516.20815839188,15.0,388699.289330897,0
24538.368301174796,82477.37905630957,40.0,3.0,17.0,3.0,676503.4918563011,1.0,353619.4031955404,0
131954.98600139128,0.0,66.0,2.0,20.0,5.0,406879.9782387024,18.0,367272.46918709256,0
145989.92449716496,0.0,30.0,0.0,5.0,1.0,911972.2202289968,17.0,135359.5754463468,0
137357.5905333726,0.0,43.0,1.0,1.0,1.0,583123.2560067797,15.0,374181.18585224345,0
100932.62363904263,0.0,37.0,2.0,3.0,1.0,535563.9154222859,6.0,440125.0414300889,0
117300.5838146944,0.0,39.0,3.0,14.0,0.0,913142.0109149668,6.0,310097.9927037909,0
47572.221845452645,23610.717003944585,43.0,2.0,8.0,2.0,379057.91180414543,30.0,58509.16163379599,0
28180.29388057756,68008.3825378382,33.0,1.0,17.0,4.0,257223.0574256116,2.0,455024.0551694333,0
23565.047998365502,11830.881764797075,31.0,0.0,17.0,2.0,512980.1097544324,23.0,341799.29541727784,0
61447.76021154307,18502.273579250286,68.0,1.0,5.0,5.0,358704.47008410306,10.0,418708.9353642773,1
20608.72444291708,50291.3104152691,77.0,1.0,14.0,5.0,156674.94162308285,23.0,163792.70447130833,0
140662.9485208243,0.0,58.0,3.0,7.0,0.0,979502.6111163947,19.0,494655.9956037172,0
45625.51626285871,37688.86394589013,25.0,4.0,20.0,6.0,264278.1407410041,3.0,106523.816724803,0
69182.5992895927,68629.87914205503,66.0,4.0,19.0,1.0,648027.8436611651,17.0,106076.6026067238,1
91977.34620708636,0.0,43.0,0.0,12.0,4.0,598014.1711398539,10.0,205113.55104676005,1
77589.66760587422,0.0,32.0,1.0,9.0,6.0,286409.0431663421,7.0,390700.7211067761,1
139972.64282366843,0.0,39.0,4.0,20.0,8.0,0.0,8.0,263926.6721421132,0
129542.3001184611,0.0,60.0,1.0,12.0,2.0,578180.8551837944,15.0,379136.58167864446,0
55528.73628423573,42214.50829448928,26.0,2.0,20.0,6.0,165521.90789963093,9.0,82586.25190049184,1
125873.77448306256,0.0,45.0,2.0,1.0,2.0,497617.0616955642,7.0,284141.6890314243,0
90038.21653986681,0.0,80.0,1.0,18.0,6.0,204914.9279676188,1.0,117102.41035081714,0
43368.38584612693,38903.28285614628,31.0,4.0,14.0,7.0,66072.43094458549,11.0,60679.4486428906,0
