Command: java -Xmx4g -cp /content/drive/Othercomputers/Laptop-CIn/Downloads/DSL-AG-hybrid/erulesd2s.jar:/content/drive/Othercomputers/Laptop-CIn/Downloads/DSL-AG-hybrid/lib/JCLEC4-base-1.0-jar-with-dependencies.jar moa.DoTask EvaluateInterleavedTestThenTrain -s (ArffFileStream -f /content/drive/Othercomputers/Laptop-CIn/Downloads/DSL-AG-hybrid/experiments_balanced_phase1/batch_4/WAVEFORM_Abrupt_Simple/run_1/erulesd2s_arff/WAVEFORM_Abrupt_Simple.arff) -l (moa.classifiers.evolutionary.EvolutionaryRuleLearner -s 25 -g 50 -r 5) -f 2000 -d /content/drive/Othercomputers/Laptop-CIn/Downloads/DSL-AG-hybrid/experiments_balanced_phase1/batch_4/WAVEFORM_Abrupt_Simple/run_1/erulesd2s_run/erulesd2s_output.csv

Duration: 416.4s

Return code: 0

STDOUT:

Dataset metadata
Attributes: 41
Classes:    3
populationSize 25
numberGenerations 50
numberRulesClass 5
numberWindows 5
fadingFactor 0.5
learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),NumberRules,NumberConditions,NumberNodes
2000.0,55.660747531,0.0,2000.0,39.6,9.522630764327799,7.005388760585072,7.219662058371743,2000.0,0.0,15.0,20.0,66.0
4000.0,110.358144945,0.0,4000.0,38.525,7.925700646008484,7.067271352985633,5.495772482705611,4000.0,0.0,15.0,23.0,77.0
6000.0,164.872475928,0.0,6000.0,38.93333333333333,8.426819495240327,9.351806036615537,7.451376610255112,6000.0,0.0,15.0,22.0,73.0
8000.0,219.043786474,0.0,8000.0,38.800000000000004,8.146673403077573,8.639671580518755,6.725090493427323,8000.0,0.0,15.0,26.0,89.0
10000.0,272.929050238,0.0,10000.0,38.92,8.402419423821824,8.329581269698332,6.961157654226955,10000.0,0.0,15.0,25.0,85.0


STDERR:

{M}assive {O}nline {A}nalysis
Version:  20.07 July 2020
Copyright: (C) 2007-2020 University of Waikato, Hamilton, New Zealand
Web: http://moa.cms.waikato.ac.nz/

- 0.00s [running] Preparing option stream...                                   
\ 0.75s [running] 0.31% Evaluating learner...                                  
| 1.46s [running] 0.42% Evaluating learner...                                  
/ 2.17s [running] 0.42% Evaluating learner...                                  
- 2.87s [running] 0.74% Evaluating learner...                                  
\ 3.56s [running] 0.96% Evaluating learner...                                  
| 4.23s [running] 1.28% Evaluating learner...                                  
/ 4.91s [running] 1.49% Evaluating learner...                                  
- 5.58s [running] 1.82% Evaluating learner...                                  
\ 6.24s [running] 1.92% Evaluating learner...                                  
| 6.90s [running] 2.25% Evaluating learner...                                  
/ 7.56s [running] 2.46% Evaluating learner...                                  
- 8.22s [running] 2.78% Evaluating learner...                                  
\ 8.87s [running] 3.00% Evaluating learner...                                  
| 9.52s [running] 3.32% Evaluating learner...                                  
/ 10.17s [running] 3.43% Evaluating learner...                                 
- 10.83s [running] 3.75% Evaluating learner...                                 
\ 11.48s [running] 3.97% Evaluating learner...                                 
| 12.12s [running] 4.29% Evaluating learner...                                 
/ 12.76s [running] 4.50% Evaluating learner...                                 
- 13.39s [running] 4.72% Evaluating learner...                                 
\ 14.03s [running] 4.72% Evaluating learner...                                 
| 14.67s [running] 4.93% Evaluating learner...                                 
/ 15.32s [running] 5.26% Evaluating learner...                                 
- 15.97s [running] 5.47% Evaluating learner...                                 
\ 16.62s [running] 5.79% Evaluating learner...                                 
| 17.26s [running] 6.01% Evaluating learner...                                 
/ 17.90s [running] 6.22% Evaluating learner...                                 
- 18.56s [running] 6.44% Evaluating learner...                                 
\ 19.21s [running] 6.76% Evaluating learner...                                 
| 19.87s [running] 6.98% Evaluating learner...                                 
/ 20.52s [running] 7.30% Evaluating learner...                                 
- 21.17s [running] 7.51% Evaluating learner...                                 
\ 21.83s [running] 7.73% Evaluating learner...                                 
| 22.49s [running] 7.94% Evaluating learner...                                 
/ 23.16s [running] 8.26% Evaluating learner...                                 
- 23.82s [running] 8.26% Evaluating learner...                                 
\ 24.47s [running] 8.48% Evaluating learner...                                 
| 25.12s [running] 8.80% Evaluating learner...                                 
/ 25.77s [running] 9.02% Evaluating learner...                                 
- 26.43s [running] 9.23% Evaluating learner...                                 
\ 27.08s [running] 9.45% Evaluating learner...                                 
| 27.74s [running] 9.77% Evaluating learner...                                 
/ 28.40s [running] 9.98% Evaluating learner...                                 
- 29.06s [running] 10.31% Evaluating learner...                                
\ 29.71s [running] 10.41% Evaluating learner...                                
| 30.38s [running] 10.74% Evaluating learner...                                
/ 31.05s [running] 10.95% Evaluating learner...                                
- 31.71s [running] 11.27% Evaluating learner...                                
\ 32.37s [running] 11.49% Evaluating learner...                                
| 33.03s [running] 11.81% Evaluating learner...                                
/ 33.70s [running] 11.92% Evaluating learner...                                
- 34.36s [running] 12.24% Evaluating learner...                                
\ 35.02s [running] 12.46% Evaluating learner...                                
| 35.67s [running] 12.78% Evaluating learner...                                
/ 36.33s [running] 12.99% Evaluating learner...                                
- 36.99s [running] 13.32% Evaluating learner...                                
\ 37.65s [running] 13.42% Evaluating learner...                                
| 38.32s [running] 13.75% Evaluating learner...                                
/ 38.98s [running] 13.96% Evaluating learner...                                
- 39.63s [running] 14.28% Evaluating learner...                                
\ 40.29s [running] 14.50% Evaluating learner...                                
| 40.94s [running] 14.82% Evaluating learner...                                
/ 41.60s [running] 14.93% Evaluating learner...                                
- 42.26s [running] 15.25% Evaluating learner...                                
\ 42.92s [running] 15.46% Evaluating learner...                                
| 43.58s [running] 15.79% Evaluating learner...                                
/ 44.23s [running] 16.00% Evaluating learner...                                
- 44.89s [running] 16.22% Evaluating learner...                                
\ 45.54s [running] 16.43% Evaluating learner...                                
| 46.20s [running] 16.75% Evaluating learner...                                
/ 46.88s [running] 16.75% Evaluating learner...                                
- 47.54s [running] 16.97% Evaluating learner...                                
\ 48.20s [running] 17.29% Evaluating learner...                                
| 48.86s [running] 17.51% Evaluating learner...                                
/ 49.52s [running] 17.72% Evaluating learner...                                
- 50.18s [running] 17.94% Evaluating learner...                                
\ 50.83s [running] 18.26% Evaluating learner...                                
| 51.48s [running] 18.47% Evaluating learner...                                
/ 52.14s [running] 18.80% Evaluating learner...                                
- 52.79s [running] 19.01% Evaluating learner...                                
\ 53.44s [running] 19.23% Evaluating learner...                                
| 54.10s [running] 19.44% Evaluating learner...                                
