@relation AGRAWAL_Abrupt_Chain_Long

@attribute attr0 numeric
@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute class {0,1}

@data
128935.5243110216,0.0,69.0,2.0,3.0,8.0,0.0,6.0,217276.38538334396,0
46367.3323626584,16255.40768396141,70.0,1.0,20.0,5.0,339138.98561181105,24.0,496626.2952111054,1
93299.55829691024,0.0,78.0,0.0,9.0,1.0,679831.8924130108,25.0,45325.53178930537,0
55721.62341151751,61167.64218976397,43.0,0.0,10.0,1.0,804944.168436751,24.0,475814.5863777049,0
38102.8342331349,54097.766713500016,56.0,0.0,11.0,0.0,543452.6220448788,11.0,98208.44480628926,0
104877.23505447098,0.0,43.0,1.0,3.0,3.0,334014.794583505,22.0,379206.5999790379,1
105800.31069077476,0.0,61.0,3.0,3.0,1.0,430532.51430092665,18.0,297678.53672135115,0
117615.86531216552,0.0,24.0,3.0,6.0,0.0,1177101.5489950702,13.0,312649.3558317555,0
63883.66778900154,61106.117768340046,32.0,2.0,2.0,1.0,520257.1538109275,9.0,266944.2574425189,1
133792.18945637037,0.0,45.0,3.0,10.0,4.0,354452.7311276128,20.0,12060.180644015873,0
32721.140697804087,15014.817092566314,64.0,0.0,20.0,0.0,634931.4553615712,19.0,130068.9280913498,1
39019.391867612736,31591.345415533244,47.0,0.0,15.0,7.0,56088.441877624406,25.0,67148.53052061182,0
89606.89366817806,0.0,78.0,2.0,2.0,5.0,404980.5495972043,1.0,375379.99909719394,0
141405.08001241897,0.0,64.0,1.0,4.0,5.0,435198.3515616354,21.0,239613.2049450876,0
132326.52446565853,0.0,61.0,1.0,1.0,5.0,161673.98601741236,3.0,122051.57009218588,0
74484.75138616079,26658.677580571835,38.0,4.0,14.0,4.0,427088.7376464575,29.0,404215.8106315982,1
111158.7429076897,0.0,79.0,0.0,10.0,8.0,0.0,9.0,192231.76576443028,0
126113.5428905127,0.0,23.0,4.0,12.0,8.0,0.0,14.0,462091.0892422885,0
104969.40344278234,0.0,74.0,2.0,19.0,4.0,224665.9664975378,24.0,195993.18336948677,0
113390.29079020197,0.0,68.0,3.0,10.0,3.0,660177.484530714,29.0,230740.19438646297,0
149485.30528669612,0.0,68.0,2.0,4.0,0.0,795325.4121013274,18.0,178717.55115835863,0
106498.63014730904,0.0,56.0,2.0,1.0,0.0,989661.7049380158,3.0,194141.9310602497,1
125527.49127653507,0.0,55.0,3.0,14.0,8.0,0.0,28.0,328472.73935011553,0
86866.82856057516,0.0,50.0,2.0,10.0,0.0,1066219.7998546597,22.0,387369.01870230015,1
76823.68220881918,0.0,78.0,0.0,5.0,0.0,826959.3518443493,2.0,199012.00280172797,0
117451.8941328802,0.0,49.0,0.0,8.0,3.0,314930.8642686687,21.0,488215.6641831523,1
61744.176247638825,47516.75023706265,76.0,1.0,11.0,0.0,433645.073248447,29.0,169782.79568764233,1
101439.47469858004,0.0,77.0,1.0,3.0,5.0,180664.21981984252,30.0,321762.91599457816,0
105132.16003009932,0.0,78.0,0.0,8.0,0.0,1042259.6832671056,12.0,315041.8787869992,0
34298.731086121334,76365.6116006546,51.0,0.0,20.0,0.0,411099.7945544038,21.0,281330.3807392844,0
134384.46412077677,0.0,73.0,4.0,18.0,2.0,481052.2617169322,19.0,123755.64800256866,0
137925.64323795337,0.0,70.0,2.0,1.0,8.0,0.0,1.0,45554.559712931376,0
42087.34219995618,44392.71045548061,76.0,3.0,3.0,6.0,148174.25493195208,24.0,385560.100319515,1
36366.16728122488,73613.17954096862,72.0,3.0,5.0,1.0,552686.4602443821,13.0,412470.4887643936,1
41826.835489261175,67901.08561349043,37.0,3.0,15.0,6.0,214396.45247412063,10.0,371862.9647773791,0
82911.02884375933,0.0,36.0,3.0,5.0,5.0,289284.8366698406,30.0,169461.44560181937,1
93828.67117141587,0.0,24.0,0.0,1.0,2.0,477924.94610337255,23.0,221446.7390295398,1
35371.62734117777,68830.5053903493,41.0,3.0,11.0,0.0,818027.9058273147,7.0,452227.0503161219,0
57984.38553051021,40684.39262226904,51.0,2.0,15.0,6.0,169054.6340569058,23.0,379454.33259485255,0
96997.8506180122,0.0,21.0,0.0,1.0,2.0,878790.9427476444,20.0,141671.36529562235,1
53408.23875290258,37050.79871765061,22.0,1.0,14.0,3.0,609856.1876206279,27.0,388814.38123658375,1
116016.95634052152,0.0,22.0,2.0,20.0,6.0,199313.97459769013,14.0,74116.60343373766,0
72391.44139421955,51394.72079867341,22.0,4.0,8.0,7.0,98240.55941153388,6.0,449450.17733296886,1
53970.18026458664,22299.03328117927,69.0,0.0,20.0,6.0,140428.6048104709,1.0,291719.26740277937,1
112803.0845099585,0.0,29.0,4.0,12.0,7.0,82740.19156171974,11.0,289599.3520596032,0
36137.91759914558,62534.48692741521,20.0,1.0,18.0,3.0,635163.3198253684,22.0,273562.95745452587,0
97812.6002216527,0.0,33.0,4.0,7.0,0.0,725126.7353726596,22.0,223656.2764994712,1
71740.45227645498,17936.39953088266,33.0,4.0,15.0,4.0,565371.2828595373,20.0,496571.3863688335,1
135162.3467470334,0.0,23.0,1.0,7.0,7.0,125814.59826557606,25.0,488287.4612084926,0
67232.96994816478,69533.40519267257,63.0,4.0,1.0,3.0,644627.469350718,13.0,64813.50779214162,1
104145.24931834254,0.0,75.0,3.0,2.0,0.0,478172.59465686703,20.0,118550.59389365865,0
101928.35367500616,0.0,73.0,4.0,3.0,2.0,362146.4984347007,2.0,410848.7004708584,0
137855.78865535877,0.0,42.0,2.0,13.0,1.0,926921.2321076328,13.0,219403.83907782484,0
116663.74002454129,0.0,23.0,2.0,18.0,0.0,868107.7997089552,29.0,317235.5353812315,0
85463.23330105603,0.0,77.0,4.0,6.0,0.0,491009.6918109365,18.0,468090.37939993874,0
86543.42948276293,0.0,70.0,2.0,16.0,0.0,485264.6697741583,17.0,423915.9893526806,0
82079.26700368422,0.0,20.0,2.0,14.0,7.0,121621.4739780726,19.0,332635.1692152499,1
78811.91700614373,0.0,35.0,4.0,8.0,7.0,103390.45675700618,18.0,15159.353401631826,1
149387.65680383233,0.0,61.0,4.0,20.0,7.0,96718.70576807184,2.0,14908.445844648011,0
32698.68172660261,10907.408336819211,33.0,1.0,18.0,2.0,429380.8671103767,6.0,441411.5121927976,0
88478.76214230029,0.0,68.0,3.0,18.0,0.0,1000934.9418156684,9.0,428844.5175406965,0
97826.88551475736,0.0,20.0,4.0,12.0,6.0,258457.7320489145,8.0,236031.019587964,1
27388.331331758123,13596.12696173706,23.0,4.0,20.0,7.0,111404.73659574369,7.0,186910.2807824642,0
118049.98874803208,0.0,28.0,0.0,8.0,5.0,408057.496643341,6.0,414766.2883713612,0
26237.77388912641,21364.56213098741,64.0,2.0,1.0,8.0,0.0,30.0,222313.9811798644,1
140712.5616634647,0.0,27.0,0.0,10.0,8.0,0.0,28.0,293681.8659154491,0
85650.16476391841,0.0,57.0,4.0,2.0,6.0,199876.98716809653,10.0,369794.3068591058,1
85356.75917619381,0.0,37.0,4.0,19.0,2.0,767305.5552233779,16.0,234344.3475901221,1
37825.64434897907,83923.41681438565,51.0,0.0,17.0,0.0,971847.6629500987,3.0,397342.8385698082,0
76638.76519407808,0.0,38.0,1.0,12.0,5.0,341027.9614977516,18.0,404790.1658010396,1
60437.40559794909,59204.40404232826,73.0,1.0,10.0,8.0,0.0,12.0,10045.646763932382,1
109914.39360865152,0.0,47.0,1.0,17.0,4.0,540668.8796827842,20.0,334114.360960145,1
