@relation AGRAWAL_Abrupt_Simple_Severe

@attribute attr0 numeric
@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute class {0,1}

@data
41837.38506095029,37515.83922526224,37.0,0.0,6.0,3.0,392240.63649705815,29.0,165981.2971652444,0
89776.46804869027,0.0,57.0,1.0,9.0,4.0,356076.7674564761,4.0,480882.8589876671,1
53143.820598861865,53429.14971993563,37.0,1.0,13.0,5.0,273088.35427476035,15.0,315702.4984731657,1
138376.03797991324,0.0,59.0,0.0,7.0,5.0,410598.85019740346,6.0,430716.6500050096,0
26886.112756536302,23137.051262212903,76.0,1.0,5.0,1.0,755085.1086322557,10.0,219048.88143371735,1
136721.92707985488,0.0,26.0,3.0,15.0,5.0,278062.4159249337,24.0,416185.6804718544,0
94347.0721154844,0.0,53.0,2.0,9.0,1.0,449586.6501846453,8.0,235322.32008948,1
148889.1584270021,0.0,55.0,1.0,2.0,5.0,390327.50260527065,18.0,211578.32907036995,0
31028.675645529707,16616.645422115347,57.0,2.0,11.0,7.0,108438.00376436536,15.0,238524.87522966135,0
110157.06582462956,0.0,26.0,3.0,12.0,0.0,503866.1721314966,4.0,188960.7212471204,0
112127.4753728883,0.0,32.0,1.0,20.0,8.0,0.0,21.0,109824.2275200864,0
92674.6258777257,0.0,28.0,0.0,8.0,4.0,273019.48282649735,27.0,268532.94800074154,1
38476.88741323347,19442.69046580582,20.0,1.0,3.0,0.0,968495.4917254656,24.0,293952.71973328345,0
86226.82681800942,0.0,41.0,1.0,3.0,2.0,492679.9488984844,12.0,291145.4421983102,1
20547.707002033887,25721.0163925826,56.0,2.0,6.0,8.0,0.0,27.0,217532.32441608777,0
55488.788228994,32975.90660249119,20.0,0.0,7.0,2.0,326607.9092411623,12.0,452652.1913844831,1
113857.39426904004,0.0,51.0,3.0,16.0,8.0,0.0,18.0,434612.5319941689,1
90596.09894996276,0.0,61.0,1.0,18.0,4.0,414684.8528953413,16.0,259005.05161620525,0
148647.3340189532,0.0,32.0,4.0,15.0,8.0,0.0,17.0,36457.36857564435,0
132523.83416619667,0.0,45.0,2.0,5.0,2.0,802166.7926906652,11.0,165789.4351659317,0
54560.02359800034,19633.772263488117,79.0,1.0,7.0,6.0,269641.0854208892,16.0,11747.255931980835,1
44700.77202616646,68505.1515676987,72.0,1.0,11.0,0.0,1075452.9252793516,3.0,18551.993899497356,1
136067.4258493059,0.0,61.0,2.0,10.0,7.0,116148.35041239692,10.0,42130.3258058246,0
133765.6467182816,0.0,23.0,1.0,20.0,7.0,138318.87744893675,10.0,162612.8672127923,0
20676.632231841624,84421.80746610534,80.0,3.0,15.0,6.0,237058.8057975104,10.0,37148.32771306737,0
33045.51523438214,62778.22466815968,33.0,2.0,7.0,4.0,436902.1919247986,7.0,21242.494076894996,0
99926.88984533888,0.0,32.0,4.0,1.0,5.0,418612.1451522434,29.0,49672.84245888543,1
49996.38347648512,62344.17132056969,46.0,1.0,13.0,8.0,0.0,4.0,197484.6300992758,0
149212.68141088553,0.0,61.0,4.0,6.0,1.0,545465.4202213004,5.0,320493.28578536754,0
131402.89591242917,0.0,76.0,3.0,11.0,7.0,85553.96365401063,27.0,139861.20969807374,0
85408.35153504492,0.0,52.0,1.0,3.0,1.0,723161.3320629029,22.0,372129.3823452504,1
115041.22438007584,0.0,36.0,4.0,1.0,4.0,211745.6228514193,3.0,307479.48821258056,0
29745.35435527536,81279.43175446818,73.0,1.0,7.0,6.0,243744.9958445147,18.0,56420.165341953376,1
144041.9149724976,0.0,52.0,1.0,5.0,8.0,0.0,3.0,95111.85022723656,0
113052.07106722088,0.0,65.0,3.0,14.0,2.0,461586.94514571305,29.0,23922.18613483105,0
30343.99060749092,55633.9382651132,35.0,3.0,12.0,3.0,522690.9868870956,2.0,372919.6376398596,0
100124.23138982768,0.0,46.0,2.0,7.0,4.0,336544.01913943,8.0,424799.9710508457,1
139729.88492413535,0.0,73.0,4.0,13.0,3.0,342472.57239083655,26.0,470993.18065391737,0
102230.47831844645,0.0,76.0,1.0,8.0,0.0,806109.2235604892,30.0,415292.6628004623,0
122564.82149246376,0.0,47.0,0.0,4.0,0.0,714725.4852395307,21.0,167792.00245045222,1
37129.42348348126,69154.62278725242,62.0,1.0,8.0,7.0,142142.66913670875,12.0,300347.0892876528,1
119826.42333499098,0.0,43.0,0.0,15.0,5.0,163475.13920900074,21.0,21305.97675142848,1
35368.58742790483,54995.768909570674,67.0,3.0,11.0,8.0,0.0,13.0,356736.9793217015,1
140407.35143577086,0.0,68.0,0.0,10.0,3.0,260545.6954361497,29.0,36612.91811614231,0
69434.23956709886,83558.65770824671,72.0,4.0,18.0,0.0,629844.9977404575,30.0,388379.8765099978,1
47162.04032602821,69457.39826084735,28.0,2.0,19.0,4.0,370015.4856804654,30.0,429025.3098619264,0
46808.41985897084,45005.07136491652,61.0,4.0,9.0,7.0,117826.94872072888,5.0,229164.6885154625,1
23624.54884259281,14206.275087664424,67.0,4.0,5.0,7.0,95528.6120754576,7.0,61759.252467736784,0
51113.246486792166,68008.02589310284,24.0,0.0,6.0,4.0,513489.8858952186,21.0,332676.3070382248,1
42850.36907688517,12534.168233665512,47.0,3.0,4.0,0.0,704559.0843503566,12.0,284547.0856144004,0
99196.97322927653,0.0,65.0,0.0,9.0,8.0,0.0,11.0,196770.371123144,0
90025.37429556658,0.0,24.0,0.0,6.0,1.0,741940.8456463655,1.0,299695.42235741485,1
32432.172212432044,75455.71125757253,71.0,3.0,18.0,3.0,744585.7184357318,26.0,146586.51439695098,1
137377.32068723545,0.0,61.0,1.0,14.0,1.0,886429.8733481871,9.0,381431.9827267336,0
46974.39128008931,72019.75436143146,57.0,0.0,20.0,6.0,238143.43434826692,26.0,470263.5886520383,0
102610.76104567504,0.0,62.0,0.0,14.0,6.0,246758.43896366577,21.0,273587.3554161568,0
102882.74631477088,0.0,38.0,0.0,8.0,1.0,754274.2415503052,5.0,120413.16652755436,0
37502.03267466781,72659.13258835174,25.0,3.0,11.0,4.0,552797.8887847477,8.0,295429.4829605157,0
46058.593584851056,20068.825737366045,34.0,0.0,15.0,8.0,0.0,12.0,357399.70812279824,0
58059.552950315,24979.48362058167,45.0,2.0,18.0,2.0,563456.0967269994,11.0,401990.8576492987,0
92258.68270837568,0.0,72.0,3.0,5.0,8.0,0.0,15.0,342553.3721200564,0
129862.68801859324,0.0,78.0,1.0,7.0,6.0,124236.56648849178,17.0,163370.97426866222,0
114001.18722966034,0.0,38.0,0.0,19.0,4.0,457768.7610774648,21.0,53424.23275189429,0
57915.27832919907,72191.59739737299,34.0,0.0,14.0,3.0,550278.4325794434,28.0,153273.86445939867,1
86329.31420751449,0.0,27.0,2.0,1.0,0.0,771254.4325998246,12.0,43697.978285041405,1
42066.140011905176,78539.81027422674,75.0,3.0,1.0,8.0,0.0,23.0,85325.22514849933,1
68910.167658805,10592.183378965943,68.0,0.0,8.0,3.0,609060.0920133322,15.0,467369.3237460791,1
