@relation IntelLabSensors

@attribute attr0 numeric
@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute class {-9223372036854775808,1,2,3,4,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,36,42,43,44,47,49,53,54,56}

@data
17495.0,19.6944,38.7016,101.2,2.61639,7
37672.0,19.8022,42.9189,2.61639,2.35683,28
5004.0,19.8512,40.2638,97.52,2.67532,21
64381.0,21.2232,49.0969,45.08,2.33827,23
47604.0,19.9884,45.8353,1258.56,2.45421,13
36162.0,122.153,23.4896,20.24,2.2497,26
39787.0,21.5466,44.4157,11.04,2.47467,6
9100.0,16.6858,45.6708,0.92,2.62796,26
2101.0,21.8112,35.7494,235.52,2.71196,23
18527.0,22.4874,37.162,655.04,2.53812,17
22685.0,21.2428,42.9856,2.73696,2.35683,28
41954.0,27.6814,34.6403,382.72,2.54901,19
50975.0,22.4972,35.0915,79.12,2.49546,7
29147.0,22.3992,34.7445,0.92,2.58226,23
10227.0,22.7128,28.9018,1847.36,2.69964,8
63642.0,18.7438,49.6135,2.4644,2.35683,28
26014.0,23.4576,40.8381,2.76,2.36622,18
45647.0,20.6254,43.7518,43.24,2.4644,19
49093.0,1.731,-3.91901,217.12,2.04096,6
35318.0,122.153,18.4736,235.52,2.28431,23
53037.0,122.153,-3.91901,861.12,2.21612,17
48026.0,122.153,-3.91901,397.44,2.18353,1
57594.0,122.153,-4.0,713.92,2.11359,25
31935.0,21.0566,43.5522,0.92,2.56,10
13100.0,34.953,17.428,165.6,2.80151,21
48271.0,122.153,-3.91901,1023.04,2.17553,22
14582.0,19.0868,38.5311,2.69964,2.69964,9
62484.0,24.4376,38.3946,235.52,2.39484,22
44308.0,27.2208,31.8776,150.88,2.54901,27
30956.0,21.9582,46.3281,1.38,2.59354,8
51188.0,23.5262,34.8139,43.24,2.49546,1
5122.0,19.4396,41.1751,4.14,2.49546,18
41163.0,23.5752,36.1293,2.63964,2.35683,28
22773.0,21.1154,42.9856,60.72,2.60491,10
64894.0,57.5518,41.4444,309.12,2.33827,21
335.0,17.2934,40.568,101.2,2.67532,25
4588.0,21.9288,37.5051,743.36,2.68742,25
63666.0,20.449,44.846,2.3,2.39484,3
33668.0,116.313,46.6232,353.28,2.30202,26
44382.0,122.153,-3.91901,43.24,2.20788,3
57161.0,122.153,-3.91901,412.16,2.1364,7
42223.0,26.4858,34.8139,250.24,2.57108,24
63449.0,19.5866,49.8713,0.92,2.37568,26
20220.0,19.3122,45.0442,71.76,2.60491,27
4709.0,19.9688,41.5116,566.72,2.68742,8
23836.0,22.4776,38.4629,1847.36,2.62796,20
32501.0,19.4984,37.7792,1847.36,2.52732,16
26380.0,20.988,41.0404,114.08,2.60491,8
40106.0,21.1938,44.4157,39.56,2.41431,17
38141.0,19.2044,45.1103,75.44,2.49546,10
58732.0,20.645,48.0593,1847.36,2.39484,11
58119.0,19.322,45.8353,10.12,2.38522,2
39117.0,122.153,-3.91901,264.96,2.15188,13
38151.0,19.1848,45.3743,235.52,2.56,9
21743.0,29.6316,27.9011,1847.36,2.69964,25
15953.0,24.9276,31.5254,250.24,2.69964,3
24613.0,27.946,31.5959,353.28,2.67532,3
29478.0,122.153,2.24986,17.48,2.32,18
37745.0,1.731,-3.91901,1.38,2.17553,6
59050.0,23.0264,42.9189,537.28,2.41431,2
54078.0,22.6638,38.872,11.04,2.47467,7
4623.0,21.9876,39.1103,101.2,2.7244,14
20219.0,19.0378,44.7467,2.60491,2.35683,53
51383.0,24.7022,32.44,150.88,2.47467,21
28807.0,22.0464,38.0187,5.52,2.58226,13
40142.0,122.153,-3.91901,121.44,2.22442,10
43515.0,20.4686,43.2191,18.4,2.50599,3
41987.0,27.2894,35.2995,861.12,2.47467,17
42400.0,22.9676,43.3858,16.56,2.47467,16
799.0,16.235,44.3162,478.4,2.65143,11
21026.0,21.4486,39.2463,713.92,2.60491,19
22482.0,23.095,39.1443,209.76,2.62796,23
18564.0,22.0464,37.4708,713.92,2.59354,6
60833.0,19.9198,40.6355,82.8,2.37568,27
44959.0,122.153,-3.91901,250.24,2.18353,24
3884.0,20.0276,39.2123,338.56,2.68742,3
31461.0,23.634,41.1078,209.76,2.59354,23
52543.0,21.1938,35.4726,136.16,2.4644,26
43443.0,20.1942,43.3191,3.68,2.47467,21
37032.0,23.4086,36.3707,93.84,2.51661,22
25741.0,22.2326,40.7031,114.08,2.61639,8
54687.0,122.153,-3.91901,802.24,2.14412,25
42081.0,28.2694,32.5803,566.72,2.59354,24
35654.0,122.153,24.6548,0.92,2.17553,11
55353.0,19.5866,45.2423,11.96,2.42416,26
44494.0,122.153,-3.91901,10.12,2.1997,7
36042.0,122.153,30.7133,1.38,2.25825,24
1901.0,21.8896,35.5418,368.0,2.66332,6
58260.0,18.0872,49.3231,97.52,2.36622,11
3371.0,16.7544,45.1763,0.46,2.47467,18
13498.0,24.124,30.8194,86.48,2.68742,1
5517.0,16.921,47.4731,2.62796,2.35683,54
2945.0,18.685,39.62,43.24,2.67532,1
51673.0,22.9872,34.188,12.88,2.40453,6
50529.0,22.4188,35.0222,478.4,2.45421,2
63994.0,18.979,50.3537,1.38,2.38522,14
53492.0,122.153,114.894,2.20788,2.35683,28
57800.0,19.8218,44.7137,2.3,2.42416,3
8551.0,19.4004,40.5342,143.52,2.65143,19
57175.0,21.2232,43.4191,45.08,2.4341,1
13902.0,22.0856,35.0568,101.2,2.63964,4
5753.0,18.5184,43.6853,114.08,2.60491,6
42882.0,20.1746,45.9011,2.47467,2.2581970588235296,13
41218.0,20.3902,44.846,1847.36,2.49546,12
41591.0,28.2106,31.3491,537.28,2.59354,1
4361.0,21.9288,39.0422,890.56,2.69964,20
53347.0,21.8994,40.2976,456.32,2.48502,14
11977.0,17.8716,31.3139,0.92,2.63964,20
53894.0,22.0464,39.8574,90.16,2.45421,27
41347.0,23.0656,39.5181,1317.44,2.47467,6
46598.0,122.153,-4.0,537.28,2.14412,11
39020.0,122.153,-3.83804,6.9,2.21612,26
9188.0,16.578,43.6521,0.46,2.62796,25
43247.0,20.3608,42.9189,0.46,2.50599,25
61304.0,20.3804,37.6422,250.24,2.40453,3
26619.0,25.888,41.478,35.88,2.34751,18
20958.0,18.9496,44.846,1023.04,2.65143,9
52520.0,122.153,-3.91901,121.44,2.23278,9
46696.0,122.153,-3.91901,0.92,2.15971,12
21522.0,23.9672,38.4629,655.04,2.62796,10
31609.0,21.282,47.0159,0.92,2.57108,13
12720.0,27.5246,23.0511,279.68,2.7244,19
54633.0,22.6932,40.0268,158.24,2.37568,19
9813.0,23.4478,34.1532,397.44,2.67532,2
8224.0,20.7332,42.384,143.52,2.36622,15
38183.0,20.694,41.0404,507.84,2.48502,19
30982.0,23.4282,43.8515,2.71196,2.35683,28
19762.0,21.3212,40.5004,68.08,2.42416,18
22146.0,23.1244,41.2425,684.48,2.60491,16
22619.0,22.2816,40.2976,114.08,2.60491,21
22236.0,21.7034,44.5482,79.12,2.60491,13
7984.0,21.6054,41.2761,104.88,2.66332,2
6232.0,16.5486,47.3426,82.8,2.62796,25
23225.0,20.5078,41.8476,101.2,2.60491,7
26673.0,24.7512,36.9559,1611.84,2.62796,20
10704.0,21.674,30.7486,20.24,2.68742,3
6874.0,22.4874,37.9503,104.88,2.69964,1
1089.0,20.155,36.8871,1847.36,2.69964,8
348.0,16.4114,43.3191,0.46,2.68742,14
25194.0,24.467,39.7217,17.48,2.65143,20
35584.0,122.153,35.5764,1.38,2.27556,26
26646.0,20.7136,42.183,279.68,2.59354,25
1750.0,23.6242,32.6505,279.68,2.7244,21
4057.0,21.184,37.8477,713.92,2.58226,17
18515.0,29.3572,24.4367,1140.8,2.7244,24
43804.0,18.4792,48.1243,0.92,2.37568,11
2481.0,19.861,39.8574,97.52,2.68742,25
36802.0,24.0652,35.7494,79.12,2.54901,27
64558.0,20.2236,46.7215,426.88,2.33827,2
30961.0,23.487,43.6188,114.08,2.60491,26
16079.0,22.409,36.8871,655.04,2.65143,11
51785.0,22.8402,34.0139,12.88,2.40453,6
30673.0,122.153,54.7638,397.44,2.31097,24
37698.0,122.153,46.0655,3.22,2.18353,22
5858.0,18.4204,44.4488,97.52,2.65143,7
1025.0,19.9296,36.5774,309.12,2.68742,7
59359.0,23.5948,41.0404,2.54901,2.35683,28
37242.0,122.153,5.95,861.12,2.30202,26
23377.0,19.812,44.1172,2.37568,2.376423703703704,18
58115.0,17.5286,49.7424,0.46,2.26687,22
53213.0,122.153,-3.91901,0.92,2.12114,23
61903.0,30.69,26.031,323.84,2.47467,27
1639.0,24.0848,32.2644,353.28,2.73696,21
45644.0,122.153,-4.0,1847.36,2.23278,25
