@relation Shuttle

@attribute attr0 numeric
@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute class {1,2,3,4,5,6,7}

@data
80.0,0.0,84.0,0.0,-40.0,21.0,4.0,125.0,122.0,5
37.0,0.0,102.0,0.0,36.0,4.0,65.0,66.0,2.0,1
51.0,0.0,81.0,-2.0,52.0,1.0,30.0,30.0,0.0,1
43.0,0.0,77.0,-1.0,42.0,-2.0,34.0,36.0,2.0,1
43.0,-1.0,77.0,0.0,44.0,10.0,34.0,33.0,0.0,1
44.0,0.0,86.0,0.0,44.0,23.0,43.0,42.0,0.0,1
81.0,0.0,84.0,4.0,-14.0,0.0,4.0,100.0,96.0,5
42.0,36.0,77.0,0.0,-22.0,0.0,36.0,101.0,64.0,2
51.0,1.0,88.0,0.0,50.0,-7.0,36.0,39.0,2.0,1
37.0,0.0,95.0,0.0,8.0,-24.0,58.0,87.0,30.0,1
84.0,0.0,88.0,0.0,0.0,8.0,3.0,88.0,84.0,5
56.0,-2.0,87.0,1.0,56.0,0.0,31.0,30.0,0.0,1
53.0,0.0,81.0,1.0,52.0,-9.0,28.0,29.0,2.0,1
55.0,0.0,82.0,2.0,-10.0,11.0,26.0,92.0,66.0,4
37.0,0.0,79.0,0.0,36.0,8.0,43.0,43.0,0.0,1
41.0,-5.0,86.0,0.0,38.0,-26.0,45.0,47.0,2.0,1
55.0,-1.0,79.0,-6.0,20.0,-10.0,23.0,58.0,34.0,4
37.0,0.0,76.0,0.0,26.0,-24.0,39.0,50.0,10.0,1
51.0,0.0,87.0,0.0,50.0,-20.0,36.0,38.0,2.0,1
53.0,0.0,80.0,0.0,52.0,-6.0,27.0,28.0,2.0,1
55.0,0.0,96.0,0.0,38.0,-1.0,41.0,57.0,16.0,4
55.0,0.0,77.0,2.0,-30.0,-10.0,22.0,108.0,86.0,4
37.0,0.0,104.0,8.0,18.0,0.0,67.0,86.0,20.0,1
37.0,3.0,94.0,0.0,8.0,-11.0,57.0,86.0,30.0,1
41.0,0.0,82.0,-6.0,38.0,-5.0,41.0,43.0,2.0,1
55.0,0.0,78.0,0.0,8.0,-15.0,23.0,70.0,48.0,4
37.0,0.0,76.0,0.0,36.0,5.0,40.0,40.0,0.0,1
37.0,0.0,76.0,0.0,30.0,-13.0,40.0,45.0,6.0,1
56.0,-1.0,96.0,0.0,50.0,0.0,40.0,47.0,6.0,4
37.0,0.0,106.0,3.0,34.0,2.0,69.0,73.0,4.0,1
45.0,4.0,76.0,0.0,44.0,0.0,31.0,32.0,2.0,1
56.0,0.0,79.0,-7.0,6.0,-6.0,24.0,74.0,50.0,4
58.0,2.0,86.0,0.0,56.0,0.0,28.0,29.0,2.0,1
46.0,0.0,76.0,-4.0,44.0,-30.0,30.0,32.0,2.0,1
56.0,5.0,97.0,0.0,46.0,0.0,41.0,51.0,10.0,4
45.0,3.0,83.0,0.0,44.0,0.0,38.0,39.0,2.0,1
49.0,1.0,83.0,0.0,46.0,-11.0,34.0,37.0,2.0,1
45.0,0.0,88.0,0.0,46.0,31.0,42.0,41.0,0.0,1
45.0,1.0,84.0,0.0,44.0,0.0,39.0,40.0,2.0,1
42.0,-1.0,86.0,0.0,42.0,0.0,44.0,45.0,0.0,1
52.0,0.0,79.0,0.0,52.0,0.0,28.0,28.0,0.0,1
37.0,5.0,83.0,0.0,36.0,0.0,45.0,46.0,2.0,1
49.0,-1.0,83.0,0.0,50.0,0.0,33.0,33.0,0.0,1
43.0,0.0,79.0,-5.0,42.0,0.0,36.0,37.0,2.0,1
37.0,0.0,81.0,0.0,26.0,27.0,44.0,55.0,10.0,1
37.0,0.0,77.0,0.0,16.0,-6.0,40.0,61.0,22.0,1
38.0,0.0,96.0,0.0,38.0,9.0,58.0,57.0,0.0,1
56.0,0.0,77.0,0.0,-18.0,28.0,21.0,95.0,74.0,4
53.0,3.0,80.0,0.0,54.0,18.0,27.0,26.0,0.0,1
49.0,1.0,86.0,0.0,50.0,27.0,38.0,37.0,0.0,1
