@relation AGRAWAL_Stationary

@attribute attr0 numeric
@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute class {0,1}

@data
117674.59389524456,0.0,33.0,2.0,4.0,3.0,261336.5868725791,14.0,46936.40077578592,1
135344.65764333136,0.0,49.0,2.0,6.0,4.0,460678.44161059154,26.0,72607.08714658042,0
40657.934343757806,15836.809587848307,29.0,2.0,11.0,7.0,79851.96012314787,4.0,182431.49587294232,1
49102.91559404871,60643.26865397924,49.0,1.0,19.0,3.0,502661.99453963566,4.0,40727.97660886146,0
87617.86186310886,0.0,21.0,1.0,12.0,2.0,782345.6656153351,19.0,120481.81123852349,1
122393.29108280309,0.0,22.0,0.0,17.0,1.0,691754.482060421,11.0,357705.3725487108,1
91734.0737826539,0.0,20.0,0.0,18.0,5.0,292630.8567460259,8.0,217906.8629462577,1
70407.80984053537,70859.36764395604,45.0,2.0,11.0,3.0,722597.5663752418,28.0,94397.64982202848,0
135062.88827828458,0.0,21.0,0.0,15.0,1.0,1027077.2107120786,10.0,88225.50729390972,1
147274.3509150677,0.0,21.0,3.0,13.0,6.0,107169.66493861622,16.0,96104.42224693071,1
81021.98503619948,0.0,48.0,4.0,12.0,3.0,659961.2955987485,11.0,95918.29147394803,0
134238.9870017186,0.0,75.0,1.0,5.0,2.0,551574.8722865791,26.0,5594.632309011305,1
56312.08047193065,25234.73460160932,39.0,0.0,13.0,4.0,570672.1708242046,30.0,176881.1346818306,1
137468.8657854783,0.0,53.0,2.0,9.0,8.0,0.0,17.0,279804.03001726646,0
73916.56593756503,17881.323208529422,66.0,4.0,15.0,0.0,516747.8162684376,5.0,272573.72396830074,1
115276.28100474997,0.0,20.0,2.0,5.0,8.0,0.0,13.0,475269.2177400274,1
36821.94325871169,18381.13931867625,45.0,0.0,1.0,1.0,457232.0128033131,12.0,260233.2150464496,0
42464.94049226808,14903.341244386089,29.0,4.0,15.0,5.0,271147.0159295225,7.0,412528.0288794257,1
120623.4352379434,0.0,46.0,0.0,13.0,4.0,238613.03566142783,27.0,412091.43656615424,0
64298.28863175308,29828.44186603332,79.0,1.0,9.0,2.0,487696.0448914876,29.0,404492.3725958827,1
117243.6766309322,0.0,45.0,0.0,18.0,1.0,1043590.6650576446,4.0,382801.0401089043,0
39659.83617683736,53674.50435642352,37.0,2.0,9.0,6.0,281183.1798288585,18.0,198561.06563661265,1
58375.08111632047,39996.73924975426,26.0,2.0,18.0,2.0,885006.3281541616,13.0,301827.60369331343,1
24693.493580552524,23092.110363882795,26.0,3.0,7.0,2.0,332262.14897175034,29.0,90881.74071389245,1
23893.25365727922,76904.0038704581,50.0,1.0,1.0,3.0,454634.0721720822,16.0,7636.143377610482,0
104191.00045230232,0.0,25.0,0.0,15.0,1.0,1006197.8673605004,15.0,8214.762642561935,1
83863.3530757848,0.0,58.0,4.0,5.0,4.0,282685.43913687376,1.0,247099.48172216504,0
94758.7157174053,0.0,35.0,1.0,3.0,2.0,878320.5568153131,19.0,221316.545279672,1
21968.855205198863,17544.561913505546,75.0,2.0,12.0,7.0,112875.90422063482,20.0,66160.69924461315,1
39276.53917736417,31371.498742909524,67.0,3.0,4.0,5.0,223682.6010619588,11.0,439006.1279988317,1
