@relation AGRAWAL_Abrupt_Chain_Long

@attribute attr0 numeric
@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute class {0,1}

@data
106445.11212832482,0.0,55.0,0.0,7.0,6.0,162396.40549837117,26.0,444152.8765320648,1
95272.07174393756,0.0,74.0,4.0,14.0,7.0,95655.52584388285,29.0,117374.24827449844,0
134081.88094411016,0.0,79.0,1.0,8.0,3.0,315424.0763584915,28.0,489339.7625686508,0
91158.3492663538,0.0,74.0,0.0,2.0,0.0,986435.1530683478,9.0,421231.4490675585,0
126871.854257314,0.0,79.0,3.0,14.0,6.0,297890.13809535844,8.0,45995.500491497085,0
110390.14263249436,0.0,57.0,1.0,15.0,8.0,0.0,17.0,317325.9583214261,1
20600.229165887093,51024.60220109563,69.0,0.0,20.0,6.0,154541.13526562246,12.0,63330.25352491173,0
48749.8108428611,80290.52406077393,64.0,2.0,4.0,5.0,421480.3828018616,30.0,440503.9436941802,1
41983.81020681984,65505.454926073886,32.0,2.0,18.0,6.0,148422.97784108447,4.0,36071.62763164096,0
82258.0529707465,0.0,28.0,2.0,16.0,5.0,360487.8538484818,9.0,239060.57657709028,1
137845.67053101474,0.0,38.0,3.0,6.0,3.0,562792.9011596265,19.0,420.6276257927577,0
33967.43928553824,57811.296672823184,80.0,1.0,16.0,2.0,376005.8690512944,8.0,362013.3472790934,1
143488.2380690065,0.0,21.0,4.0,8.0,4.0,526513.1769691433,26.0,58656.575453089776,0
67219.11846756272,48806.95534381881,62.0,2.0,10.0,7.0,129112.06388479844,30.0,476929.7128803944,1
103010.8522861767,0.0,42.0,2.0,8.0,4.0,496968.1882492228,10.0,262659.2486897616,1
104651.98850253716,0.0,36.0,4.0,16.0,6.0,105646.13574519474,27.0,62487.49229783246,0
38296.05222562447,43354.164105672,71.0,0.0,20.0,6.0,247677.6615586314,8.0,284198.7014924375,1
39315.8613870368,30108.838083846236,25.0,1.0,5.0,5.0,314189.9333367209,8.0,392343.5666688036,0
32027.035928504745,70622.05802958124,60.0,4.0,2.0,8.0,0.0,9.0,139190.63487082403,1
79285.38825446606,0.0,59.0,0.0,5.0,1.0,956785.0876494012,3.0,33248.68721156787,1
102900.92629927634,0.0,79.0,4.0,10.0,2.0,702343.5532490767,1.0,302031.5430600205,0
83321.01882068804,0.0,73.0,2.0,14.0,4.0,433485.49997816974,26.0,33374.95609923091,0
138862.9837147818,0.0,25.0,2.0,5.0,5.0,231070.19762855265,16.0,218958.3092743557,0
119468.49719463845,0.0,66.0,1.0,6.0,6.0,258868.48454724785,12.0,268216.1916898729,0
36996.702865121886,55304.12645591311,61.0,1.0,2.0,1.0,898864.9701277365,3.0,280905.8703945871,1
26859.858571651337,83242.52962644075,56.0,2.0,12.0,8.0,0.0,10.0,72578.86602918562,0
34824.52418147617,80128.26530110196,27.0,4.0,19.0,8.0,0.0,21.0,264674.91922509874,0
115892.07977206908,0.0,77.0,2.0,2.0,2.0,649637.6146104883,29.0,363796.490339466,0
122389.47407194444,0.0,71.0,2.0,10.0,4.0,530571.44199128,13.0,228647.16472631923,0
123368.9794902689,0.0,30.0,0.0,15.0,5.0,157857.5333737894,21.0,153236.4617291714,0
116577.235592798,0.0,26.0,1.0,6.0,2.0,381383.34652612166,2.0,182239.2151065703,0
61979.02622401186,14868.099665083311,68.0,1.0,4.0,3.0,512684.917050642,26.0,479688.50450365024,1
38552.36950562552,71441.68725487932,51.0,2.0,9.0,8.0,0.0,29.0,128244.64930632168,0
102880.5298429018,0.0,36.0,0.0,17.0,3.0,716539.3510665871,30.0,51937.97851290205,0
128330.43758544796,0.0,72.0,1.0,12.0,3.0,691730.929865864,2.0,319785.4326794907,0
103016.96246702934,0.0,52.0,1.0,15.0,6.0,203703.059283558,12.0,298681.5669515847,1
92617.32621039808,0.0,28.0,0.0,20.0,0.0,853423.6642619355,10.0,444931.4826080856,1
73961.02923192419,43222.98238970086,68.0,4.0,13.0,3.0,411738.1104633006,11.0,446507.895250614,1
102007.8139482052,0.0,59.0,2.0,19.0,4.0,509860.10508316697,23.0,323494.3112562064,1
80192.49441409355,0.0,58.0,1.0,10.0,8.0,0.0,9.0,335910.43469157483,1
47166.78100261607,34296.198856403,51.0,0.0,6.0,2.0,545211.6177757824,14.0,294015.7635291193,0
82469.37086902038,0.0,65.0,0.0,9.0,4.0,393903.4181588873,15.0,196056.04807525311,0
35795.613906034465,38359.25023685788,78.0,0.0,9.0,4.0,253592.43020139783,8.0,442144.3640028695,1
66101.05270889343,53426.9585639079,77.0,1.0,1.0,5.0,422902.06530496734,6.0,351474.5344887607,1
94225.76217159256,0.0,51.0,0.0,1.0,2.0,589228.8886965346,18.0,362307.5768083317,1
55139.78296133012,44201.5077547653,27.0,0.0,5.0,0.0,720940.1861689443,8.0,447969.866943745,1
76618.9515791306,0.0,77.0,3.0,10.0,0.0,921631.2924561428,10.0,109293.87718709694,0
62244.60168868057,80116.933171122,33.0,0.0,9.0,6.0,252513.92034619648,28.0,201836.5073845452,1
50203.70479348184,10386.763823016568,54.0,1.0,1.0,1.0,357210.9470538938,8.0,329334.7104404283,0
101491.67634947613,0.0,40.0,3.0,6.0,1.0,1028265.1978492544,1.0,452932.3453214567,1
87358.47506245584,0.0,35.0,0.0,2.0,7.0,57943.70278838022,19.0,162142.0257026196,1
73331.82495990474,28954.8718926226,25.0,4.0,7.0,4.0,465740.66970587446,8.0,131319.8853036393,1
100469.09547331493,0.0,21.0,0.0,15.0,5.0,347126.95334338467,22.0,458375.0224972295,0
75669.51922777877,0.0,56.0,0.0,17.0,1.0,424486.1750862436,13.0,113777.53388201768,1
63084.433904973564,28492.332151616163,39.0,0.0,3.0,2.0,535154.4865047745,11.0,376328.56785206863,1
114040.68035715431,0.0,38.0,3.0,16.0,1.0,687083.314792625,18.0,97003.37956104748,0
61321.2885909961,74078.85317306392,78.0,2.0,20.0,0.0,848324.5591156426,12.0,357546.6272213043,1
145972.64242382487,0.0,63.0,2.0,14.0,1.0,860215.9158577211,4.0,367071.9086236283,0
53741.012241908495,33910.41813247201,45.0,2.0,2.0,3.0,325184.4521783288,15.0,330322.39564200223,0
147491.55865975458,0.0,46.0,1.0,9.0,1.0,830725.3215366277,26.0,116526.5670821598,0
92823.57750194707,0.0,59.0,2.0,19.0,4.0,362242.122862225,11.0,425716.6965821276,1
58920.445908457055,24141.85283240871,65.0,0.0,12.0,1.0,763829.9902294063,29.0,327610.58888188814,1
94944.14125250708,0.0,40.0,0.0,3.0,6.0,284175.539785615,13.0,495932.5446007128,1
109928.21121952888,0.0,31.0,0.0,19.0,8.0,0.0,12.0,191215.46840655967,0
144362.70574862332,0.0,56.0,0.0,5.0,4.0,302771.2631119521,10.0,334949.1010419497,0
108809.38250836988,0.0,61.0,3.0,18.0,3.0,647173.6338832882,3.0,331528.9974456245,0
41314.86057916041,81175.82698784956,53.0,0.0,10.0,4.0,410994.75035738776,23.0,463813.4096464255,0
50719.358676626434,65958.75675499564,77.0,4.0,15.0,6.0,215123.7380393931,19.0,431602.7266691329,1
74892.57730682279,15339.031066894153,42.0,1.0,1.0,8.0,0.0,30.0,272642.17110915645,0
88291.62413868376,0.0,32.0,3.0,20.0,6.0,273579.28230850905,12.0,363839.497308785,1
46261.69418685156,80281.82621954106,66.0,4.0,10.0,8.0,0.0,9.0,189734.5252605865,1
80676.86191002483,0.0,70.0,1.0,20.0,3.0,642246.104906422,8.0,154067.39149097804,0
95160.7126187894,0.0,72.0,1.0,18.0,0.0,866122.6260705416,26.0,82322.5149071492,0
146884.66578431247,0.0,53.0,0.0,2.0,8.0,0.0,17.0,140681.23608319578,0
48667.11062085909,84093.08894629155,62.0,1.0,2.0,5.0,414494.9456298775,14.0,247225.52155647732,1
