@relation AGRAWAL_Abrupt_Simple_Mild

@attribute attr0 numeric
@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute class {0,1}

@data
149081.40987101884,0.0,67.0,3.0,4.0,8.0,0.0,6.0,124370.02132267306,0
142971.8842063098,0.0,62.0,3.0,11.0,0.0,930702.5982673595,17.0,435470.94723109086,0
115969.95244799952,0.0,31.0,0.0,5.0,8.0,0.0,14.0,309344.65881147305,0
28473.432204855904,71714.51836626828,73.0,1.0,13.0,5.0,182881.98310615023,16.0,456429.8129110346,1
140755.68045384414,0.0,33.0,0.0,8.0,8.0,0.0,17.0,415284.9942892013,0
108348.92837064245,0.0,47.0,4.0,12.0,3.0,426361.3282056041,9.0,107398.1969090872,1
95528.951642895,0.0,39.0,0.0,18.0,3.0,401010.0913980058,13.0,137707.01830227027,1
60515.37116995268,14137.83000733023,66.0,3.0,17.0,3.0,322965.0706531426,11.0,81367.94952638638,1
77988.60351249625,0.0,70.0,2.0,7.0,7.0,71477.14418422624,11.0,485900.86247864977,0
60601.65264315364,30738.16783554525,54.0,0.0,5.0,6.0,238084.29222454803,24.0,248652.34567896175,0
148651.90776750815,0.0,69.0,2.0,10.0,1.0,456826.7688755522,11.0,281176.3258755562,0
133229.33506616205,0.0,31.0,1.0,17.0,1.0,393262.6991881884,10.0,458451.5456006714,0
34354.310350243555,38641.74674939,40.0,0.0,19.0,5.0,289847.3020846413,4.0,489214.97415098216,0
24156.60258896639,84510.59960203744,37.0,2.0,13.0,4.0,225358.35905014112,6.0,146585.61593805536,0
115195.7695218725,0.0,78.0,1.0,11.0,6.0,262597.8474136399,4.0,146960.8965300463,0
29352.952811592364,57661.040369948896,42.0,4.0,18.0,1.0,936708.3513746028,8.0,185857.71025849285,0
103593.28065300932,0.0,24.0,1.0,3.0,1.0,890310.22370679,24.0,411861.9629976538,0
